页面网址,文本,文本1,文本2,文本3,following,follower,likes,vn,helikes
https://www.douyin.com/user/MS4wLjABAAAAVOjfu_XLA6cwor9VIf4YzD32_CpGg7P6fKJYxsXUT6s,CCTV4,抖音号： CCTV4..,CCTV4中文国际频道,抖出你的国际范儿,13,537.1w,5050.6w,11470,
https://www.douyin.com/user/MS4wLjABAAAAv9ASGJ1UtBvc0tQS5DqGF0gMqKEWa5ZSmxgIthcgFMk,,,,,,,,,
https://www.douyin.com/user/MS4wLjABAAAAYcQ8O3eqErbTWNPQZaul4VLLwcg5GEoqn1ugll6R-Vo,CCTV生活圈,抖音号： shenghuoquancctv,CCTV《生活圈》官方账号,"生活中的各种难题，小圈帮你来解答！
我是你的生活专属管家～",119,299.1w,1179.9w,2153,1736
https://www.douyin.com/user/MS4wLjABAAAASCTajHSNUa2t2bRNayPZ8jGGT-kkcs8gelir714A9SY,,,,,,,,,
https://www.douyin.com/user/MS4wLjABAAAAEqNoTBPKYceRG0K4n_GmTIcpLSjuWTZt2AZ4M5DR_Cg,♞小壕♞,抖音号： 145590979,,—美国奥普帝蒙星耀大使,1089,1171,494,4,
https://www.douyin.com/user/MS4wLjABAAAAhyY58pSDCwnH7p5tmsRFLR3fHpv5SYQuFCNWJfW81oouwgY_5hgZxM0CDhzhPNzw,Cc姐,抖音号： 51271303822,,,31,35,850,35,
https://www.douyin.com/user/MS4wLjABAAAAdkatWBWTXfxhuBy1XvwY4hrB6kHpRT2_pHJ8LVlsGfk,799,抖音号： 173904162,,"只因是你
＝",701,930,1.4w,219,
https://www.douyin.com/user/MS4wLjABAAAAx6dFRqtZxa4_41ArmPhOqPXSrhJCDYY99vsV5Fy5MYA,0ne22,抖音号： 104655002,,,155,88,386,110,
https://www.douyin.com/user/MS4wLjABAAAAyekn-QlMPz_U9oYPrKAh2mmKi2bale7YiyYWspXf89Y,CETV新闻,抖音号： CETVxinwen,中国教育电视台新闻中心官方账号,教育乃国之大计、党之大计！,172,295.7w,5051.4w,3112,
https://www.douyin.com/user/MS4wLjABAAAAaTQqxYHQlsFNUkvm4_SiiFPV3C_XasN7Sbsc45WiSNrkNHtaUurz8tMrOwdjDZ-M,双爷（学习中）,抖音号： 113116O,,记录美好生活,583,133,819,114,
