页面网址,文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8
https://www.douyin.com/user/MS4wLjABAAAASCTajHSNUa2t2bRNayPZ8jGGT-kkcs8gelir714A9SY,617,抖音号： 357955771,,,4808,3976,5481,138,
https://www.douyin.com/user/MS4wLjABAAAAdkatWBWTXfxhuBy1XvwY4hrB6kHpRT2_pHJ8LVlsGfk,799🍓,抖音号： 173904162,,"只因是你
1️⃣➕1️⃣＝3️⃣👨‍👩‍👦",701,930,1.4w,219,
https://www.douyin.com/user/MS4wLjABAAAAOb1lSKTKVbcBr3-knzL2KRwaLGxmEgwWaF5glZg8-zU,371480910,抖音号： 371480910,彩琼商贸官方账号,"✍🏻深耕肠道建康领域
👨🏼‍💼认识我-知预防-懂建康
🔥每晚8:30直播间聊🔥",107,17.0w,42.3w,95,
https://www.douyin.com/user/MS4wLjABAAAAU4_XgtaAi-YOtCfkYnQBobhBY3c7FV8TGy3JvxpjfPk,943445279,抖音号： 943445279,,"仁心 厚德 笃行 至善
有内分泌科困扰的小伙伴，可以关注我哦",14,1623,2.1w,161,
https://www.douyin.com/user/MS4wLjABAAAA1jbVAJ0tJxMAcoqQA0EdJfzkQtSaKHRUuXVJBDFSYLk,1131739027,抖音号： 1131739027,,从事医药行业二十年，坚持一生只做一件事“将大健康产业进行到底”,1609,579,1998,65,
https://www.douyin.com/user/MS4wLjABAAAAkibtXHC0RzKKZPBHhOqZPDno6IJGsS29LQlq0NRuR2U,兴和急诊护士长,抖音号： 1136825178,,每天记录生活日记，开心工作，快乐生活,1001,1047,1.0w,132,447
https://www.douyin.com/user/MS4wLjABAAAA79pCaT5bZ4spz_fd7zM-SNdzEYdHdCRUZE0IPZ7Y91s,1587350921,抖音号： 1587350921,,,46,303,630,0,
https://www.douyin.com/user/MS4wLjABAAAAYVOhK56Jx2eLsjrrxWwjNGCuUD_xyPMi9MeqTwTztEg,1720422090,抖音号： 1720422090,,,862,507,5481,231,
https://www.douyin.com/user/MS4wLjABAAAAMZ_l6TVS5pqZrMWtBxE5DEIaxO3p6DKYCG4SEOQkD1Y,2106928307,抖音号： 2106928307,,,3589,1435,1022,27,
https://www.douyin.com/user/MS4wLjABAAAAq_Nc7I-nw_c3tRLDnVPD-zi7tK-tK_kb__tSVxRYh0wNK6XirYkeoQZMi_fNMbTX,35142127140,抖音号： 35142127140,,感谢你的关注，每日分享,0,5,119,20,
https://www.douyin.com/user/MS4wLjABAAAAdc4ZY0xws7aYB7RXi9L9bB3awKobTCD6Z1rnfDBqJCldur0XGjFkJ5RXy1qmVuZs,49820235517,抖音号： 49820235517,,,108,65,280,44,
https://www.douyin.com/user/MS4wLjABAAAAhtl1HLne9saAcn6pICMl6J7Kzo0izUm905dxNTvGi6xZcz33PZQB9vun_dfXkOs1,69117650770,抖音号： 69117650770,,,6117,1768,8412,169,
https://www.douyin.com/user/MS4wLjABAAAALj16PfMfj0EqEFb5vEnl4aWsfJcn9CRvrJ19l-w2ltA,` L_小雨、,抖音号： Lxy_0707,,等不到天黑，烟火不会太完美…,324,620,2.0w,529,
https://www.douyin.com/user/MS4wLjABAAAADMoVwyVDg-SDo0NyAPnYpmlojUWjzxs5TbJ7GChJN3w,^O^胡家二小姐,抖音号： 392002717,,"谢谢您，这么好看还关注我
关注我，我们就是朋友了
毕竟，好看的人都在一起玩，
遇见之后， 我们的故事就开始了 ，
总有一段文字 ，是你心里的故事，
每天不定时的更新视频
关注了，就不要取关，取关我会 的",165,1151,1.1w,105,
https://www.douyin.com/user/MS4wLjABAAAAde1N8p8eJt1z5bLMX7sm4dD0792GrIchwwD0jmEGZj4,^O^胡家二小姐^O^,抖音号： 13636760,,"谢谢您，这么好看还关注我
关注我，我们就是朋友啦！
毕竟，好看的人都在一起玩，
遇见之后， 我们的故事就开始了 ，
总有一段文字 ，是你心里的故事，
每天不定时的更新视频
关注了，就不要取关，取关我会 的",11,79,252,2,
https://www.douyin.com/user/MS4wLjABAAAAcob27nvzk8tIKo09H1iUPEQlJfrobvcF0EkaauMz8uo,￣生平安,抖音号： dygj116t72jh,,乔彩平,200,415,2.2w,1531,
https://www.douyin.com/user/MS4wLjABAAAA9aRKOm2FdhLN1s4uv8CpwZaWJKO6XGwJgr4YtlfZn0M,-数雨听风-,抖音号： 997724781,,1,827,24,9,12,
https://www.douyin.com/user/MS4wLjABAAAA-U_hi9zRZzXgj2jhHWQqpvUxu4Qv3RElF3SrBRaTc1QuwlJzr9sWJMsC6zaJZXFw,、,抖音号： 1888688090L,,人生本来就不止一条路，有些人注定只能陪你走一程……,10,1609,2.7w,121,535
https://www.douyin.com/user/MS4wLjABAAAA8fBodov3yk4dTzYlw5u0-6hXfhkc1sR1qIfYDql728w,……房东的猫,抖音号： 618024345,,最孤独的时光会塑造最坚强的自己,603,504,7089,133,
