URL,文本,iD,Title,introduction,following,follower,recommendation_like,products,disclosure
https://www.douyin.com/user/MS4wLjABAAAA_-1iA5P9JPmG7AgtS0Rghi1CvO73BPJKHExIVq713eFcmkkVwjKyT3KiD3Pw1T9r,呼吸内科伍滔医生,抖音号： wutao120,湘潭市中心医院呼吸内科副主任医师,伍滔，硕士研究生，呼吸与危重症医学科主任医师，病区主任。从医20年，呼吸专科医师15年，对于呼吸内科常见疾病（慢阻肺、支气管哮喘、睡眠睡眠暂停综合征等）及危重症疾患具有较深厚的诊治能力，熟练掌握气管镜操作，先后发表国家级论文5篇。,25,27.1w,79.5w,419,29
https://www.douyin.com/user/MS4wLjABAAAA_jYs2xlzYHWY3ZGIFEM2iXJuTlc98J7PxIZ0PqIKPFQ,瘦人增肌增重,抖音号： dy4qhx63ldmd,,健身交流送计划  yaling8wy,168,26.2w,243.9w,1034,11806
https://www.douyin.com/user/MS4wLjABAAAA_K1s8wCoKewnJAk0QV6bEDJ2cZNZC5y7ThdKrJyjDfE,天津爱宠屋,抖音号： llmm889,天津市河东区善德爱宠物屋,"直播时间每周五、六晚上9:00
周日-周四不定时直播！
一家人气超高的宠物店
很多萌萌哒小奶猫小奶狗
定期分享养宠知识
养宠方面有什么问题可以私信咨询我",163,17.6w,101.4w,128,
https://www.douyin.com/user/MS4wLjABAAAA_OVH-RNOi8HX_IK8y1z2QHwaXa2hct1FuBw1GiqewFA,徐影吉林.,抖音号： 1256778195,吉林大学第二医院生殖中心副主任医师 徐影,吉林大学第二医院 生殖中心 副主任医师,234,1.3w,2.8w,66,
https://www.douyin.com/user/MS4wLjABAAAA_QFif4K7JFV5a9LQSEL0sP20W68CF0TMbwYzE1gUDWlUSbB1EucROY0F_KN6_yPq,老兵聪聪赛鸽用品,抖音号： cc1020119540,阜阳市颍州区老兵聪聪赛鸽用品店,"快递已放假 年后初六发货 不要再下单了
如果你也是【赛鸽】爱好者 就请关注下吧
 森林黑 村松白 红绛 是你喜欢的羽色嘛
希望在这里 我们可以一起探讨鸽经
想分享什么养鸽经验 给我留言
谢谢你 这么好看还关注了我
喜欢交朋友养赛鸽 是你嘛
有好的经验 记得@我呦
大家一起早日实现梦想
每日不定时更新作品
可以查询赛鸽成绩",2051,6.3w,55.9w,531,
https://www.douyin.com/user/MS4wLjABAAAA_s2oSNZsNTRwJjZoL1WzPmfOktqXtEyViExykxAmDuQ,柴火妞妞—科学种田,抖音号： tm13O31692563,山东蓝宝石生物技术有限公司,专注土壤改良，病虫害防治，提高作物产量和品质。微生物菌剂厂家。,2910,37.6w,137.3w,516,
https://www.douyin.com/user/MS4wLjABAAAA-w3cXTJbN8LjYLjbBmkRWfZn2PQD4zQ9JhwiEx3Or69tNi4K3UL4Vzt2nAMOUEUA,骨科张弛医生,抖音号： Doctorzhangchi,郑州大学第一附属医院骨科副主任医师 张弛,"⭐️忠诚 奉献 守正
⭐️郑州大学第一附属医院骨科副主任医师，临床医学博士；
⭐️河南省医学会骨科分会青年委员会主任委员
⭐️主治髋痛和膝痛等骨关节病症；
⭐️专职人工关节置换手术医生
⭐️曾于美国宾夕法尼亚大学医院、美国坦帕总医院等访学；
⭐️ 门诊时间：河医院区：周一下午，周二全天，东区院区：周三上午，周五上午",251,1.3w,5.8w,108,
https://www.douyin.com/user/MS4wLjABAAAA00o8JliWQWNHNhQlWPfSfsiPCQ2QzZrFUCW6juwUIk6xYKNg1989E2yf5jBw7USz,野猪控糖料理,抖音号： YezhuKT,,"专业营养配餐团队，专注分享控糖食谱；
做的每道菜都不添加蔗糖，拒绝精米精面！
把潜心研究多年的食谱在抖音免费分享给大家。
想学会吃了不影响血糖的菜和甜品，
关注我就够了！",66,1710,4158,36,
https://www.douyin.com/user/MS4wLjABAAAA044WKCWM8ACFeRs6lvREscYNn5kJT6xo9RfggPk0NpU,限量版80後大叔,抖音号： 110586400,,拼搏到无能为力，努力到感动自己。,310,1074,6432,118,
https://www.douyin.com/user/MS4wLjABAAAA07DSlHf-C0-JzVt2zenwTvozcMQV-ywh6TaT8BIQDe0vGbxvXk6kMDXQtpsi9qZc,宇宙记录,抖音号： 61042280453,,"探索宇宙星辰！
记录科学奥秘！",17,1228,1.3w,49,
