URL,文本,iD,Title,introduction,following,follower,recommendation_like,products,disclosure
https://www.douyin.com/user/MS4wLjABAAAAkLrZBSrdEm9xfPgE8Zyy12kKuiZ3SUwP-w6L1rLaiV91gX-CEmq8mfsJE2cnmusm,胡图图爱看剧,抖音号： Dangbeiyingshi,,,0,21,128,1,
https://www.douyin.com/user/MS4wLjABAAAAhRYE5zm08lAWJ5XandnufyNqgYPOoHOmM1wJyht4vQW-tsJUm61eENX9ZMJbdIUL,胡晓华大夫,抖音号： hxhzxh1,河南省中医院妇产科主任医师 胡晓华,"河南省中医院妇科教授主任医师
中华中医学会妇科专业委员会副主任委员
中国民族医药学会妇科专业委员会副主任委员
河南省中医药学会妇科专业委员主任委员
中国中西医结合学会生殖专业委员会常委，国家中管局第一批全国优秀中医人才
参编卫生部中医药院校研究生教材《中医妇科临床研究》国家教育部中医院校规划教材《中医妇科学》",29,20.5w,34.5w,238,
https://www.douyin.com/user/MS4wLjABAAAAq4C_mUPNBMKa0r4yBVPl-uVjk2awtqK8J3hFNibuALg,胡医生,抖音号： zhongyijojo,随州市中心医院肿瘤科主治医师 胡娇娇,"三甲医院主治医师
本人一切言论与就职单位无关
健康科普仅供参考",100,112.7w,554.7w,319,
https://www.douyin.com/user/MS4wLjABAAAAPkoc3FJwfylE63jjRr8mF6Rw-TTnqrON4UUJ-82-YInZovMOYPMffmocO95xstH8,胡医生助长高（周五晚七点直播）,抖音号： ekhzr2021,杭州红十字会医院内分泌科副主任医师 胡永宾,"副主任医师，擅长小儿矮小症及性早熟的诊治
擅长小儿骨龄评价、预测成年身高
曾于北京协和医院内分泌科进修一年
杭州市医学会内分泌分会委员，骨龄评价师
承担杭州市卫生科技项目及市科技局课题多项",4,56.7w,217.5w,214,13
https://www.douyin.com/user/MS4wLjABAAAAgmXL1njwRHOwn20yS1ti7yF_craCt9JvmX1fThbFdj8,胡子哥,抖音号： Lg18827284849,,脚踏实地，一步一个脚印。,658,89,418,46,2411
https://www.douyin.com/user/MS4wLjABAAAAcc3ZQyAlKovqSaTFEdliArhGZl7gw0OU7eXATc8ydRFWeWEbygswxXyremXkQubn,葫芦娃小叮当,抖音号： wschydbb739,,,2,5,71,24,
https://www.douyin.com/user/MS4wLjABAAAAWccJj23vusKIHarAuutNG6U6qp8LRxkoRKqz2m94CYk,虎,抖音号： hu90874,,,1568,1008,2578,136,
https://www.douyin.com/user/MS4wLjABAAAAKl1OMOIIrS2er8hRXEDvyMLlj8r3o8A5qRUCEyTleYfPsxfJNXXK6wb6Qfv-PRV2,互相帮助,抖音号： FHAQ7788,,"尝尽生活的酸甜苦辣，如今也想借抖音平台给的机会跟个风，学着做好抖音创业，希望大家能助我力量，给个支持，
多谢大家的点赞和关注。",122,61,522,57,
https://www.douyin.com/user/MS4wLjABAAAAzlZ673lxVjQF2_4QiFrlrQYmFULjT34c0JAKKqH_msg,护肤学长胡子哥,抖音号： 979449635,,作为医生科普的课代表。我会协同大家咨询问题并传递科学护肤知识。潘教授，樊哥，陶主任，温教授，吴教授等等。需要传递问题#护肤学长胡子哥,3989,2.5w,5.7w,127,
https://www.douyin.com/user/MS4wLjABAAAAVF04oBagEu171hGFWyqCRlUcKBcmsrskv2HWG1SnL5Y,护肤知识,抖音号： 147181515,,"了解皮肤生理学
皮肤肤质不同
分享生活护肤知识",74,161,1636,91,2310
https://www.douyin.com/user/MS4wLjABAAAAdwSitryyPR8dIlycx7ooKUIxW2o5XXL0fLFP_qCRXx7D-IVA7ySjvMU-a39ZL_zH,护考不迷茫，周周来帮忙,抖音号： zzwmyx,华夏百川（北京）文化传播有限公司,10年护考行业相关经验；累计服务线上、下学员10万+；每年帮助上万护考学员顺利上岸；一个讲医学故事的护考老师；我的课堂幽默风趣、擅长“灵魂画图”、思维导图高效学习法；多年护考经验梳理手书：《周周手札》；受到广大学员抢购、点赞！每周一三五六晚上8：30直播！护士/护师/主管                                                        ——护考周漂亮,152,12.8w,33.0w,578,
https://www.douyin.com/user/MS4wLjABAAAAESdvYLtah1D0UPWhwKvJSzM60A2v4LEi-fEOajhDviA,护糖天使,抖音号： hutangtiansh,,,139,152,354,6,
https://www.douyin.com/user/MS4wLjABAAAAQLuHdrzAozfAtfEs1-GALikJK6-I6zFjAMQeCQdBkb0,护心医生张诗文,抖音号： zhangsw900608,徐州医科大学附属医院 内科主治医师 张诗文,"从心开始，呵护健康
每周五或周六晚直播",43,3.0w,8.4w,238,
https://www.douyin.com/user/MS4wLjABAAAA8NJgAPtXr4m1jCNOnPODX-u00OC8mdmQmO_ruW8rWaw,沪漂吨妈（宝9个月）,抖音号： Hupiaodunma,,"非沪籍90后外地在沪打拼的宝妈，30岁首胎
2021年3月上海国妇婴剖宫产的女宝宝
关注私信入国妇婴宝妈
一个孕期经历了
上海长妇婴、普妇婴、国妇婴的宝妈
孕产育儿干货分享，避坑指南
欢迎关注私信聊聊生娃养娃那些事儿",1412,3563,2.3w,105,
https://www.douyin.com/user/MS4wLjABAAAA-7a95E_IUCRsIQl8z6n2bOiRouIGlPMORUXGQJEOSo5iCbCfLDEN6x0TP3sgNB_E,花花爱自然,抖音号： btn123,,"致力于传播更有力量的食物！
遵循规律/敬畏自然/守护净土……",37,8174,2.4w,36,
https://www.douyin.com/user/MS4wLjABAAAAvGcpSJrP0iP-6LGxCpvC-6L5XuQqmpK_aGDMzmS4oddm-aZ7E-a0Dq5BIXiEp459,花花每日推荐,抖音号： DDC123123,,感谢抖音官方感谢粉丝们！,38,11.0w,34.7w,270,
https://www.douyin.com/user/MS4wLjABAAAA-smmSQ1Tr2hD82HiElZBCWog6koTmHsotsyUdYXezkg,花花世界你不懂,抖音号： 88442620,,"80后宝妈一枚
偶尔有点爱吐槽，小愤青
如果你有血糖偏高，脖子粗，眼球突出，怀着孕血糖控制不好，免费聊天",2206,2958,6.2w,1058,
https://www.douyin.com/user/MS4wLjABAAAA3m21KqYe9oYrT6FRNbkHBQmVxJ0Qu-MG-ESnB28flqwnhq0-Y5IdQV_ZCp-mIrUp,花开半夏关赞必回,抖音号： 61009732388,,89年的宝妈，备孕小棉袄成功了，关赞必回！不要连赞，连赞拉黑！,1207,816,5822,218,
https://www.douyin.com/user/MS4wLjABAAAAiuxBet2dHG4l9gnG0Skt7rodRLo6XQjpZ_jSUvbWKJo,花开似锦,抖音号： 276368074,,,367,260,1.2w,566,
https://www.douyin.com/user/MS4wLjABAAAAhgczDlAxiRcsp3kLZNKzzVUrOuB5V0KgeK7hxYstnMg,花里胡哨夜老师,抖音号： zyjzwei2,,偷看我是不是暗恋我？,15,3521,241,52,
