title,videolink,like,timespan,userlink,username,uploadtime
普兰县气象局解除道路结冰黄色预警,https://www.douyin.com/video/7021367721019362573,1,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
西藏自治区气象台发布暴雪黄色预警,https://www.douyin.com/video/7020217089780632870,4,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
阿里气象台发布暴雪黄色预警,https://www.douyin.com/video/7020231483973504294,6,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
普兰县气象局解除暴雪橙色预警,https://www.douyin.com/video/7020500625360194824,7,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
阿里气象台发布道路结冰黄色预警,https://www.douyin.com/video/7020615701333380388,8,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
普兰县气象台发布道路结冰黄色预警,https://www.douyin.com/video/7020620754819583236,9,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
普兰县气象局解除暴雪黄色预警,https://www.douyin.com/video/7020626377296727309,10,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
普兰县气象台发布暴雪黄色预警,https://www.douyin.com/video/7020247582941170958,11,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
普兰县气象台发布暴雪橙色预警,https://www.douyin.com/video/7020321198601014566,13,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
阿里气象台发布暴雪橙色预警,https://www.douyin.com/video/7020311909291265313,14,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
阳泉气象站发布地质灾害气象风险橙色预警,https://www.douyin.com/video/7015156680576994573,11,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
阳泉气象站发布地质灾害气象风险橙色预警,https://www.douyin.com/video/7015896489192852748,17,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
翁牛特旗气象台发布霜冻黄色预警,https://www.douyin.com/video/7017272072112000263,3,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,2月前
大连市气象局发布暴雨黄色预警,https://www.douyin.com/video/7009871650812398855,12,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,3月前
大连市气象局发布暴雨橙色预警,https://www.douyin.com/video/7009901283834383630,23,0:15,https://www.douyin.com/user/MS4wLjABAAAA8P_jnqEiVvLPkJF0-XqvMOiY_62I1B5spwwFOk9a9ig,国家预警发布,3月前
