title,videolink,like,timespan,userlink,username,uploadtime
运动健康膳食指南—碳水化合物#养生健康 #运动健康,https://www.douyin.com/video/6936532516295740712,53,0:32,https://www.douyin.com/user/MS4wLjABAAAASCTajHSNUa2t2bRNayPZ8jGGT-kkcs8gelir714A9SY,617,9月前
八只葡萄糖四管血＝要了老命#一个身体两个心跳 #糖耐 #孕期检查,https://www.douyin.com/video/7024666744673406244,15,0:08,https://www.douyin.com/user/MS4wLjABAAAAdkatWBWTXfxhuBy1XvwY4hrB6kHpRT2_pHJ8LVlsGfk,799,2月前
比肥更难的是增重。亲身经历,https://www.douyin.com/video/6975689840482438408,3.0w,0:24,https://www.douyin.com/user/MS4wLjABAAAAOb1lSKTKVbcBr3-knzL2KRwaLGxmEgwWaF5glZg8-zU,371480910,6月前
末梢毛细血管血糖测量技术（指测血糖）欢迎护理姐妹们来挑茬,https://www.douyin.com/video/7006692581723753732,922,6:10,https://www.douyin.com/user/MS4wLjABAAAAU4_XgtaAi-YOtCfkYnQBobhBY3c7FV8TGy3JvxpjfPk,943445279,3月前
糖友健康饮食,https://www.douyin.com/video/6976195596965268771,10,0:40,https://www.douyin.com/user/MS4wLjABAAAA1jbVAJ0tJxMAcoqQA0EdJfzkQtSaKHRUuXVJBDFSYLk,1131739027,5月前
#糖尿病科普 #医学科普 #,https://www.douyin.com/video/6951718611555847424,33,1:06,https://www.douyin.com/user/MS4wLjABAAAAkibtXHC0RzKKZPBHhOqZPDno6IJGsS29LQlq0NRuR2U,1136825178,8月前
出现口干、眼干时。当心得了风湿病#风湿病#干燥综合征#中医养生@抖音小助手,https://www.douyin.com/video/6942510318450920741,109,2:37,https://www.douyin.com/user/MS4wLjABAAAA79pCaT5bZ4spz_fd7zM-SNdzEYdHdCRUZE0IPZ7Y91s,1587350921,8月前
健康调理糖尿病高血压。慢性病！,https://www.douyin.com/video/6951762451176246569,9,0:20,https://www.douyin.com/user/MS4wLjABAAAAYVOhK56Jx2eLsjrrxWwjNGCuUD_xyPMi9MeqTwTztEg,1720422090,8月前
控释制剂。安全且作用持久！,https://www.douyin.com/video/6940653264174189861,23,0:13,https://www.douyin.com/user/MS4wLjABAAAAMZ_l6TVS5pqZrMWtBxE5DEIaxO3p6DKYCG4SEOQkD1Y,2106928307,9月前
早孕试纸检测方法#早孕 #早孕试纸 ,https://www.douyin.com/video/7001755736858430751,41,1:36,https://www.douyin.com/user/MS4wLjABAAAAq_Nc7I-nw_c3tRLDnVPD-zi7tK-tK_kb__tSVxRYh0wNK6XirYkeoQZMi_fNMbTX,35142127140,4月前
孕妈妈糖耐量采血检测中。为了孕育我们的下一代*欧力给*加油！,https://www.douyin.com/video/6964611778986790152,5,0:10,https://www.douyin.com/user/MS4wLjABAAAAdc4ZY0xws7aYB7RXi9L9bB3awKobTCD6Z1rnfDBqJCldur0XGjFkJ5RXy1qmVuZs,49820235517,7月前
每天学习一点点 ,https://www.douyin.com/video/7015695535906540841,35,1:22,https://www.douyin.com/user/MS4wLjABAAAAhtl1HLne9saAcn6pICMl6J7Kzo0izUm905dxNTvGi6xZcz33PZQB9vun_dfXkOs1,69117650770,3月前
#糖耐  孕24+1周 #糖耐顺利通过 有没有跟我一样。通过后立马奶茶安排上的～哈哈,https://www.douyin.com/video/7013203954003627303,5,0:17,https://www.douyin.com/user/MS4wLjABAAAALj16PfMfj0EqEFb5vEnl4aWsfJcn9CRvrJ19l-w2ltA,` L_小雨、,3月前
有没有约一起去医院的。因为实在是不想一个人去医院复查了。无奈的心灵。#熬过了就好了 ,https://www.douyin.com/video/7020193194927213838,269,0:06,https://www.douyin.com/user/MS4wLjABAAAADMoVwyVDg-SDo0NyAPnYpmlojUWjzxs5TbJ7GChJN3w,^O^胡家二小姐,2月前
感觉现在的我真的只有你了。你要一直陪我走下去。%口袋里有宝贝   8老阿姨,https://www.douyin.com/video/7023231769944083719,12,0:06,https://www.douyin.com/user/MS4wLjABAAAAde1N8p8eJt1z5bLMX7sm4dD0792GrIchwwD0jmEGZj4,^O^胡家二小姐^O^,2月前
带孙子在外面也溴隐亭美以下！,https://www.douyin.com/video/6938308245215841544,17,0:39,https://www.douyin.com/user/MS4wLjABAAAAcob27nvzk8tIKo09H1iUPEQlJfrobvcF0EkaauMz8uo,￣生平安,9月前
这个东西很多糖友都知道吧。还是打手臂上比较好。夏天来了人家好奇就好奇吧！嘻嘻#糖尿病 #血糖仪,https://www.douyin.com/video/6964521283497282852,3,0:07,https://www.douyin.com/user/MS4wLjABAAAA9aRKOm2FdhLN1s4uv8CpwZaWJKO6XGwJgr4YtlfZn0M,-数雨听风-,7月前
如果觉得不够甜、那我们可以输点葡萄糖,https://www.douyin.com/video/6983672640279989517,100,0:09,https://www.douyin.com/user/MS4wLjABAAAA-U_hi9zRZzXgj2jhHWQqpvUxu4Qv3RElF3SrBRaTc1QuwlJzr9sWJMsC6zaJZXFw,、,6月前
第11天连续三天测到是两分钟后看到第二根。你们的为什么是秒红呢？哪里出现了问题…而且看不出来有加深。假孕吗？,https://www.douyin.com/video/6975303475534040360,99,1:58,https://www.douyin.com/user/MS4wLjABAAAA8fBodov3yk4dTzYlw5u0-6hXfhkc1sR1qIfYDql728w,……房东的猫,6月前
靠近大血管也能放的到。只要够小心。手够稳。只有这样才够责任。对得住对我们的信任#医学科普 #粒子植入 #介入,https://www.douyin.com/video/6989790296754195743,954,0:08,https://www.douyin.com/user/MS4wLjABAAAA6yvIAkUe0sXKOD8gxZdirtN065Iw0HZ360dKdOnqB7c,“针知灼健”史医生,4月前
妊娠期糖尿病#医学科普 @抖音小助手 @我是美丽姐 ,https://www.douyin.com/video/7007610448602352903,48,1:00,https://www.douyin.com/user/MS4wLjABAAAAAySJZ54T5DV_9omXHSH-XKKDMiyUQnNn6gyA1M6XUFI,(合肥市第二人民医院),3月前
初生糖尿病婴儿的 首次喂养细节#手术室日常 @抖音小助手 @我是美丽姐 @买买提 ,https://www.douyin.com/video/6977219553050791204,373,0:05,https://www.douyin.com/user/MS4wLjABAAAAAySJZ54T5DV_9omXHSH-XKKDMiyUQnNn6gyA1M6XUFI,(合肥市第二人民医院),5月前
#糖尿病 #居家训练 #控糖运动 #减肥 加油糖友们。你的坚持必将有好的效果。,https://www.douyin.com/video/7025743273813675294,14,0:21,https://www.douyin.com/user/MS4wLjABAAAAKqkT1cYFX2CoUgsIYABtp1YVZeaEBCGdrVb21GMuCC8VUJo27ajTmCnn_Ixvqp4A,（小刘）控糖日记,2月前
#减肥 #糖尿病 #运动 每天坚持运动。给自己身体一个好的交代。,https://www.douyin.com/video/7024442745791991071,20,0:19,https://www.douyin.com/user/MS4wLjABAAAAKqkT1cYFX2CoUgsIYABtp1YVZeaEBCGdrVb21GMuCC8VUJo27ajTmCnn_Ixvqp4A,（小刘）控糖日记,2月前
#控糖 #糖尿病饮食 #减脂餐 #糖尿病 #减肥 正确的吃。健康的瘦。有效控糖。,https://www.douyin.com/video/7024719697312582948,1399,0:24,https://www.douyin.com/user/MS4wLjABAAAAKqkT1cYFX2CoUgsIYABtp1YVZeaEBCGdrVb21GMuCC8VUJo27ajTmCnn_Ixvqp4A,（小刘）控糖日记,2月前
我只细数了数。500mⅠ葡萄糖注射液有一万四千四百滴,https://www.douyin.com/video/7007639437001723173,129,0:20,https://www.douyin.com/user/MS4wLjABAAAAS4mFXeC7epJBl8twJsbpYHVUPgXaBrlsQz0SpXA0SpQ,《74》32号娶你,4月前
饱受煎熬2年。病人终于能睡个安稳觉了#睡觉 ,https://www.douyin.com/video/6999428485253008676,250,0:28,https://www.douyin.com/user/MS4wLjABAAAAQUDSiA_NZH-M6ZrONT5C8cyOsDmLFfSZHnGAWwONCq4,《白衣执甲》栏目,3月前
感谢支持感谢关注支持抖音传播正能量每天学习一点点数据分析 ,https://www.douyin.com/video/6956860240172272931,50,0:10,https://www.douyin.com/user/MS4wLjABAAAAzbkJ08HpAB9fTlyZFLijEZ6P7WvTRqU97h-_UWEm6jg,《華西龍哥》,8月前
#研究发现越胖运动减肥越难#【人变胖。是因为脂肪细胞先“肥”了】成年以后人体里脂肪细胞的数量就基本固定不变了。有人胖是因为脂肪颗粒多。有人胖是因为脂肪颗粒大。还有人胖是因为脂肪颗粒...... 版本过低。升级后可展示全部信息,https://www.douyin.com/video/7003567537355083047,11,2:38,https://www.douyin.com/user/MS4wLjABAAAAAqyHbPTZslBUPnbt2TfLPHblOiOvNQAXbBmwQXy10II,【菲瘦不可】IFBB PRO,3月前
如果你从小到大都很瘦。怎么吃都不胖。瘦子增重的万能公式#瘦子#增重 #益生菌 ,https://www.douyin.com/video/7016193608772521253,83,0:24,https://www.douyin.com/user/MS4wLjABAAAAhTroAe49o1PDipan77cRUzxlgZD2uD5t-SVolhKCZRQqPudZR8pH29-FXzNvBPb0,【育儿有方】,3月前
我的降糖食谱。分享出来。有同款的孕妈妈可以收藏。就不用跑趟医院啦@DOU+小助手 #妊娠糖尿病,https://www.douyin.com/video/6995919126359297320,1042,0:05,https://www.douyin.com/user/MS4wLjABAAAA_ANZaaw7qaIW_sLYls5pVJFM6E6pCkLaoJxrnxxPGKc,@艾琳,3月前
终于等到你的到来@抖音小助手 #怀孕 #早孕试纸 @DOU+小助手,https://www.douyin.com/video/6953443676911635712,59,0:10,https://www.douyin.com/user/MS4wLjABAAAA_ANZaaw7qaIW_sLYls5pVJFM6E6pCkLaoJxrnxxPGKc,@艾琳,8月前
最近抖音都在说一深一浅的是女孩。两条杠深的是男孩。我的是一深一浅。是不是女孩 这准吗？#验孕试纸 #二胎,https://www.douyin.com/video/6988447243850239264,63,0:08,https://www.douyin.com/user/MS4wLjABAAAA7Q1NV6LD1zlhv8iKOyS5KJn998W-c2-QjtWm7CNqWIY,@臭猪麻麻（二胎中……）,5月前
终于还是来了！,https://www.douyin.com/video/7023384000790039846,21,0:15,https://www.douyin.com/user/MS4wLjABAAAAJVBSCA72wUupYOURiokgDhQhvVYjn4r7px1w71etyR4,@春春,2月前
上个月炸胡。这个月来真的！,https://www.douyin.com/video/7010703339788750080,67,0:30,https://www.douyin.com/user/MS4wLjABAAAATIB9WmiejcVlBT9m7yL9vZ1LVu2C81C1hHDLdY_-kUI,@何静,3月前
#妊娠期糖尿病 妊娠期血糖高的孕妈们注意了。要控制饮食。按时监测血糖。#孕期产检知识 ,https://www.douyin.com/video/6999950933270596879,602,0:22,https://www.douyin.com/user/MS4wLjABAAAAwJ3HbIZ7JpGEffFvBTD_T89doYctm7aFsrYK93j65Ek,@何菩萨,3月前
你知道胰腺的位置和作用吗？#涨知识 #戏精 ,https://www.douyin.com/video/6990627358369795341,45,0:39,https://www.douyin.com/user/MS4wLjABAAAAGG4UuJU2yZuf0O94OJEgc2QMQMu7l6C4JeoaNh1QZnc,@敏宝的减脂餐,4月前
打卡今日学习！晚安#努力成为更好的自己 @抖音小助手 ,https://www.douyin.com/video/7018565233996238112,1,0:57,https://www.douyin.com/user/MS4wLjABAAAAy80cYbWrOMUY4g8w0_WfZo7F2Ts3ozaIlkj4kcu9DO-bWV0ZpN9PvJuv2AxF6A0j,@努力上岸的小轩（小轩）,2月前
