标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
胰岛素会产生依赖性吗？胰岛素不是毒品，没有成瘾性…#糖尿病#胰岛素#低血糖#血糖管理,https://www.douyin.com/video/6959221623505358087,78,01:31,https://www.douyin.com/user/MS4wLjABAAAAVcYDJrxoGkETihvlNkGl96Oj4R83SyMMshA8bSwUjP8,内分泌科医生-刘丹锋,7月前
医生也怕生病，而且往往会更痛苦#医生#医学科普 #乳腺 @抖音小助手  #粉红发声人,https://www.douyin.com/video/6990629834145713416,3583,00:44,https://www.douyin.com/user/MS4wLjABAAAAEXMHrE7BJn2IKVxy1LAuIURFHgQtoFxqwPHYNNUC3sdaWOrnkSYsALuw0lwxLGbl,乳腺科峰兄,4月前
慢淋没有那么可怕，它的慢性期很长。#白血病 #血液病 #中医#dou出新知,https://www.douyin.com/video/6897507038428007683,1073,00:54,https://www.douyin.com/user/MS4wLjABAAAAPCcrK28i8ANSNTOdqytgNPmtgWr9MhGwIb01Cb9Yj6g,血液科孙岸弢大夫,1年前
警惕！这样的情况下一定要少喝水#心衰,https://www.douyin.com/video/6877862787406695693,7097,00:34,https://www.douyin.com/user/MS4wLjABAAAADpTiEpkjX_fXgDZudeIOTE1fqPky6GK_mbCF0-8jYTA,聊健康的崔主任,1年前
,,58,00:58,https://www.douyin.com/user/MS4wLjABAAAA6p4tpbxNc9ZvZJtEsDkPHIX3lTg8m_Q07_Jxq-2usgoc1ZH__d7jgZyjUN8RC552,血液病专家全日城,7月前
慢性淋B细胞白血病，听听中医怎么说。#白血病 #中医 #dou出新知,https://www.douyin.com/video/6841849465528257795,58,00:58,https://www.douyin.com/user/MS4wLjABAAAAPCcrK28i8ANSNTOdqytgNPmtgWr9MhGwIb01Cb9Yj6g,血液科孙岸弢大夫,1年前
少年服毒不治，ICU医生惋惜：珍爱生命，珍爱我们身体宝贵的自我修复能力#医者仁心敬佑生命 #情感共鸣 ,https://www.douyin.com/video/6993196267350347045,5.5w,03:19,https://www.douyin.com/user/MS4wLjABAAAAz1lOStxwzCZF5cJ3h8Sa2FPQ_8_l_vQdpdKEm1oEF_k,薄世宁医生,4月前
出现这一症状，当心心衰！#医学科普 #医学科普#夏天#心衰 ,https://www.douyin.com/video/6992085246208544007,3384,01:22,https://www.douyin.com/user/MS4wLjABAAAAc621SmqOnLQBoEtzJEZPLeWhcb94l55IESlzqUPVDW0,丁荣晶-心脏康复,4月前
#健康 #心力衰竭 ,https://www.douyin.com/video/7015797355689676068,1091,00:32,https://www.douyin.com/user/MS4wLjABAAAAn4WiLLthoyYJOMjha2ckjeOG-oL32DrAH9Cds88o_uo,心血管专家涂秀华,2月前
这届年轻人怎么了？年纪轻轻就心衰，这些症状你可能也有,https://www.douyin.com/video/7016898498977205538,2023,00:45,https://www.douyin.com/user/MS4wLjABAAAAQevDFM6aXR-OI5w6aMR20E3N8y96QoqbihFA9LhMG2JR3xSUBn6hVWdDixG3OSlY,心内常佩芬教授,2月前
 抢救胰岛要趁早，硬扛糖尿病好不了#糖尿病 #控糖@抖音小助手 ,https://www.douyin.com/video/7039609580959042853,1796,00:41,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,3天前
慢淋不要自己吓唬自己！#白血病 #血液病 #中医 #dou出新知,https://www.douyin.com/video/6855955701949418763,124,01:00,https://www.douyin.com/user/MS4wLjABAAAAPCcrK28i8ANSNTOdqytgNPmtgWr9MhGwIb01Cb9Yj6g,血液科孙岸弢大夫,1年前
弥漫大B细胞淋巴瘤用中药控制还是很好的#淋巴瘤 #中医 #血液病,https://www.douyin.com/video/6885527054159219980,118,00:37,https://www.douyin.com/user/MS4wLjABAAAAPCcrK28i8ANSNTOdqytgNPmtgWr9MhGwIb01Cb9Yj6g,血液科孙岸弢大夫,1年前
病人濒死，ICU医生感慨：你的细胞比你还努力#医者仁心敬佑生命 #涨知识 #医学科普 #致敬中国医师,https://www.douyin.com/video/6989882734797786382,192.8w,03:10,https://www.douyin.com/user/MS4wLjABAAAAz1lOStxwzCZF5cJ3h8Sa2FPQ_8_l_vQdpdKEm1oEF_k,薄世宁医生,4月前
慢性淋巴细胞白血病，有中药在不要怕！#白血病 #中药 #dou出新知,https://www.douyin.com/video/6852885609120386307,2782,01:00,https://www.douyin.com/user/MS4wLjABAAAAPCcrK28i8ANSNTOdqytgNPmtgWr9MhGwIb01Cb9Yj6g,血液科孙岸弢大夫,1年前
中医真的能控制住慢性淋巴细胞白血病吗？#白血病 #中医 #dou出新知 #血液病,https://www.douyin.com/video/6847802124852661515,64,00:58,https://www.douyin.com/user/MS4wLjABAAAAPCcrK28i8ANSNTOdqytgNPmtgWr9MhGwIb01Cb9Yj6g,血液科孙岸弢大夫,1年前
#肝教授 #乙肝 重建免疫，改善自身，从而促进抗病！#黄叔论肝 #医学科普,https://www.douyin.com/video/6950838303855807748,1641,01:06,https://www.douyin.com/user/MS4wLjABAAAA2qaVxzuHTSch968ewieL-bgdo9yfv-pSlPEREXKFyzde9p5DfKqMin7P5kZ8DaS4,黄叔 论肝,7月前
120w一针的抗癌药有效吗？（下）#医学科普,https://www.douyin.com/video/7004706894061325572,10.3w,02:23,https://www.douyin.com/user/MS4wLjABAAAAIomg_fcU4ZKu8lR0q4nH6sZTAJfXjcTnh6L6qHM5IVXFaRc7ygrkwVN-JT_bPTBQ,才哥谈心,3月前
无视频描述,https://www.douyin.com/video/6911241136015166733,4179,00:29,https://www.douyin.com/user/MS4wLjABAAAAFIZalX6tFbrulkf7I_mzTc8DSIIemWKWEkYTHE39e0o,胡大夫说肺,11月前
注意这三种可怕的肺部疾病！可能会导致肺部功能的严重衰竭，甚至死亡 #健康,https://www.douyin.com/video/6771458099434851592,165,02:03,https://www.douyin.com/user/MS4wLjABAAAAbu6IlXnInbzcMl2efNmegiWUrOXeUQi6vIgh3pXyTa4,凤凰大健康,1年前
#马拉多纳 #球王马拉多纳 #马拉多纳去世,https://www.douyin.com/video/6899349930448522504,4.8w,00:33,https://www.douyin.com/user/MS4wLjABAAAAMqsBIZGfVFDWYE-Ll7MB7Dluw-2NczQA_aChqPye0qbcMgyGbHjpyBtGL55tGJ-k,心中有术,1年前
如果发现这几个症状要重视，可能是它引起的#科普 #四川 ,https://www.douyin.com/video/6984317532807220491,100,02:02,https://www.douyin.com/user/MS4wLjABAAAA6XfG5VfmLpeUYh4lDg8k7K_sOzmyYgPEYQzePmz2pOI,神经外科陈琳博士,4月前
心衰真的是不可逆的吗？,https://www.douyin.com/video/7025483938059586856,3437,00:50,https://www.douyin.com/user/MS4wLjABAAAAQevDFM6aXR-OI5w6aMR20E3N8y96QoqbihFA9LhMG2JR3xSUBn6hVWdDixG3OSlY,心内常佩芬教授,1月前
20岁就肾衰竭，余生可能离不开这冰冷的透析机了。现在肾衰越来越年轻化可能与这些坏习惯有关。#健康科普 #真实故事 ,https://www.douyin.com/video/7010390402301758756,12.8w,01:39,https://www.douyin.com/user/MS4wLjABAAAAMqsBIZGfVFDWYE-Ll7MB7Dluw-2NczQA_aChqPye0qbcMgyGbHjpyBtGL55tGJ-k,心中有术,2月前
心力衰竭要如何识别（一） #人人dou是科学家  #科普  #心脏健康,https://www.douyin.com/video/6768990465946569988,641,01:19,https://www.douyin.com/user/MS4wLjABAAAAc621SmqOnLQBoEtzJEZPLeWhcb94l55IESlzqUPVDW0,丁荣晶-心脏康复,1年前
#化疗是很多病人选择的治疗方案，但这也不适合我。#抗癌之路,https://www.douyin.com/video/6865997492832488716,124,00:41,https://www.douyin.com/user/MS4wLjABAAAAc5JTLa3_H5FSjLPrv3xCwq5ZvswbivWcndhxQQtlrW_VMA5KPseTWZ9hrzPOlJ0d,胡卫民,1年前
