标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
边波说心,https://www.douyin.com/video/6921633531944766724,277,01:46,https://www.douyin.com/user/MS4wLjABAAAATT60AziEHhQJTkHWuoUUOr-suQas6x1UX-nqWpeGLaZWRO-7JflTe5qqv0gEywaw,边波说心,11月前
达格列净之前因为医保局专家“灵魂砍价”而出名，现在因为治疗肾病又火了。#肾病,https://www.douyin.com/video/6819124065203195151,3530,01:22,https://www.douyin.com/user/MS4wLjABAAAAMCGSK0P_sVJbG4d8WH8W21z_wHNjOPRivf8fOrVBU5s,一帆说肾,1年前
糖友吃达格列净，要注意什么#糖尿病 #糖尿病用药 ,https://www.douyin.com/video/7039226973847047460,2322,00:56,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1月前
吃达格列净伤肾吗？#糖尿病 #糖尿用药 ,https://www.douyin.com/video/7034747993689476360,8040,00:38,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1月前
服用列净类药物效果不好可能的原因有哪些,https://www.douyin.com/video/6961003486628678942,46,02:08,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,8月前
这两种降糖新药 GLP-1和SGLT-2你了解多少 #糖尿病科普 #医学科普,https://www.douyin.com/video/6892692743664012548,6752,00:53,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
#糖尿病  联合国糖尿病日系列宣传二 糖尿病能治愈吗？,https://www.douyin.com/video/6894527030424046861,52,00:58,https://www.douyin.com/user/MS4wLjABAAAA5Y50JFgk3q0iKdbr1jsCxZ_njdebx1Eez7NWcG_r2gY,沧州市中心医院,1年前
新版医保目录3月1日开始执行啦！这些新纳入的药你知道吗？#医保 #糖尿病,https://www.douyin.com/video/6937561870157040909,3154,01:36,https://www.douyin.com/user/MS4wLjABAAAAkooV-NzXVWLbkfVfI1tHKqr-Q6OKY-fccfb5sjxbC5U,医师报,10月前
哪些#降糖药 可以帮助#糖尿病人 减肥,https://www.douyin.com/video/6945386798956776744,507,00:37,https://www.douyin.com/user/MS4wLjABAAAAfcltBJ0ynVNSG5CHK4lO4dnPKVoJr4Pda3VV2oB8zmto0Cikh3uiISwygCfKU45v,内分泌科田医生,9月前
#全民健康计划 #降糖药@河豚健康 @Pharmacist-Jing @卓尔不凡，医者,https://www.douyin.com/video/6829186600170294528,97,01:00,https://www.douyin.com/user/MS4wLjABAAAAGN2UJui2rBq_YYK68mZK2WTEEtdCWM62_8RI7jgajto,阿楚,1年前
科普来啦！关注糖尿病 关注健康！,https://www.douyin.com/video/6967692493597068578,35,04:30,https://www.douyin.com/user/MS4wLjABAAAAsu2tZgtMRqQphA-9cWSItHexy4EfDS22HsVr0La5SxhkfDYrJlH2LdtTJiK2m4Lh,威县人民医院,7月前
钠葡萄糖协同转运蛋白2抑制剂是一种新型口服降糖药。常用的制剂有达格列净、恩格列净、卡格列净就是我们俗称的“列净类”降糖药那么，该如何用好这类药呢？今天就跟大家聊一下这方面的话题~#健康 #医学科普 #药物 ,https://www.douyin.com/video/7008085417786395934,37,01:52,https://www.douyin.com/user/MS4wLjABAAAAfzrv_AnW3i1nzfAhQ0X_K2q9aDO3WfyBEfmkcmoF7EA,青岛市黄岛区中心医院,4月前
#全民健康计划 #降糖药 @河豚健康 @Pharmacist-Jing @卓尔不凡，医者,https://www.douyin.com/video/6829601678145211648,78,00:56,https://www.douyin.com/user/MS4wLjABAAAAGN2UJui2rBq_YYK68mZK2WTEEtdCWM62_8RI7jgajto,阿楚,1年前
这4类降糖药有减重作用，特别适合胖的  #减重  #减肥知识  #控制体重 ,https://www.douyin.com/video/6981677487310851332,3257,00:46,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,6月前
糖尿病#科普知识,https://www.douyin.com/video/6963978335915461896,3366,00:05,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,7月前
降糖药是如何降糖的#糖尿病#科普知识,https://www.douyin.com/video/6989520269379472648,180,00:40,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,5月前
有减重作用的四类降糖药#糖尿病#科普知识,https://www.douyin.com/video/6989138780145929485,1076,00:45,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,5月前
尿糖#糖尿病#健康 今晚20：30直播,https://www.douyin.com/video/7008084848124415262,374,00:27,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,4月前
老年糖尿病管理（三）降糖药注意事项 耿亚辉#糖尿病科普 @抖音小助手,https://www.douyin.com/video/6889220998801935629,29,02:29,https://www.douyin.com/user/MS4wLjABAAAANdZuEtOiNHiOg9bGbl2D8aSiqp3cnPEGlI5Gn0YDYeE,北京老年医院,1年前
