标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
#糖尿病  联合国糖尿病日系列宣传二 糖尿病能治愈吗？,https://www.douyin.com/video/6894527030424046861,49,00:58,https://www.douyin.com/user/MS4wLjABAAAA5Y50JFgk3q0iKdbr1jsCxZ_njdebx1Eez7NWcG_r2gY,沧州市中心医院,1年前
胰腺极其擅长伪装！常规检查根本查不出而误Z，到发现为时已晚！,https://www.douyin.com/video/6990270917662297375,3.5w,02:50,https://www.douyin.com/user/MS4wLjABAAAAvTOOvDVDpg5NCmP01erqVqSDldwdvoNwlhVDrH9F2yw,费健,4月前
#胰腺癌 “癌中之王”，手术复杂，并发症多，易复发，5年生存率8%。要理解手术难度，看看外国妈妈医生的面团讲解,https://www.douyin.com/video/6881520785547152653,889,04:11,https://www.douyin.com/user/MS4wLjABAAAAPWs7Zx6DipYU6k_KUPe8P6FdgKadH7dFlXC3Y_lUG58,蓝莓医生周文胜,1年前
#中医 #医学科普 #我的门诊故事 ,https://www.douyin.com/video/7025807236643507488,3051,00:45,https://www.douyin.com/user/MS4wLjABAAAAPOsHx2GIQ7J_WW1wI90LRiTdxmowS7JU7U06PGbq4fLFCnd6jPWF8B7Zd1gfenPh,熊露医生,1月前
#糖尿病百“课”43：胰岛素泵相关知识（上）,https://www.douyin.com/video/6941303816188906765,42,03:27,https://www.douyin.com/user/MS4wLjABAAAA9rFlIQ42Kn4fFqo7jVsYOR-E21OBX9mxf5i122PJLxjWOIECooWsrcpM-t50aBXH,SMA掌健识,8月前
#医万个为什么 胡安斌：我院在胰腺移植发展基础上开展胰岛移植#医学科普,https://www.douyin.com/video/6938241683058396429,46,02:17,https://www.douyin.com/user/MS4wLjABAAAAaeqJg_VYSVyr1oGEP-fJMrgIEb5QAN9wBaK7cwxrRjdtSib6zQKkQ3pOaWlMFtfx,中山大学附属第一医院,9月前
专业推介2#专业医疗,https://www.douyin.com/video/6853986878375415053,13,01:05,https://www.douyin.com/user/MS4wLjABAAAABP_tDMlDQIq3i0j5SAE462gXhnS7BfAmmYGCB52Z7pE,青岛市第三人民医院,1年前
为什么说“它”被人们称作“AI中之王”，用大数据告诉你原因。#李道睿医生 #医学科普 #中医 #健康科普 ,https://www.douyin.com/video/7007959532542512415,95,00:41,https://www.douyin.com/user/MS4wLjABAAAA7Uubrb8r63fTjz651bNV_-nLcTjN0O2ns8QyGhERX9w,李道睿,3月前
很小，但是谁都惹不起的器官！#胰腺 #医学科普 #健康科普 #涨知识,https://www.douyin.com/video/6991278267567213857,493,00:41,https://www.douyin.com/user/MS4wLjABAAAAjUuWau_l3GtSDo_Z00b50uYqgSMfZVh-aObCHzWPS38pMmIbpA1dHXV5ooC5CfLr,李亮医言良语,4月前
多学科团队攻坚胰腺ái，探索全新治疗之路#MDT #多学科会诊,https://www.douyin.com/video/6857060915162942727,51,00:21,https://www.douyin.com/user/MS4wLjABAAAAFT7Y5HMMYLtC613VsjZSLYW2WbwM2LLgrp_MlopwyJC2IViGJilEAgM4mAC7Y6rB,南京市第一医院,1年前
