标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
我国糖尿病的三大特点，不吃糖不是患糖尿病的关键因素#健康,https://www.douyin.com/video/6856701238629682432,2.3w,02:34,https://www.douyin.com/user/MS4wLjABAAAAF5YRxatWMv5tMglPcTvSyWliYURpbHeudZ6uXJdle1k,李瑛,1年前
糖尿病治疗理念重大调整#医学科普 #科普 #糖尿病 @DOU+小助手,https://www.douyin.com/video/7004428938185379111,3002,01:17,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,3月前
#医学科普 得了糖尿病不要慌，可以这么办  #糖尿病  #DOU上热门,https://www.douyin.com/video/6850026828338302215,3824,00:43,https://www.douyin.com/user/MS4wLjABAAAA53ik1gf7AgWIYeylzQXNXkd92EATRWy965xrLzcqQDLxQ_OBixEKyLa31Pr2DF12,北京阜外医院心血管孔博,1年前
糖尿病高发难控怎么办？@中国平安人寿 ,https://www.douyin.com/video/7027262618058444040,1899,01:28,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1月前
每天吃鸡蛋会容易得糖尿病吗？ #鸡蛋  #健康真相官  #糖尿病  #全民健康计划  @河豚健康,https://www.douyin.com/video/6899844684739398920,11.0w,01:34,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
1型糖尿病#这个视频有点料 #医学科普 #涨知识,https://www.douyin.com/video/6934686274829782276,1194,01:00,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,9月前
#健康科普仅供参考 ,https://www.douyin.com/video/7014671614755212551,3.0w,00:50,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2月前
关于糖尿病诊断的一个纠正,https://www.douyin.com/video/6935320155325025572,1.1w,00:42,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,9月前
听我说血糖：确诊了糖尿病请记住4点原则 #听我说血糖  #糖尿症  #糖尿b科普,https://www.douyin.com/video/6814463092970327307,1072,01:15,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
吃糖多了就会得糖尿病吗？糖吃多了虽然不好，但是这次真不能全怪它。,https://www.douyin.com/video/7000963265438240030,2.0w,01:04,https://www.douyin.com/user/MS4wLjABAAAAMqsBIZGfVFDWYE-Ll7MB7Dluw-2NczQA_aChqPye0qbcMgyGbHjpyBtGL55tGJ-k,心中有术,3月前
得了糖尿病寿命会缩短9年？#糖尿病#医学科普 #健康科普 ,https://www.douyin.com/video/7000291730272636197,5047,01:00,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,3月前
