标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
减重手术的原理是什么？把胃变小，吃的少就瘦了？#减重 #减肥 #科普 #瘦身 ,https://www.douyin.com/video/7007331396326837540,1.4w,00:32,https://www.douyin.com/user/MS4wLjABAAAAPD-34FUKu_zm9BTz92k0i1l7b_7G9IsmuyrGae663w4,张建成,3月前
减重手术如何进行？华侨医院院长来告诉你 #减脂  #减重  #科普  #健康,https://www.douyin.com/video/6933138640759491854,315,01:09,https://www.douyin.com/user/MS4wLjABAAAAZmTvelPbmrr34t12AEi7yFYJT_4uWj8wy8rcoMw7zXw,暨南减重王存川教授,9月前
“管住嘴”对减重很重要！#减肥 #科普 #健康 ,https://www.douyin.com/video/7005845259485793576,8.4w,00:50,https://www.douyin.com/user/MS4wLjABAAAAn44NR08H4969FJehEqPL-hBzOSI1xovT1ObQ-WEvumfTMYJvQAYMWLZY0NvWXPdd,胃肠外科王志凯,3月前
常见减重手术的方式之一，胃旁路手术的动画演示#减重手术 #家庭医生在线,https://www.douyin.com/video/6828822745321688324,3.8w,00:47,https://www.douyin.com/user/MS4wLjABAAAAv-uPF8b2CarHN5RJzYTC-A67Y8ZW28qZJ5F-rIoRFLY,减重医生杨景哥,1年前
#减重代谢手术 住院周期不会太久，一般三至四天就可以出院喽#减重 #减肥 #肥胖 ,https://www.douyin.com/video/7026259445860601102,414,00:39,https://www.douyin.com/user/MS4wLjABAAAAPD-34FUKu_zm9BTz92k0i1l7b_7G9IsmuyrGae663w4,张建成,1月前
减重手术有什么风险？,https://www.douyin.com/video/6965757828178922766,194,00:50,https://www.douyin.com/user/MS4wLjABAAAAqfHkuBx3PzTA_hVwBg0Gl2t9UHcc4Z0TRttQMMIx_JA,减重专家徐东升医生,6月前
#减重手术的费用大概是多少？#西安减重手术 #医学科普 ,https://www.douyin.com/video/6987039156601949471,2397,01:09,https://www.douyin.com/user/MS4wLjABAAAA0UrW-yx3wIvC9vhQs_Q5l8zG7nj5FcsJKDxG0NZmuNU,西安减重医生殷国志,4月前
减重手术有哪些副作用？需要注意什么#减肥#健康#科普健康知识,https://www.douyin.com/video/6911908618057125123,277,00:38,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,11月前
减重手术怎么治疗肥胖，改善代谢的 #减肥 #袖状胃手术,https://www.douyin.com/video/6846589983386520840,690,00:59,https://www.douyin.com/user/MS4wLjABAAAAPjEMcBcE1Tf84nDeaem5ecVuT0vhn4uqj3zBEeHVZl0,减重外科姚琪远主任,1年前
#袖状胃 减重术：全球60万台减重术中，占比65%左右。#减重科普 #减肥知识,https://www.douyin.com/video/6986825673830583592,457,00:41,https://www.douyin.com/user/MS4wLjABAAAAPD-34FUKu_zm9BTz92k0i1l7b_7G9IsmuyrGae663w4,张建成,4月前
具体能不能做减重代谢手术，是有严格指标的 #减重代谢手术  #减肥 ,https://www.douyin.com/video/6975069861550591268,3207,00:24,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,6月前
减重手术到底有没有风险？用最客观的态度告诉你最真实的减重！#减肥 #健康 #科普,https://www.douyin.com/video/6933533521264905476,212,01:15,https://www.douyin.com/user/MS4wLjABAAAAJGZ_kI4LOMvYumSZrhIi_f_GYKWKXNyOfLN1EHgJinM,减重科褚医生,9月前
#减重手术 费用是多少，这个问题很多人都问，简单说一下这个手术的费用#家庭医生在线 @抖音小助手,https://www.douyin.com/video/7015195418371837199,237,00:33,https://www.douyin.com/user/MS4wLjABAAAAmhebMiFUNM2SY1QoshDws-JhGbMUEW0agjs8zXLuz94,减重手术医生孙许龙,2月前
专门针对减重的手术，公认有效的总共有两大类#减重手术#减重#医疗科普,https://www.douyin.com/video/6910733489402940676,142,00:41,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,11月前
#减重手术 费用是多少这个问题很多人都问，简单说说两种手术的费用#家庭医生在线,https://www.douyin.com/video/6859250894052134152,4416,01:13,https://www.douyin.com/user/MS4wLjABAAAAv-uPF8b2CarHN5RJzYTC-A67Y8ZW28qZJ5F-rIoRFLY,减重医生杨景哥,1年前
减重代谢手术多久能见效？#科普 #减重 #减肥#健康 #减重手术 ,https://www.douyin.com/video/6998416574831021315,137,01:15,https://www.douyin.com/user/MS4wLjABAAAAJGZ_kI4LOMvYumSZrhIi_f_GYKWKXNyOfLN1EHgJinM,减重科褚医生,3月前
减重手术效果#减重手术 #减重代谢手术 #减肥 ,https://www.douyin.com/video/7013187575213083935,402,00:38,https://www.douyin.com/user/MS4wLjABAAAAJGZ_kI4LOMvYumSZrhIi_f_GYKWKXNyOfLN1EHgJinM,减重科褚医生,2月前
#减重手术 一般1小时，主大夫告诉你，到底有多疼。#减重 #瘦身 #医学科普 ,https://www.douyin.com/video/6984716073740422414,1120,00:22,https://www.douyin.com/user/MS4wLjABAAAAPD-34FUKu_zm9BTz92k0i1l7b_7G9IsmuyrGae663w4,张建成,5月前
想瘦可以做减重手术吗？#医学科普 #减肥 @抖音小助手 ,https://www.douyin.com/video/7013616259354905886,404,00:41,https://www.douyin.com/user/MS4wLjABAAAAn44NR08H4969FJehEqPL-hBzOSI1xovT1ObQ-WEvumfTMYJvQAYMWLZY0NvWXPdd,胃肠外科王志凯,2月前
代谢减重手术主要有两种手术方式，单纯肥胖和肥胖型糖尿病患者手术方式不同。#肥胖 #糖尿病,https://www.douyin.com/video/6930169313420692740,1.2w,01:00,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,10月前
减重手术安全吗？#减肥 #科普 #健康 ,https://www.douyin.com/video/7009542534192041250,1043,00:53,https://www.douyin.com/user/MS4wLjABAAAAn44NR08H4969FJehEqPL-hBzOSI1xovT1ObQ-WEvumfTMYJvQAYMWLZY0NvWXPdd,胃肠外科王志凯,2月前
减重代谢手术是新的科学减肥方法，关于它你了解多少呢？#减重代谢手术 #瘦身 #肥胖 ,https://www.douyin.com/video/7012124754626874655,292,00:41,https://www.douyin.com/user/MS4wLjABAAAAPD-34FUKu_zm9BTz92k0i1l7b_7G9IsmuyrGae663w4,张建成,2月前
严重肥胖想做减重手术，但害怕疼痛，减重手术很疼痛吗？胖哥的亲身感受如何#手术 #疼痛 #减肥 @DOU+小助手,https://www.douyin.com/video/6951352825179884836,203,01:01,https://www.douyin.com/user/MS4wLjABAAAASq5dFvgquuKK8u6GeeR7L7TsnwaC0izD_v4f2IOn_os,减重代谢朱医生,8月前
张医生科普减重手术中的袖状胃手术#袖状胃 #减重手术 #抖音小助手,https://www.douyin.com/video/6969489167302642974,2053,00:24,https://www.douyin.com/user/MS4wLjABAAAAzm8XjRS8-YIEXgj4TEhJoKtTTzEcDGoIIUMVXMiuqI8,瘦医张涵,6月前
什么样的身体条件才可以做单孔减重手术#医学科普 #健康#减重手术,https://www.douyin.com/video/6970237855188667687,1412,00:47,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,6月前
袖状胃切除术现场实录 三甲主任带你一起揭开神秘的减重迷雾#医学科普 #袖状胃 #医生 #减肥,https://www.douyin.com/video/6857913006555188487,6934,03:51,https://www.douyin.com/user/MS4wLjABAAAAPjEMcBcE1Tf84nDeaem5ecVuT0vhn4uqj3zBEeHVZl0,减重外科姚琪远主任,1年前
