标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
100多种二甲双胍傻傻分不清，医生教你如何选择#糖尿病  #医学科普  #健康  #二甲双胍 ,https://www.douyin.com/video/7022206766498729247,1979,01:18,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,1月前
双胍类药物为什么这么多人用#糖尿病 #健康科普 #二甲双胍 ,https://www.douyin.com/video/7016194899129142558,1120,00:04,https://www.douyin.com/user/MS4wLjABAAAABaZejiHXFI9ZGM_thNkOmh9EsWiOm0SFwbGRAftJ8I_Bam_H8GGs4EJzgxCWwgZc,中医钟博士,2月前
双胍类药物为什么这么多人用#糖尿病 #健康 #二甲双胍 ,https://www.douyin.com/video/7013183288256826631,7046,00:04,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,2月前
#李焱主任 哪种二甲双胍效果好#二甲双胍 #糖尿病 ,https://www.douyin.com/video/6994299346577657124,6421,00:32,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,4月前
神奇的二甲双胍#糖尿病 @DOU+小助手,https://www.douyin.com/video/6997318121669348647,3143,01:06,https://www.douyin.com/user/MS4wLjABAAAAIh4PYQ_S9jTg-G8nImuO45jgN9OPP13ESSaeADxrNMvHoIdKDc6LF3XA3P0zie72,晓光说药,4月前
二甲双胍适合哪类糖友，肠胃不耐受怎么办#医学科普 #健康  #糖尿病 ,https://www.douyin.com/video/6977624727888186637,1587,00:41,https://www.douyin.com/user/MS4wLjABAAAA4Urwu3MyXnHudTE61rsipScMW3E4zzGrVjNxa6SDX_k,全科医生王勇,5月前
你是吃瓜群众吗？ #二甲双胍  #全民健康计划  @河豚健康,https://www.douyin.com/video/6883136101532323076,3.7w,00:51,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
降糖药二甲双胍，揭秘减轻体重真相！#糖尿病 #降糖药 #二甲双胍 @抖音小助手 ,https://www.douyin.com/video/7023709704425622814,1050,01:29,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,1月前
,,939,01:52,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
糖友都知道二甲双瓜，但你真正的了解过吗？,https://www.douyin.com/video/6850013142009842952,2115,00:50,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
