标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
六大类口服降糖药，给你做个总结！#降糖药 #健康科普 #医学科普 @抖音小助手 ,https://www.douyin.com/video/7017040319955012895,1.0w,03:58,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,2月前
口服降糖药物，你要知道6个原则！#降糖药 #糖尿病 #糖尿病科普 @抖音小助手 ,https://www.douyin.com/video/7017389237083327775,925,02:19,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,2月前
常见口服降糖yao该怎么吃？ #健康  #糖尿病,https://www.douyin.com/video/6962054032982658311,2319,01:15,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,7月前
如何避免口服降糖药失效？#降糖药 #糖尿病科普 ,https://www.douyin.com/video/6984285019137133836,3207,01:00,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,5月前
治疗糖尿病，口服降糖药和胰岛素哪个更好？,https://www.douyin.com/video/6974286230380875046,76,03:21,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,6月前
长期吃降糖药，常见不良反应都有什么？#健康科普 #科普 ,https://www.douyin.com/video/7008803040387943694,1.8w,02:35,https://www.douyin.com/user/MS4wLjABAAAAXcZZpN5MrjJZPArKpQ_dLA5MrQHJ7DQEkUwve-rzTs565fnTyFzIpYhunyFM014K,心血管赵宏伟医生,3月前
降糖药有瘾吗？#糖尿病 #糖尿病科普 ,https://www.douyin.com/video/6992022556035288351,4157,00:17,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,4月前
今天来说一说口服降糖药阿卡波糖的用药注意事项~#医学知识科普 #药品 #守护健康 ,https://www.douyin.com/video/6991618958948437255,27,01:55,https://www.douyin.com/user/MS4wLjABAAAAfzrv_AnW3i1nzfAhQ0X_K2q9aDO3WfyBEfmkcmoF7EA,青岛市黄岛区中心医院,4月前
#健康 #科普 ,https://www.douyin.com/video/7043305538863516965,2.0w,01:39,https://www.douyin.com/user/MS4wLjABAAAAYF9w_jHN0X2Vmuv1NHXbCur0ITc1nujvUOVPBliMMh8,行侠好医,4天前
要想降糖效果好/副作用小 ，服用二甲双胍的时候一定记住以上四点 #糖尿病科普,https://www.douyin.com/video/6857391835237731597,1.6w,01:49,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
列汀类降糖药和列净类降糖药#这个视频有点料 #健康 #科普 @南方健康,https://www.douyin.com/video/6797396407054568712,2397,01:52,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
降糖药服用时间大全#糖尿病 @河豚健康 @抖音小助手,https://www.douyin.com/video/6942398403330592008,1.6w,01:18,https://www.douyin.com/user/MS4wLjABAAAAIh4PYQ_S9jTg-G8nImuO45jgN9OPP13ESSaeADxrNMvHoIdKDc6LF3XA3P0zie72,晓光说药,9月前
二甲双胍降血糖，需要补充维生素B12吗？#科普健康知识 #健康科普 #医学科普 #医学常识 #健康dou起来 @抖音小助手 ,https://www.douyin.com/video/6985507511520595208,676,01:26,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,5月前
#李焱主任 口服降糖药对新冠疫苗有影响吗 #疫情  #糖尿病 #健康科普 #医学科普,https://www.douyin.com/video/6971258479713455373,2069,00:20,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,6月前
血糖多高需要服用降糖药#糖尿病@抖音小助手,https://www.douyin.com/video/6943887625056996639,4432,00:51,https://www.douyin.com/user/MS4wLjABAAAAIh4PYQ_S9jTg-G8nImuO45jgN9OPP13ESSaeADxrNMvHoIdKDc6LF3XA3P0zie72,晓光说药,8月前
吃降糖药，注意避开这几个误区,https://www.douyin.com/video/6970882620456439071,485,00:56,https://www.douyin.com/user/MS4wLjABAAAAg-2yC_pb8oDutvfu-ClglW2QK9nmcDuH2eekpQGOXvo,约见名医,6月前
列净类降糖药能用于减肥吗#这个视频有点料 #健康 #减肥 @南方健康,https://www.douyin.com/video/6799564978949999879,4787,01:24,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
#糖尿病 患者多吃#降糖药 就能加大饭量？#医学科普 #健康科普  ,https://www.douyin.com/video/6992447006794911013,451,00:41,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
糖尿病口服药哪个效果更好？我来告诉您 #健康 #王世东 #高血糖  #医学科普  #糖尿病  ,https://www.douyin.com/video/6981684971056532772,686,00:27,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,5月前
#全民健康计划 #降糖药@河豚健康 @Pharmacist-Jing @卓尔不凡，医者,https://www.douyin.com/video/6829186600170294528,77,01:00,https://www.douyin.com/user/MS4wLjABAAAAGN2UJui2rBq_YYK68mZK2WTEEtdCWM62_8RI7jgajto,阿楚,1年前
降糖的正确吃法，看这篇就知道了！,https://www.douyin.com/video/6867891558964874496,1157,00:56,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
经常有网友问，吃了3种不同类型的口服#降糖，#空腹血糖仍然不达标。李医生从#胰岛素给糖友们分享@抖音小助手  ,https://www.douyin.com/video/6991731762149723429,1457,00:50,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,4月前
#科普 #科普一下 #医者仁心 ,https://www.douyin.com/video/7033568990807067911,8073,00:28,https://www.douyin.com/user/MS4wLjABAAAAJgpt5-xxOI99X4JxTRgJLfX1buvKPydBWqoHMgY5wo8,心内科李主任,1月前
服用降糖药时不要饮酒,https://www.douyin.com/video/6872883254727396622,38,00:55,https://www.douyin.com/user/MS4wLjABAAAAaZQV9ybtMtRMFzs2S42u0_XhrpZq5_OWLhw_3RWycuo,听听医生怎么说,1年前
#全民健康计划 #阿卡波糖 服用方法服用时间@河豚健康 @DOU+小助手,https://www.douyin.com/video/6886012844400184591,33,00:38,https://www.douyin.com/user/MS4wLjABAAAALOPSucGEq4aNtIVzLg3IICmlIdn1DUc2q6ipeL1xt-M,药师阿飞,1年前
降糖药容易造成低血糖，但这4种一般不会！#糖尿病 #降糖药 #低血糖 @抖音小助手 ,https://www.douyin.com/video/7019591737018436894,277,02:23,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,2月前
吃降糖药伤肾吗？肝肾功能正常的情况下不会受影响#糖尿病 #降糖药 #医学科普 ,https://www.douyin.com/video/6990174526495640839,214,00:31,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
