标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
糖尿病周围神经病变，防重于治 #糖尿病周围神经病变 #神经痛 #糖尿病 ,https://www.douyin.com/video/7031093775351041318,2670,00:58,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,3周前
治疗糖尿病周围神经病变，有几种方法#糖尿病科普 #周围神经病变,https://www.douyin.com/video/6875999024663629070,2915,00:58,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
糖尿病周围神经病变后知后觉危害大#糖尿病科普,https://www.douyin.com/video/6826526181643259140,1450,01:00,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
#糖尿病 周围神经病变有哪些症状？#健康 #健康科普 @抖音小助手 ,https://www.douyin.com/video/6993310619587890447,1496,00:30,https://www.douyin.com/user/MS4wLjABAAAAWJrXqbHo1qCxjrMOhyrZkvjhAXRb5sK_XjfeRj5Yg-H6ZXGVs2_pXsqVr5tj5f8W,内分泌科医生黄佳娜教授,4月前
#血糖 #糖尿病 糖尿病神经病变吃甲钴胺可以吗,https://www.douyin.com/video/7026650302581427456,2981,01:07,https://www.douyin.com/user/MS4wLjABAAAARz9j_M7MXa-9ouVdVcnLp-H3hy32om2DogZjnpEEqRJ8xnVzu9gpHA-6fIwRmWBf,内分泌科宋医生,1月前
请在医生指导下具体用药#周围神经病变 #药物 #知识先锋计划 ,https://www.douyin.com/video/7021182243284585760,4444,00:15,https://www.douyin.com/user/MS4wLjABAAAAsYtoewJll1qDrnMTOSNvCnb0isw-PWEFjlhTp_AvQFI9Db5gE3LI9uQj1GNCptFS,疼痛科张强医生,1月前
B族维生素对早期周围神经病变可能有效#健康科普 #医学科普 #大连大学附属新华医院 #健康最重要,https://www.douyin.com/video/6954513865761623308,1.7w,00:53,https://www.douyin.com/user/MS4wLjABAAAAzJvl4xxGd17Wz6KIZZwvIgfKdti6WkXawAujJicf8L4,神经内科孙大夫,7月前
糖尿病合并周围神经病变应该怎么治疗呢#医学科普 #健康科普  #糖尿病  @抖音小助手  @DOU+小助手 ,https://www.douyin.com/video/6976540622744194334,13,00:38,https://www.douyin.com/user/MS4wLjABAAAAZEj2oIn0Wj3toB2W-7U7UrJtbqTCXDagqNGzSKkoq08,中医内分泌专家杨波医生,5月前
16年#糖尿病动脉硬化，周围神经病变，活血通络改善症状#中医 #健康 ,https://www.douyin.com/video/7016151719730040071,1136,00:31,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,2月前
#糖尿病 人感觉#手脚凉，赶紧查查#周围神经病变,https://www.douyin.com/video/6899367490866924812,323,00:52,https://www.douyin.com/user/MS4wLjABAAAApmCxkrR5RwkgmHbjyqkoYV53AfS8WhzWCsE0ssBz1Wg,连博士说内分泌,1年前
#糖尿病周围神经病变 糖尿病不仅是不能吃很多好吃的，还可能会引起神经痛，千万别大意#医学科普 #高血糖 @抖音小助手 ,https://www.douyin.com/video/7002537247467638046,159,00:44,https://www.douyin.com/user/MS4wLjABAAAAWyweteBAEtFAJfkxhIy9IYb3jug7MHbHuWp4N8DMAP2S4a_AQX1ptlkaTRsY41Ho,神奇大脑毛之奇医生,3月前
#糖尿病患者出现这些症状，可能是引发了糖尿病周围神经病变。#健康科普 #涨知识 ,https://www.douyin.com/video/7028873793535839495,3478,00:29,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
糖尿病神经病变，治L我们需要步步为营#健康 #医学科普 #高血糖  #糖尿病  #王世东,https://www.douyin.com/video/6974292053513506079,506,00:35,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,5月前
出现这些表现，警惕是糖尿病周围神经病变。#中医 #糖尿病,https://www.douyin.com/video/6926828960034639111,2670,00:19,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,10月前
脚部有踏棉花感，针刺的感觉，警惕是糖尿病周围神经病变。#糖尿病 #糖尿病周围神经病变 #中医,https://www.douyin.com/video/6919293239832939784,1485,00:25,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,10月前
糖尿病神经病变会自己好吗？#糖尿病 #糖尿病周围神经病变 ,https://www.douyin.com/video/7013629958815829256,2722,00:23,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,2月前
#医万个为什么 冯霞：如何治疗痛性糖尿病周围神经病变 糖尿病足 #医学科普,https://www.douyin.com/video/6953546061512297741,40,01:20,https://www.douyin.com/user/MS4wLjABAAAAaeqJg_VYSVyr1oGEP-fJMrgIEb5QAN9wBaK7cwxrRjdtSib6zQKkQ3pOaWlMFtfx,中山大学附属第一医院,7月前
糖尿病15年有神经病变了，该怎么办？#糖尿病 #糖尿病周围神经病变 ,https://www.douyin.com/video/7015460001502334216,756,01:20,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,2月前
