标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
#糖尿病 患者要控制好血糖指标，警惕糖尿病足发生#感染 引起#坏疽 @DOU+小助手,https://www.douyin.com/video/6898658341124377871,2885,00:21,https://www.douyin.com/user/MS4wLjABAAAA4Urwu3MyXnHudTE61rsipScMW3E4zzGrVjNxa6SDX_k,全科医生王勇,1年前
今天分享一个类风湿性血管炎引起的肢体远端坏疽的患者。#坏疽 #健康 #科普 #下肢溃疡 ,https://www.douyin.com/video/7039638955494477091,119,00:15,https://www.douyin.com/user/MS4wLjABAAAAsbnxLOQ_NHGJOXRj2thO8LE_k8xWHHxRLLm9QpoCYEk,周围血管杨博华教授,1月前
#医学科普 ,https://www.douyin.com/video/7045555781520903432,1210,03:05,https://www.douyin.com/user/MS4wLjABAAAAKrS6jYdczE2BcEVWn4BTNqipGSdXUkrUACtGFmsHH7c,王江宁医生,3周前
王江宁：糖尿病足为什么会坏疽？#医学科普 #糖尿病足 ,https://www.douyin.com/video/7049187344456371470,556,00:29,https://www.douyin.com/user/MS4wLjABAAAAKrS6jYdczE2BcEVWn4BTNqipGSdXUkrUACtGFmsHH7c,王江宁医生,1周前
老爷子#糖尿病足 小腿以下都坏疽发黑了！只有截肢才能阻止恶化。每每看到这种情况都很痛心！,https://www.douyin.com/video/6948348935689833769,6920,00:12,https://www.douyin.com/user/MS4wLjABAAAAcAWkCgSZG0sG87RAKE6Lfmx6Ein4mk5ITLxlRNQPSzs,朝阳足踝赵会,9月前
糖尿病足 足部血管堵塞 双脚麻木、变黑 #3D动画演示 #糖尿病足 坏疽过程#健康 #科普 ,https://www.douyin.com/video/7015050719745117474,1300,00:07,https://www.douyin.com/user/MS4wLjABAAAAsbnxLOQ_NHGJOXRj2thO8LE_k8xWHHxRLLm9QpoCYEk,周围血管杨博华教授,3月前
糖尿bing坏疽会传ran吗?#医学科普 #dou出新知 ,https://www.douyin.com/video/6998762228665158926,37,00:27,https://www.douyin.com/user/MS4wLjABAAAAVgMWSmzQAKxHb3bu9Lsbah50wDA9ygnn2-aPfPezfQ4,肾病内分泌科曹钋主任,4月前
#糖足 患者不建议泡脚！,https://www.douyin.com/video/6996502468699884834,1.3w,00:20,https://www.douyin.com/user/MS4wLjABAAAAcAWkCgSZG0sG87RAKE6Lfmx6Ein4mk5ITLxlRNQPSzs,朝阳足踝赵会,5月前
大姐#糖足 脚趾有#坏疽 倾向。好在来得及时，#骨搬运 改善血运后，坏疽逐渐好转，以后可得要多注意啊！,https://www.douyin.com/video/6978772872076610850,2143,00:19,https://www.douyin.com/user/MS4wLjABAAAAcAWkCgSZG0sG87RAKE6Lfmx6Ein4mk5ITLxlRNQPSzs,朝阳足踝赵会,6月前
广东大哥太大意！直到脚上出现#坏疽才知道自己有#糖尿病 ，日常生活要多注意呀，早发现早防范！,https://www.douyin.com/video/6989512858547653925,803,00:21,https://www.douyin.com/user/MS4wLjABAAAAcAWkCgSZG0sG87RAKE6Lfmx6Ein4mk5ITLxlRNQPSzs,朝阳足踝赵会,5月前
大爷#糖足拖延4个月，脚掌坏疽感染危及生命，无奈只能截肢保命。早点来就不会发展成这样了！,https://www.douyin.com/video/7050302840283155719,103,00:21,https://www.douyin.com/user/MS4wLjABAAAAcAWkCgSZG0sG87RAKE6Lfmx6Ein4mk5ITLxlRNQPSzs,朝阳足踝赵会,1周前
80岁老爷子#糖尿病足 因穿鞋不慎导致脚趾坏疽，给他进行骨搬运S术和切除坏疽脚趾，目前在恢复中。,https://www.douyin.com/video/6950212800866290959,1243,00:10,https://www.douyin.com/user/MS4wLjABAAAAcAWkCgSZG0sG87RAKE6Lfmx6Ein4mk5ITLxlRNQPSzs,朝阳足踝赵会,9月前
大爷几个月前#糖足 坏疽，不想截J找到我，来复查看着大爷伤口恢复很好，我也由衷感到高兴！,https://www.douyin.com/video/6969136018058382626,4.6w,00:12,https://www.douyin.com/user/MS4wLjABAAAAcAWkCgSZG0sG87RAKE6Lfmx6Ein4mk5ITLxlRNQPSzs,朝阳足踝赵会,7月前
糖尿病足坏疽，#3d动画演示 #糖尿病足 恢复过程。#健康 ,https://www.douyin.com/video/7015741335621602575,1947,00:06,https://www.douyin.com/user/MS4wLjABAAAAsbnxLOQ_NHGJOXRj2thO8LE_k8xWHHxRLLm9QpoCYEk,周围血管杨博华教授,3月前
大哥#糖尿病 十年，因为工作应酬又有了三高，长期血糖控制不佳，一个小伤口就到J肢的地步！早期控制好血糖就不会发展成这样了。#糖足 #控制血糖,https://www.douyin.com/video/7006224744383122703,670,00:15,https://www.douyin.com/user/MS4wLjABAAAAcAWkCgSZG0sG87RAKE6Lfmx6Ein4mk5ITLxlRNQPSzs,朝阳足踝赵会,4月前
