标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
多囊卵巢综合症能治愈吗#医学科普 #多囊,https://www.douyin.com/video/6975100011990273291,965,01:13,https://www.douyin.com/user/MS4wLjABAAAACrLPA7yNgsrUVjim0J8yko-39ioUcCk-Y9mh19klYpfkJZNg98DI9r1RVPYP9LzJ,妇产科张医生,6月前
#备孕那些事 大家知道什么是多囊卵巢综合性吗？查出多囊应该怎么办？,https://www.douyin.com/video/7033715938465795367,460,00:43,https://www.douyin.com/user/MS4wLjABAAAAW4UHy_CoD1gDV7rSSiZ7Vn6HPoReOpHj5_Pk5QrwpQOF6R_FWzVZt02qAIZI_yX6,妇产科田教授,4周前
多囊做到这三点 ，保你平安无事#科普一下 #多囊 #怀孕#武汉#协和医院 ,https://www.douyin.com/video/7012924792789568782,7640,00:56,https://www.douyin.com/user/MS4wLjABAAAAetrO0o45zw6xC5TlNDZo_yOaZ5JLfc5Gh_DZTX7nGts,妇产科刘义,2月前
治疗多囊卵巢综合征，这三点比吃药更重要！#多囊卵巢综合征 #月经不调 #女性健康 #南方健康 ,https://www.douyin.com/video/7000279449266621703,1.5w,00:57,https://www.douyin.com/user/MS4wLjABAAAAIhLTaiZj0bw-P31InLcAhanRgyL8OywMTTA2iCppSxA,恩哥聊健康,3月前
#多囊卵巢综合征 建议做这三种检查,https://www.douyin.com/video/7011444103762152734,4215,00:59,https://www.douyin.com/user/MS4wLjABAAAAeoLNbKvv5bZ_8RzqpNn-GLLYpm9cFrxWlHtpOVXJSvE,妇科朱旭华医生,2月前
多囊卵巢综合征应该如何治疗？不同需求，处理方案不一样哦~#备孕 #试管 #关爱女性健康 ,https://www.douyin.com/video/7012926819548679437,219,00:36,https://www.douyin.com/user/MS4wLjABAAAASYZdNLSR9gEXdHazQhPv8v7is5zdDSfReOCnudfANlNYt7ooqqCxy9egDKNIj6Qu,中南医院周春,2月前
多囊卵巢综合征，月经不来怎么办。#关爱女性健康 #月经不调 #大姨妈 ,https://www.douyin.com/video/6978056853469138210,3082,01:26,https://www.douyin.com/user/MS4wLjABAAAAZzcEEvJ9WRhnxZ1xEHSacCAo16W2EkXUuMwUrwYpJSk,乔玉环,5月前
#多囊 #医学科普 这9点注意哦#涨知识 ,https://www.douyin.com/video/6992151052204248350,2075,01:01,https://www.douyin.com/user/MS4wLjABAAAAv1h1Vixtx_H9j_poDGKVl0sId5YYlRGuXGKVnRlVwuEnoSthP1Kr4y_rJ5B7UmF7,王慧鸽医生,4月前
多囊卵巢综合征患者为什么要减肥？#抖知加油站 #抖音安全课堂 #减肥,https://www.douyin.com/video/6773192308302040331,1.1w,02:22,https://www.douyin.com/user/MS4wLjABAAAAFGjc-yWHSxgrY900fcAXhFGnPj4OThBhCrv5XNcr_As,医学减重专家陈伟,2年前
 #多囊  #女性健康 #怀孕 #健康 ,https://www.douyin.com/video/6979529851183058184,5142,00:45,https://www.douyin.com/user/MS4wLjABAAAAetrO0o45zw6xC5TlNDZo_yOaZ5JLfc5Gh_DZTX7nGts,妇产科刘义,5月前
身体出现了这些症状，要小心多囊卵巢综合征！#医学科普 #多囊卵巢综合征 #多囊备孕 ,https://www.douyin.com/video/7011316560186903815,1319,00:43,https://www.douyin.com/user/MS4wLjABAAAADZcvAq1o_anki2CxdWOHRIISeLP2k0YjavN4EsMWaD7vpKXn4_vcqGLGseT4GpJH,生殖科韩永梅,2月前
