标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
#小儿推拿 #关爱儿童健康 #育儿经验分享,https://www.douyin.com/video/6972105918536371486,4404,00:49,https://www.douyin.com/user/MS4wLjABAAAAq2Feb2Hfhe97FvEOgP1L3HNjvHw4O4KLBsNx7XvjKjU,卿卿医生,6月前
#息肉为什么反反复复切了又长？#健康 #中医 ,https://www.douyin.com/video/7020588595522080007,2306,00:42,https://www.douyin.com/user/MS4wLjABAAAAJxh2GgzBQ4n1B3q6_V3pXxZGwGzysSpQFGUYFEatWbrTegWK-D7z5MvHX5aBT7-2,冯春祥教授,1月前
#着凉 #夏季晚上的微风,https://www.douyin.com/video/6986561159088426275,25,00:29,https://www.douyin.com/user/MS4wLjABAAAAR44Jq9eIXT_EmUoI1sKOL9KD4JI2H4VK6tCQKblWixk,经视养生会,4月前
#创作灵感 6只生蚝引发的急性肾衰竭#这个视频有点料,https://www.douyin.com/video/6972079601136717059,1725,01:09,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,6月前
出现这种腹泻一定要引起重视!#抖进科学 #腹泻 #肠道健康 @抖音小助手,https://www.douyin.com/video/6829976242834443528,4199,01:06,https://www.douyin.com/user/MS4wLjABAAAAc03KROjmyR3OZF5URgDpHnyotmz8PNjG6XoFhoGe7e4,林国乐医生,1年前
经常性腹泻一定要注意#健康科普 #科普一下 ,https://www.douyin.com/video/7034784712744766757,903,00:49,https://www.douyin.com/user/MS4wLjABAAAAucYP6OJSq3uOEVRSJaPfckljK3jxuCT-urQ_GTJ1IEmwd_mGhalFdv4Txxzu04G8,中医董博士,1周前
腹泻拉肚子，到底需不需要去看医生呢？如果你有这三种情况，一定要及时就医检查！#腹泻 #医学科普 #公益,https://www.douyin.com/video/6941636306166418700,1535,00:42,https://www.douyin.com/user/MS4wLjABAAAAFrd-bScTl6fz34Q8fREvGu70CbesT5IU8DwvpLtIjXU,消化内科沙卫红主任,8月前
拉肚子怎么办？要止泻吗？#科普健康知识 #健康科普 #腹泻 ,https://www.douyin.com/video/7016535948745788708,514,00:55,https://www.douyin.com/user/MS4wLjABAAAAeOP-boyjper5zfNX3ruyn0qsq-8g4LWHF0Ri44nVWzKtQ2ektgw1LMIgLS4_U-eJ,吉米大夫,2月前
你以为拉肚子只是小问题？这几种情况的拉肚子，也需要去yi院！#拉肚子 #公益 @抖音小助手,https://www.douyin.com/video/6940173139884264737,1097,02:06,https://www.douyin.com/user/MS4wLjABAAAAu-nuQoXXqUYu_J_dfHkQZFoYLhdAsrsXaLzNE_t9wOxKsTVFISnVCWCFM-F5iN7_,消化内科张亚历教授,8月前
睡眠有好转，拉肚子乏力还得调！ #老中医  #世界睡眠日,https://www.douyin.com/video/6941257749967817991,231,00:44,https://www.douyin.com/user/MS4wLjABAAAAfwq0yuDqn232MXXHAN3MpG8GJE71R3u-8GqpN993bdQ,内科吴金荣医生,8月前
