标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
确诊了妊娠期糖尿病怎么办？ #妊娠血糖  #孕期知识,https://www.douyin.com/video/6939301001664990494,4858,00:58,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,9月前
#妊娠期糖尿病 控制饮食很重要#医学科普 ,https://www.douyin.com/video/6996952608099388679,2441,00:55,https://www.douyin.com/user/MS4wLjABAAAAJqa-y7VtGEbChbshaOo735vtnSYpmAqkvvA_qSkRzu4,妇产科朱宝菊,4月前
如果这个超长视频点赞超20w以后每周我都奉上一个超长视频#妊娠期糖尿病 #糖尿病 #暑期知识大作战 #怀孕,https://www.douyin.com/video/6863758599869467907,6.6w,04:59,https://www.douyin.com/user/MS4wLjABAAAAP4Dc0acfsN2dsVFcHDmqfsoCrDDkmEKK_DWcXj4g2sQ,老吴,1年前
为什么妊娠期糖尿病增多了？ #妊娠期糖尿病  #妊娠糖尿病  #孕期糖尿病,https://www.douyin.com/video/6936465309276654878,6462,00:52,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,9月前
#孕期 你以为的妊娠期糖尿病，就真的是你以为的吗,https://www.douyin.com/video/7006974884681157902,523,00:53,https://www.douyin.com/user/MS4wLjABAAAAa-J2JtkaZj1Dx5ZqhARCZFInq9BS-4KGMM51TQj6KeRAj8rZyBGH2iAeiDS-h81b,妇产科宋大夫,3月前
案例分析：妊娠糖尿病,https://www.douyin.com/video/6986935493531389222,203,01:30,https://www.douyin.com/user/MS4wLjABAAAA-9RDtCKbgT40O0R-oBSbhHvdCKTKcYXNXcr-cYh_4kmwZUZXuU9TWXQrTTrrfyf_,马欣教授,4月前
妊娠糖友该如何控制血糖？,https://www.douyin.com/video/6800275255672786183,6321,01:54,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
如何避免妊娠妊娠糖尿病变真糖尿病#控糖 #高血糖 #妊娠糖尿病 ,https://www.douyin.com/video/7028025960733625630,1175,00:34,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1月前
怀孕了血糖高是吃出来的吗？#妊娠期糖尿病 #高血糖 #备孕 #医学科普 @抖音小助手 ,https://www.douyin.com/video/7000941736864304391,74,00:34,https://www.douyin.com/user/MS4wLjABAAAA6j8Mdq9V26Axbf8ypEW_J4aQRZv2z_xE6x3lhqvuE_OxYFWHlbEG2RxdeA3QBjS4,湛哥聊孕产,3月前
孕期血糖多少正常，记住5个数字#糖尿病#妊娠糖尿病#上海创作者联盟计划,https://www.douyin.com/video/6894540346563300623,1678,00:34,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
妊娠期糖尿病对孕妈有哪一些不良影响呢,https://www.douyin.com/video/6987308359057755406,1518,00:29,https://www.douyin.com/user/MS4wLjABAAAApICR1eiTZW23OhnRkC-NK3aX_7MjfIsILuyREW9Cy1A,刘湘源医生,4月前
糖妈妈危害大，这些情况要警惕#糖尿病 #妊娠糖尿病 ,https://www.douyin.com/video/7031732433590553863,632,01:04,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,4周前
妊娠糖尿病对胎儿有什么影响 @震洋健康  @中医陈医生 #暑期知识大作战,https://www.douyin.com/video/6868141602938866958,1124,00:56,https://www.douyin.com/user/MS4wLjABAAAApiocM96dY5ErSnmjylAQuHunCiDMzrntJAcbzZfX8k4,中医谭医生,1年前
孕期糖尿病，如何减少远期并发症？#医学科普,https://www.douyin.com/video/6932128313985092872,1007,00:40,https://www.douyin.com/user/MS4wLjABAAAA-AWrK0PFT2cOvAIZ2db7KqZwNgK7IcaoA8GKjctmfm4,肖喜荣,9月前
#妊娠糖尿病#妊娠期高血糖病不用怕，做好饮食和运动调理，宝宝一样会顺利健康出生,https://www.douyin.com/video/6883023633426484493,618,00:43,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
为什么孕期不吃糖的我也得了妊娠糖尿病？#妊娠糖尿病 #孕期饮食,https://www.douyin.com/video/6924967625382579469,3545,00:41,https://www.douyin.com/user/MS4wLjABAAAAr45yTGk_Cd6IZwdUZhyeoIWE4NM5xMbUbUdW6VdykiU,段涛医生,10月前
怀孕如何可以饮食，避开妊娠糖尿病#关爱女性健康 #妊娠糖尿病#健康科普,https://www.douyin.com/video/6971004966223858944,1466,01:12,https://www.douyin.com/user/MS4wLjABAAAAhd20IM-eEFEKLvizn_tIDaqYykVrWxjMHN-5lHwgPPM,中医蔡主任,6月前
孕期正确对待饮食 科学控制血糖#妊娠糖尿病 #宝宝 #产检 #医学科普,https://www.douyin.com/video/6832920630392884493,3346,00:52,https://www.douyin.com/user/MS4wLjABAAAAh9mHlRMtsFMaz9BQ05Hp2H5LZ1dHTa8dPzWnHAvnTwU,产科宝医生,1年前
怀孕还得了糖尿病，以后不会跟随自己一辈子吧？#怀孕 #妊娠糖尿病 #糖尿b #孕妈妈 ,https://www.douyin.com/video/7036682703357398286,1303,00:32,https://www.douyin.com/user/MS4wLjABAAAAhzIS61yurTcbIfPpyvWJOijrAof3TJHK7FGSbw7qpJ0,刘晓夏妇产科医生,2周前
妊娠血糖高？小心影响孩子#糖尿病#妊娠糖尿病 #血糖#上海创作者联盟计划,https://www.douyin.com/video/6894910519531080960,2441,00:31,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
发现了妊娠期高血糖，要如何正确对待？ #巨大儿  #妊娠期糖尿  #妊娠期高血糖,https://www.douyin.com/video/6937174621171027231,2513,01:05,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,9月前
为什么总是强调，孕妈们要控制饮食！因为真的会有超多麻烦！#孕期 #好孕 #孕妈 #关爱女性健康 ,https://www.douyin.com/video/7005097460683083015,4372,00:42,https://www.douyin.com/user/MS4wLjABAAAAhzIS61yurTcbIfPpyvWJOijrAof3TJHK7FGSbw7qpJ0,刘晓夏妇产科医生,3月前
妊娠期糖尿病发生率比较高，孕妈要科学营养科学生活。#医学科普 #孕期知识 #怀孕  #糖尿病,https://www.douyin.com/video/6931967918964083982,2427,00:31,https://www.douyin.com/user/MS4wLjABAAAAW98-toG70W270pHNEb3BASR3lDwoBXu9LGGm0QffL5VLlDfLhVtq1LEUed6c-wlT,妇产卫士李主任,9月前
