标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
儿童#糖尿病 ，父母应该怎么办？治疗上很艰难，一定要正确引导。#育儿 #健康 @DOU+小助手,https://www.douyin.com/video/6955729899382394142,653,00:47,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,7月前
肥胖是二型糖尿病的主要危险因素，要养成良好的生活习惯#减重手术 #糖尿病 #肥胖#健康 ,https://www.douyin.com/video/7039592183720152328,731,00:46,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,1周前
#糖尿病 #中医 #健康 ,https://www.douyin.com/video/7012554024536870174,927,00:30,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,2月前
#了不起的医生 #健康江西科普先行 青少年糖尿病如何治疗？,https://www.douyin.com/video/6861049337473027336,8,01:25,https://www.douyin.com/user/MS4wLjABAAAA4GX9SdLa89LTwoNritMTmHOSWYoWsw6dvRNhx_ic4oA,江西省人民医院,1年前
7岁孩子竟患有 #糖尿病，究竟是怎么回事？ #健康  @抖音小助手,https://www.douyin.com/video/6886297199647460615,236,00:59,https://www.douyin.com/user/MS4wLjABAAAAYcQ8O3eqErbTWNPQZaul4VLLwcg5GEoqn1ugll6R-Vo,CCTV生活圈,1年前
宝宝一旦表现出这几种“信号”，当心是儿童糖尿病前期,https://www.douyin.com/video/6867470025419279627,35,01:18,https://www.douyin.com/user/MS4wLjABAAAAhWVdFY_-kUUEAYcjrqT9v1bF050qHelQjL0XpcxOc1o,有来科普,1年前
青少年也能得#糖尿病 ？#健康 #健康大问诊 #青少年,https://www.douyin.com/video/6849624661362298127,19,00:51,https://www.douyin.com/user/MS4wLjABAAAAyk4wGC26aYiSuBCSAbnlfFKzQhlISLidbDzfjk82zZY,健康大问诊,1年前
儿童二型糖尿病的病因预防,https://www.douyin.com/video/6957761395429575966,2607,03:42,https://www.douyin.com/user/MS4wLjABAAAA-9RDtCKbgT40O0R-oBSbhHvdCKTKcYXNXcr-cYh_4kmwZUZXuU9TWXQrTTrrfyf_,马欣教授,7月前
#今日名医说 #儿童 #糖尿病 可以#逆转 吗？@抖音小助手 #涨知识 #健康,https://www.douyin.com/video/6860049282196671752,46,00:28,https://www.douyin.com/user/MS4wLjABAAAAR44Jq9eIXT_EmUoI1sKOL9KD4JI2H4VK6tCQKblWixk,经视养生会,1年前
10岁小孩患糖尿病最重要得原因是这！ #糖友饮食  @健康中国  @科普中国,https://www.douyin.com/video/6898857809014689038,27,01:14,https://www.douyin.com/user/MS4wLjABAAAAsRPT6herJ9dFHDgA1V8byBJQgzm78h63l_4-GxlGals,保健时报,1年前
诊断#糖尿病 不分年龄段！#1型糖尿病 多见于青少年，父母也要多注意#医学科普#糖尿病科普,https://www.douyin.com/video/6923145503085464832,2072,00:35,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,10月前
儿童会得糖尿病吗  #糖尿病  #儿童 什么情况要预防,https://www.douyin.com/video/6885594242920631566,631,00:32,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
小孩子会得糖尿病？这可能是家长的错#健康 #中医 #我为医者,https://www.douyin.com/video/6856685255345179911,41,00:44,https://www.douyin.com/user/MS4wLjABAAAALZUzvR_g2kSjqTDJo4HtEY4YW-mp6DcfSPUNal1VgWE,刘教授慢病管理,1年前
#糖尿病，#脂肪肝，和#肥胖有很大关系，控制饮食，多运动#健康 #中医 ,https://www.douyin.com/video/6990895676884323597,1143,00:59,https://www.douyin.com/user/MS4wLjABAAAApzqQdtEIKTDezqQGq5HyjACEDTYr3TcG4YETv8NqYvI,血管专家彭玉清,4月前
孩子得了糖尿病会长不高吗？,https://www.douyin.com/video/6995462034821369121,37,00:36,https://www.douyin.com/user/MS4wLjABAAAAiPhPvC8EPJRXzj_i0rj8_N5_mp_A4F-EPXfB3kpUsJsHknENLI_1K00igsPsEKdp,叶守姣医生,4月前
13岁孩子得了2型糖尿病有没有可能根治,https://www.douyin.com/video/6955229368364961054,34,02:18,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,7月前
13岁2型糖尿病刺痛了谁？#医学科普 #医学常识 #糖尿病 @DOU+小助手,https://www.douyin.com/video/6989966643036278048,612,01:20,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,4月前
#李焱主任 新生儿糖尿病能治愈吗？如何治疗？ #糖尿病 #医学科普 #健康科普,https://www.douyin.com/video/6956421425724919071,326,00:46,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,7月前
#十万个怎么做 糖尿病只有成年人会得吗？肥胖儿童的家长要注意了！@DOU+小助手 @家有名医,https://www.douyin.com/video/6880888614465719567,642,00:54,https://www.douyin.com/user/MS4wLjABAAAAjfOWzMeFKXwF6Ojh7ZCPTJp0mCrNy8DKhFdMBwNfIUSi7NuqHxzTzIVCDhwPg4FP,心血管内科董静,1年前
14岁糖尿病，医生的忠告#医学科普 #2021顺顺利利 #健康科普,https://www.douyin.com/video/6930915181044256003,7728,00:58,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,10月前
儿童糖尿病能根治吗？治好后会复发吗？#糖尿病 #儿童 #家长#育儿 #孩子#全民健康计划,https://www.douyin.com/video/6821471411970903304,63,00:59,https://www.douyin.com/user/MS4wLjABAAAAShQtrTfVC94bpGB8P5xtbP0dPdZOezHM-lab2JORyyB0v55rjasYj0qqnE5L0u2I,浙大儿院,1年前
受生活方式的影响，儿童2型糖尿病患病率越来越高，家长千万不能因为血糖控制达标就擅自给孩子停药。应该帮助孩子学习糖尿病知识，管理好饮食运动遵医嘱服药定期复诊调整用药。孩子的路还很长，...... 版本过低，升级后可展示全部信息,https://www.douyin.com/video/7002805054180723982,325,02:30,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,3月前
#宝妈 们一定要注意了，如果#孩子 有这些表现，这有可能是2型#糖尿病 ！#抖音 #医学科普,https://www.douyin.com/video/6841454264313859343,1616,00:26,https://www.douyin.com/user/MS4wLjABAAAAB_AOSNvr-Kqv1CI5voPzjorpLGHScaNO4eVECLDootc,内分泌科孙医生,1年前
如何预防儿童糖尿病？#糖尿病 #儿童 #甜食控 #家长 #全民健康计划,https://www.douyin.com/video/6823647197674966279,27,00:34,https://www.douyin.com/user/MS4wLjABAAAAShQtrTfVC94bpGB8P5xtbP0dPdZOezHM-lab2JORyyB0v55rjasYj0qqnE5L0u2I,浙大儿院,1年前
#糖尿病 联合国糖尿病日系列宣传️ 警惕！儿童也有可能得糖尿病,https://www.douyin.com/video/6895344467176393996,22,00:58,https://www.douyin.com/user/MS4wLjABAAAA5Y50JFgk3q0iKdbr1jsCxZ_njdebx1Eez7NWcG_r2gY,沧州市中心医院,1年前
#1型糖尿病 多见于青少年患者，不打#胰岛素 是不可以的#糖尿病科普,https://www.douyin.com/video/6932423973737090304,1410,00:35,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,9月前
#糖尿病 越来越趋向于青少年了！各位#宝妈 一定要多注意自己的#宝宝 #宝爸 #肥胖 #胖 #抖音 #宝宝,https://www.douyin.com/video/6847760036698066176,866,00:32,https://www.douyin.com/user/MS4wLjABAAAAB_AOSNvr-Kqv1CI5voPzjorpLGHScaNO4eVECLDootc,内分泌科孙医生,1年前
不要让自己的坏习惯给孩子完成危害，远离肥胖，从点滴做起，从现在开始！#肥胖 #儿童肥胖,https://www.douyin.com/video/6851947549708930318,1623,00:36,https://www.douyin.com/user/MS4wLjABAAAAo53WHma7BlCEQ9-XY3Pf_EeWcGG5NumSVoWojzGhg4fJq0bK9LSehcQYZVJ_EsyS,外科医生董星,1年前
为什么要做减胰治疗 #糖尿病 #1型糖尿病 ,https://www.douyin.com/video/6981629328920497421,1310,00:41,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,5月前
小“黑”胖子要警惕！#糖尿病 #儿童 #医学科普,https://www.douyin.com/video/6968749951312563492,3047,00:28,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,6月前
儿童怎么预防糖尿病#高血糖 #科普 #健康 ,https://www.douyin.com/video/7038392276543966472,96,00:34,https://www.douyin.com/user/MS4wLjABAAAAeRd9ihp42EJvc01CKLkiES9ZBeNVFcSIB_Tycjq2wtnkEUYikw4wPggH7h1aqUZQ,刘博士谈健康,2周前
#糖尿病 ,https://www.douyin.com/video/6985338568596147492,315,00:26,https://www.douyin.com/user/MS4wLjABAAAAO0G8NhfcSi8lebww20iNBj8vu3xEsejL-emk5rjXw8gfNIG7Dpg_3ccShyZJKsFj,逯俭主任,5月前
15岁女孩糖尿病，怕“丢丑”不敢用药#这个视频有点料 #健康 #科普,https://www.douyin.com/video/6823157658518883588,3223,01:21,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
#今日名医说 #儿童 糖尿B如何#控糖 #减肥 @抖音小助手 #健康 #涨知识,https://www.douyin.com/video/6864123423266852104,24,00:28,https://www.douyin.com/user/MS4wLjABAAAAR44Jq9eIXT_EmUoI1sKOL9KD4JI2H4VK6tCQKblWixk,经视养生会,1年前
要想远离糖尿病，记住这五句话#糖尿病,https://www.douyin.com/video/7040406491379109160,2.7w,01:48,https://www.douyin.com/user/MS4wLjABAAAA4vZ4ChzzbZW2-bI733aY7uqCMqh5aRnpbEvyuXUAHbg,周大亮医生,1周前
#健康科普仅供参考 ,https://www.douyin.com/video/7025416577352863006,8422,01:04,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
青年糖尿病 #生活方式医学 #健康,https://www.douyin.com/video/7039278978229652766,1612,04:03,https://www.douyin.com/user/MS4wLjABAAAA-9RDtCKbgT40O0R-oBSbhHvdCKTKcYXNXcr-cYh_4kmwZUZXuU9TWXQrTTrrfyf_,马欣教授,2周前
15岁少女被诊为糖尿病，糖尿病越来越年轻化，我们要注意自己的血糖#高血糖 #糖尿病 #医者仁心 #王世东 ,https://www.douyin.com/video/7003143378741382431,1267,00:11,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,3月前
#糖尿病膳食指南 饮食篇，每条都是干货，快来收藏。#创作灵感 #知识创作人 @郭火火郭,https://www.douyin.com/video/6892171914408758535,6168,00:47,https://www.douyin.com/user/MS4wLjABAAAA3pN_rGzk3IsM75rt9XEn0etL55MTzNmu5ZXr0CJv4s4,消化科郭医生,1年前
#医学科普仅供参考 ,https://www.douyin.com/video/7006132842187017508,3.0w,00:43,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
糖尿病早期症状有哪些？这些检查方法可以给你答案！ #有点儿东西创作营  #糖尿病,https://www.douyin.com/video/6859295616766446855,650,01:48,https://www.douyin.com/user/MS4wLjABAAAATT60AziEHhQJTkHWuoUUOr-suQas6x1UX-nqWpeGLaZWRO-7JflTe5qqv0gEywaw,边波说心,1年前
#健康科普仅供参考 ,https://www.douyin.com/video/7019915477812284680,1.6w,01:30,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2月前
#儿童感冒  会诱发 #一型糖尿病 吗 #糖尿病  #糖尿病科普,https://www.douyin.com/video/6886340127065492750,406,00:39,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
#南方健康 孩子血糖控制好了，可以减少yi岛素的注she吗？#涨知识  #健康科普,https://www.douyin.com/video/6925316392006847751,136,00:36,https://www.douyin.com/user/MS4wLjABAAAAVRQTSR_qiRv6BEL8-Zh-b1H1g1_sizUlieYTL8UQZHE,熊猫说知识,10月前
北京卫视报道：全国首个1型糖尿病从儿童到成人的快速转诊通道,https://www.douyin.com/video/6944888963995831589,60,02:30,https://www.douyin.com/user/MS4wLjABAAAAGtizHJkppgsgGdipPCVeBMcm2HgqfblySsoug0GGomM,内分泌邹显彤医生,8月前
糖尿病到底是怎么患的？揭秘其发生的真相！#糖尿病 #健康科普 #医学科普 @抖音小助手 ,https://www.douyin.com/video/7022776002011008287,3080,02:54,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,1月前
早期糖尿病的黄金逆转要把握#糖尿病 #老年病 #健康养生,https://www.douyin.com/video/6864476309993639171,34,00:56,https://www.douyin.com/user/MS4wLjABAAAAKrv1Yy0aKykJPpA9p8UcEfUUHVqOKfTkXTNdsDj5rrI,丹东市中心医院,1年前
做好这几点，尽可能远离#糖尿病 。,https://www.douyin.com/video/6973220559031176460,6493,00:53,https://www.douyin.com/user/MS4wLjABAAAA2yhgpLCLibphdQ7TUBlfxZ0_tSbaa3dmBv2l4epGC72X-N_CNgYPCEYrSscQcCjZ,肾内林中军医生,6月前
家族有糖尿病，自己怎么避免#医学科普 #春节我在岗 #科普,https://www.douyin.com/video/6930522325754400011,1601,00:50,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,10月前
#糖尿病 #健康科普 #中医 ,https://www.douyin.com/video/7024792504776002852,6671,01:16,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
符合这四个条件，糖尿病更容易缓解#糖尿病缓解 #糖尿病 ,https://www.douyin.com/video/7020605150804970765,1754,01:08,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,2月前
如果出现多饮，多尿，多食，体重下降这些症状，可能是早期糖尿病的表现，传递给身边的朋友，及早查明原因#健康科普 #高血糖 #医学科普 #糖尿病 ,https://www.douyin.com/video/7021772824545217805,313,00:10,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,1月前
#二型糖尿病 #健康饮食，多多#运动可以得到有效控制#中医 @大医健康,https://www.douyin.com/video/6869967663800519950,1289,00:52,https://www.douyin.com/user/MS4wLjABAAAA9NYXM936AFVzqaFJcixJtm9YSXbs5Hkg8C9j9URTiF0,中医内科张雪亮,1年前
#暑期知识大作战 糖尿病治疗的三个雷区一定要注意,https://www.douyin.com/video/6861889847485811981,6902,01:54,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
糖尿病可以逆转吗？你有逆转的可能吗？（1） #糖尿病,https://www.douyin.com/video/6972096016204025125,8361,00:56,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,6月前
某些症状，可能提示出现糖尿病，提醒我们需要到医院就诊。,https://www.douyin.com/video/6958020558336396557,4282,00:56,https://www.douyin.com/user/MS4wLjABAAAAv-uPF8b2CarHN5RJzYTC-A67Y8ZW28qZJ5F-rIoRFLY,减重医生杨景哥,7月前
