标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
“瞬感” #扫描式葡萄糖监测第二代产品，帮助用户摆脱 #指尖采血的痛苦，新增 #高低血糖警报等增强功能。,https://www.douyin.com/video/6891615750641945863,22,00:48,https://www.douyin.com/user/MS4wLjABAAAAyXCRg9U-7dLAxtM6sTLydfk-rF7ITLiRdrZRnQbd6yI,上观新闻,1年前
这么测#血糖 ，你肯定第一次见吧#科技 #进博会 @抖音小助手  #第四届进博会 ,https://www.douyin.com/video/7028228680178568456,4.1w,01:06,https://www.douyin.com/user/MS4wLjABAAAADy4wwZIQXZz0NNE_Iw9t04HCxvdI6HTsbH63TyxR9KU,科技组的姐姐们,2月前
测指尖血糖需要注意哪些事项呢#测血糖 #注意事项 #涨知识 @抖音小助手 @DOU+小助手 ,https://www.douyin.com/video/7009075550413131021,1.6w,02:47,https://www.douyin.com/user/MS4wLjABAAAALID-wmoXoaBSuEFCRsM8d3O0Oxim6WbVMqTNmdQN7DggdYVo4i8gltW8nArK7AEX,开心王医生,3月前
有很多网友心疼我的手指，其实我带的是这种嵌入式的，不疼哈#控糖 #减肥,https://www.douyin.com/video/6918260543186914563,1.6w,00:14,https://www.douyin.com/user/MS4wLjABAAAAMTjSIVlWOo-3Z-W9qjqavnMWBVpjWyv4oW65vOXfHjxytuUkQ4-VoP5EF29Z0FKW,一酮断糖生酮专门店,11月前
扎手指来测血糖，你很有可能误诊了#糖尿病 ！#健康真相官,https://www.douyin.com/video/6894123527776046343,3668,00:35,https://www.douyin.com/user/MS4wLjABAAAAg-2yC_pb8oDutvfu-ClglW2QK9nmcDuH2eekpQGOXvo,约见名医,1年前
有人问，不同手指测血糖不一样，有没有影响#糖尿病 #医者仁心 #健康科普 #控糖 @抖音小助手 ,https://www.douyin.com/video/7035789245314895111,253,00:22,https://www.douyin.com/user/MS4wLjABAAAAh8UoTHBNnbVtnmtT7B2hRV8u656hOZNegL_ffSBteeQ,刘医生说控糖,1月前
新手必学：顶级专业护师教您最权威的手指血糖测量方法,https://www.douyin.com/video/7016532364247469350,243,03:55,https://www.douyin.com/user/MS4wLjABAAAAGtizHJkppgsgGdipPCVeBMcm2HgqfblySsoug0GGomM,内分泌邹显彤医生,3月前
测指尖血糖是第一滴血准还是第二滴血准？#测血糖 #糖尿病,https://www.douyin.com/video/7023283765468286221,1.9w,02:16,https://www.douyin.com/user/MS4wLjABAAAAq5_kflNF3V6wJJSVx0hVSlY3Z84ybCISMNYXnxWm5y4,吕军医生,2月前
糖友福音来啦～不扎手指轻轻一扫就得知葡萄糖值#雅培瞬感血糖仪 #血糖监测 #血糖仪 ,https://www.douyin.com/video/7026674532572253475,41,01:59,https://www.douyin.com/user/MS4wLjABAAAATenBjV5NNRALF6DzQ-PRt4obW92cF2F-xQoI6qsHakA,可可逗,2月前
测指尖血糖的方法,https://www.douyin.com/video/6845552640911297800,63,00:54,https://www.douyin.com/user/MS4wLjABAAAALym8E9sU4O2lPGnNG9CeVCaogXREnrldXM4si7d8Bvk4UyHMLABF-qUK5ob-lJPB,安伯君,1年前
#糖尿病 #糖尿病科普 #糖尿病饮食 #糖尿病并发症 糖友，大力挤压手指，测出来的血糖准确吗？,https://www.douyin.com/video/6948981540349054208,130,00:54,https://www.douyin.com/user/MS4wLjABAAAAf6SI3EGN4QySFpQaervCXK00rH1yiksGyVUxqR2Xafc,黑龙江健仁堂生物科技有限公司,9月前
