标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
喝水多排尿多是不是有问题啊？张医生告诉大家#医生 #健康 #科普 #尿液,https://www.douyin.com/video/6809081880219094285,13.7w,00:37,https://www.douyin.com/user/MS4wLjABAAAAbeYCn4ZdAHpeRsoIS1Y6aMSGrn4IQ4ocncLSLkoLmnw3twyFp9Y5gR2r5OP-gE7f,泌尿外科女博士,1年前
尿液增多，常见于哪些疾病？#医学科普 #抖医医生 #健康 #医者仁心 #肾病 #iga肾病 #膜性肾病 ,https://www.douyin.com/video/7009176910362152228,669,01:48,https://www.douyin.com/user/MS4wLjABAAAAZ_F-ydEducAGsiZtQMWxCNL1KFsBpT8k-Z5wBdKvnzEqcZaE0wLViSnjtypyo1uc,中医肾病韩东彦,2月前
,,390,00:42,https://www.douyin.com/user/MS4wLjABAAAA9AZznZV7cPfuRyRoBerBtqjmKXxJ6iuAa19EgBW5YwtISXb4A0KTbizjPmXaQRzz,泌尿男科王耀锋,2月前
天气变冷，小便增多，怎么回事？#医学科普 #健康 #科普 #男科 @王坤芳 @抖音小助手,https://www.douyin.com/video/6911617998264552719,354,00:33,https://www.douyin.com/user/MS4wLjABAAAAoRY_EJihowYJOQPJM-AnRXMdSbrTaVe5bgyf-MDZOX4,男科梁志刚医生,11月前
,,253,00:44,https://www.douyin.com/user/MS4wLjABAAAAfx09eG9w-awl7tsz7cfCGM-V-FlNSIqc2A5p9DkZ80J9G6LOS_i8D0SUo7Mx3Q1t,泌尿外科桂定文医生,6月前
天寒地冻就想跑厕所，天冷尿多原因你知道吗？ #健康dou起来  #医学科普,https://www.douyin.com/video/6943879339821813005,117,01:54,https://www.douyin.com/user/MS4wLjABAAAAX4QDxL8fC_DWcAAP_Dl4eAqSIMkGCaJjPDLDR3yKnZP10ycYsGGK8ICMkiho0Bvf,绍能一堂,8月前
天冷了尿液的排泄次数多了起来，两位药来调理这种症状#中医调理 #抖医医生 #健康科普 ,https://www.douyin.com/video/7018131209397996831,3899,00:52,https://www.douyin.com/user/MS4wLjABAAAAtWy_Cc91byZ5EfoDX8OqS-XmXCpngklU8YR9f_c5oFZ1NEu9eEGpCXvmoWvFrV6I,日常小知识,2月前
,,33,00:33,https://www.douyin.com/user/MS4wLjABAAAAjisVTcZJBPqSJJtEoWw03bKIzufAwnhAunXrP9UaOOtKVaNrI6gCmdwXQwWs8y_E,泌尿科徐医生,5月前
喝水多#排尿也多这是正常现象吗#男性 #医学科普 ,https://www.douyin.com/video/7030977855630675207,128,00:29,https://www.douyin.com/user/MS4wLjABAAAAedFGRqAppHVdMlnjJ62pIHUzKzMdWJLdEnlbFntVjG0riE_Fn0xnrt3ahjcfj5or,泌尿男科陈善闻,1月前
刚喝完水就上厕所，而且还尿量多的人，是不是肾脏出了问题？,https://www.douyin.com/video/6912018032437087500,633,02:54,https://www.douyin.com/user/MS4wLjABAAAAYZo34twrzWfXiFHer7radd-gc4wM64yrypNnrtHBxOHF0nPsxtevvnZiLD2Rj30_,黄立坤教授,11月前
,,339,00:32,https://www.douyin.com/user/MS4wLjABAAAAhXRr_xfKYKS0lOLhwAxGfFIIg3Acg0UVggUMxk0dZ8Q8uuk0hWFwToVJtV1R4ONw,甲状腺医生张先慧,11月前
"白天尿液多,这是啥原因造成的？ #医学科普 #健康 #抖医医生 #医学知识科普 #女性健康 #男性 #诊室日常",https://www.douyin.com/video/7037460129146522913,1154,01:22,https://www.douyin.com/user/MS4wLjABAAAArqLYtAuP6JD581YVc_J0wpZNCLfkwSqEKbgQFTF_zR0,男科医生景治安,2周前
喝啤酒后出现小便增多，是不是shen有问题？#云上大课堂 #十万个怎么做,https://www.douyin.com/video/6844013637674339584,332,00:26,https://www.douyin.com/user/MS4wLjABAAAA2uxTlj-g1lRtzLL6-mzXMIX5W_HNoSl6LYTwdG4vBvE,男科钟宇医生,1年前
喝水多排尿也多这是正常现象吗？#医学科普 ,https://www.douyin.com/video/7031049475535703327,1041,00:33,https://www.douyin.com/user/MS4wLjABAAAAWlVKIXgCL5Dq_EXwVJAW2wCfOVyDbNF1CFH0avqYvahquEjywESudXoJkHnbE_XC,泌尿男科董大夫,1月前
阳气不足，不仅会使人畏寒怕冷，手脚冰凉，更会导致小便次数增多，看看怎么解决#中医科普 #健康养生 #阳虚,https://www.douyin.com/video/7016862269778824455,364,01:02,https://www.douyin.com/user/MS4wLjABAAAACnQ0_fAb4PP9dwuF_Aw3v-S6OPQK_pktRzzyYlw09G4,济南广播电视台鲁中传媒,2月前
