标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
快来get胰岛素注射轮换的正确方式！#糖尿病 #胰岛素注射,https://www.douyin.com/video/6989938388468059429,133,01:19,https://www.douyin.com/user/MS4wLjABAAAACa0unc8-05XaOzOQNxjmhu7H0QC9T6GB3kJ6faEgQ7o,刘海霞说内分泌,5月前
X,https://www.douyin.com/video/6826521646241795328,98,00:44,https://www.douyin.com/user/MS4wLjABAAAAycA6ncfMO-NTEtZwNSVX2ehDREA0IJuRkr6CqGr3aMXEQtJjQZNICB6tDyppPE6Q,X,1年前
这样打胰岛素比较安全#糖尿病科普,https://www.douyin.com/video/6926459035151600899,104,02:25,https://www.douyin.com/user/MS4wLjABAAAAU0KImtEhfZJmDpssbYM5E4Fk0pTkypcl8zOvFJr4riM,首都医科大学附属北京康复医院,11月前
#胰岛素笔注射知识  #求赞、求赞,https://www.douyin.com/video/6852091653075815687,176,06:38,https://www.douyin.com/user/MS4wLjABAAAA8nT3QKd0aen9qBBQBM--ccTP4WIY4BcZmz4hu1aisiE,bsszyyy,1年前
尽量不要固定一个位置注射胰岛素 #妊娠糖尿病  #胰岛素注射 #牙齿健康 #我的白大褂,https://www.douyin.com/video/6914109180919958792,49,01:07,https://www.douyin.com/user/MS4wLjABAAAAsRPT6herJ9dFHDgA1V8byBJQgzm78h63l_4-GxlGals,保健时报,1年前
使用低分子肝素、一定不要只在肚脐附近打、要懂得变换注射位置#备孕 #保胎 #关爱女性健康 ,https://www.douyin.com/video/7004393754400460063,2290,00:51,https://www.douyin.com/user/MS4wLjABAAAA3STeIZYg8SPlWf6XqFfgTmNvWKssOs5IJ-tuVELC2heJp2iqDWxMJBrav_Bh-Ow7,生殖专家谭丽教授,4月前
注射胰岛素，这三点很重要 #胰岛素 #胰岛素注射 #今晚直播哦 ,https://www.douyin.com/video/7047803702878555428,7738,00:46,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,2周前
小时候的梦想#看见护士的力量,https://www.douyin.com/video/6962069549374016805,867,01:00,https://www.douyin.com/user/MS4wLjABAAAAFT7Y5HMMYLtC613VsjZSLYW2WbwM2LLgrp_MlopwyJC2IViGJilEAgM4mAC7Y6rB,南京市第一医院,8月前
#医学科普,https://www.douyin.com/video/7026370053540941068,60,00:32,https://www.douyin.com/user/MS4wLjABAAAAAPBRreTcWTmtCKR08O91jvT73aqFjmp511dzr3Q_dck,宝鸡第三医院,2月前
#全民健康计划 胰岛素使用的五点注意事项@河豚健康,https://www.douyin.com/video/6849947609667276047,32,00:59,https://www.douyin.com/user/MS4wLjABAAAAqfscsjDf69uDpi1kLPdcqKGaYoLckBrEk3QDRoXbzPI,张药师安全用药,1年前
胰岛素笔的规范注射方法～,https://www.douyin.com/video/6895895016103873807,60,01:00,https://www.douyin.com/user/MS4wLjABAAAAfujEYqCQGlKE7ALCCFiSG2vOq9yzwhUVucoPYPeJzR0,武安市第一人民医院,1年前
#试管婴儿#促排卵 药物注射在左边，右边的卵泡是不是就不生长了？别担心，药物是经全身吸收的！ @DOU+小助手,https://www.douyin.com/video/6944918808024960292,877,00:29,https://www.douyin.com/user/MS4wLjABAAAADvUSRNuHYj7W6xzkjRqVigRETxCBUmQkPfJQaB8u9jiyYu3Dw1X4YULavWDns8I0,南京鼓楼医院生殖医学科,9月前
身体哪些地方可以打胰岛素？看看胰岛素的正确注射部位  #胰岛素注射  #胰岛素,https://www.douyin.com/video/6944596423509839135,8934,00:53,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,9月前
好消息！ 我院“科普达人”们斩获佳绩！ 快来看看都有谁吧#平顶山市健康科普能力大赛,https://www.douyin.com/video/6907799968044616975,8,00:30,https://www.douyin.com/user/MS4wLjABAAAAiMGbuKB4azf6gxJ8s_x4yhoA9MqHtYDzVp5UDzTzFKk,平顶山市中医医院,1年前
