标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
#健康 #涨知识 #医生 #脂肪肝,https://www.douyin.com/video/7001683464307084548,19,00:34,https://www.douyin.com/user/MS4wLjABAAAAGhVEjaDutMkvTk1HXJzjFzrzfqSs6vVBKJlZdhwrRKYaSJT3dPi6wvyUjzzcpuPk,消化内科戴世学医生,3月前
糖尿病患者吃粗粮的好处有哪些？为什么建议糖尿病患者吃粗粮？#糖尿病 #高血糖 #健康,https://www.douyin.com/video/6960573587312954660,496,00:40,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,6月前
为什么建议糖尿病患者吃粗粮，为什么吃粗粮可以避免餐后高血糖？#糖尿病 #高血糖 #健康,https://www.douyin.com/video/6956477024777145637,2354,00:42,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,7月前
营养健康天天问：这是什么？这两者有什么关系？@抖音小助手 #科普 #涨知识,https://www.douyin.com/video/6945839643287932191,43,03:35,https://www.douyin.com/user/MS4wLjABAAAABbJ9B8W92-Y2o-nKUP0PKJgcmRssLDn4mh3skP6z45A,中国营养保健食品协会CNHFA,8月前
什么是碳水化合物？,https://www.douyin.com/video/7009172723356159239,14,01:45,https://www.douyin.com/user/MS4wLjABAAAAc9XchUP0ufTGqfrNLx4FqH3fPjI-F47h_HvxSEgZ758,南医大四附院,2月前
哪些食物可以降血糖，听周医生说#降血糖,https://www.douyin.com/video/6954654950483856640,9517,00:38,https://www.douyin.com/user/MS4wLjABAAAA4vZ4ChzzbZW2-bI733aY7uqCMqh5aRnpbEvyuXUAHbg,周大亮医生,7月前
这些谣言不可信，养胃也是同理。,https://www.douyin.com/video/7027362038980594974,3063,01:56,https://www.douyin.com/user/MS4wLjABAAAAKh3j5CwNZG_jfKR1saSFQkOiuYUk8IpiYH8ANxgKjWQ,中医王成阳博士,1月前
多吃 #紫薯可以 #预防癌症？听听专家怎么说 #健康  @抖音小助手,https://www.douyin.com/video/6891851580992212237,1899,00:50,https://www.douyin.com/user/MS4wLjABAAAAYcQ8O3eqErbTWNPQZaul4VLLwcg5GEoqn1ugll6R-Vo,CCTV生活圈,1年前
宝宝添加辅食后便便里有食物残渣，是辅食出问题了吗，家长需要干预吗#母婴 #医学科普 #新生儿 ,https://www.douyin.com/video/7002151932768832801,782,00:41,https://www.douyin.com/user/MS4wLjABAAAA6Bp_rWLKxQ_RqOZbFCS4ViLy8qIDAzHsIcVSvUq14dk,儿科姜主任,3月前
#糖尿病 #糖尿病饮食 糖友们在控制饮食但同时，也不要忘记补充营养,https://www.douyin.com/video/6988763722512649512,1144,01:07,https://www.douyin.com/user/MS4wLjABAAAARz9j_M7MXa-9ouVdVcnLp-H3hy32om2DogZjnpEEqRJ8xnVzu9gpHA-6fIwRmWBf,内分泌科宋医生,4月前
