标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
使用溴隐亭有哪些禁忌症呢,https://www.douyin.com/video/6980214395695680781,229,00:43,https://www.douyin.com/user/MS4wLjABAAAApICR1eiTZW23OhnRkC-NK3aX_7MjfIsILuyREW9Cy1A,刘湘源医生,5月前
给粉丝开的小灶，有高泌乳血症的患者朋友看过来#轻知识计划,https://www.douyin.com/video/6771032415054941447,1907,00:34,https://www.douyin.com/user/MS4wLjABAAAAetrO0o45zw6xC5TlNDZo_yOaZ5JLfc5Gh_DZTX7nGts,妇产科刘义,2年前
泌乳素高需要治疗吗？#关爱女性健康 #每天学习一点点,https://www.douyin.com/video/6969862429765356837,188,00:48,https://www.douyin.com/user/MS4wLjABAAAAl4RRtUkDk4S6C2a4ynSAN49yadmYGTqlHAzuEDTuQLs,欢乐大使,6月前
肢端肥大症可以口服溴隐亭吗?#肢端肥大症 #医学科普 #健康 @抖音健康 @健康中国 ,https://www.douyin.com/video/6998061129322728717,46,01:00,https://www.douyin.com/user/MS4wLjABAAAATpkVif58GHHtz7ae8RLxmaBd_nhZk5jnMzSkJFS5uu8TsOd2JqNie0EtC5etWY15,神经外科幸兵医生,4月前
,,641,00:56,https://www.douyin.com/user/MS4wLjABAAAAUaRTrBIQuJI87YI5tga4OFM3e4sq3t3IxzX-5PpTs_wbP8W_W1jx6o1-OU-WHMFw,神经外科杜医生,1年前
干货满满 赶紧点赞收藏！#垂体瘤 #健康 #涨知识 ,https://www.douyin.com/video/7039983283777604901,291,00:07,https://www.douyin.com/user/MS4wLjABAAAATpkVif58GHHtz7ae8RLxmaBd_nhZk5jnMzSkJFS5uu8TsOd2JqNie0EtC5etWY15,神经外科幸兵医生,1周前
海上名医系列-高催乳素血症孕期注意事项1#怀孕 #健康 #备孕 #女性 #抖音小助手,https://www.douyin.com/video/6962164804815490335,248,00:49,https://www.douyin.com/user/MS4wLjABAAAAkISjbp0-7CMkXT8NqeJ4Koik96IB0s-mXQvyV5vjVht5CfICwbR0JHDbLFjn8PD4,张炜医生,7月前
血清泌乳素增高对男性有影响么？,https://www.douyin.com/video/6979519373140626724,142,00:30,https://www.douyin.com/user/MS4wLjABAAAApICR1eiTZW23OhnRkC-NK3aX_7MjfIsILuyREW9Cy1A,刘湘源医生,5月前
"溴隐亭副作用太大,恶心、呕吐、心慌、头晕、头痛、便秘、症状,严重者可出现精神障碍、",https://www.douyin.com/video/6995006617464950057,59,00:15,https://www.douyin.com/user/MS4wLjABAAAAu6UxxnIWd56Q0Idpreb_n_lL8lgwPELV5xES1YoB7B0,申申姐,4月前
4次小月份胎停后不孕，在用药和做试管情况下，成功怀孕且HCG翻倍良好。患者有垂体微腺瘤并高泌乳素血症，每日5片溴隐亭也控制不佳，怎么办？,https://www.douyin.com/video/7001033176701324575,151,05:40,https://www.douyin.com/user/MS4wLjABAAAApICR1eiTZW23OhnRkC-NK3aX_7MjfIsILuyREW9Cy1A,刘湘源医生,3月前
泌乳素高怎么办？#dou出新知 #女性健康 #孕期知识,https://www.douyin.com/video/6973125320694156547,33,00:40,https://www.douyin.com/user/MS4wLjABAAAAfHv-cVc8yKMJpxivxaC-fcb6XhOk5EzzJlfasRYiXNE,冯晓医生,6月前
查泌乳素高，也许你该在检查前适当休息。#健康 #医学科普 ,https://www.douyin.com/video/6983616434005986574,112,00:40,https://www.douyin.com/user/MS4wLjABAAAAkYNOuQOV8Q5RjjV7jnPEdcUIxwwJwYPZ7_vOzIo0YZo,妇科钱医生,5月前
回奶宝有没有副作用 @震洋健康  @妇产科李海泉医生 #健康真相官  #知识创作人,https://www.douyin.com/video/6890482303101881608,554,00:48,https://www.douyin.com/user/MS4wLjABAAAAHrdOOLY1GE3dQN8J2p_-1w5Vgt7nvUgfqLNeEBBZ-UE,妇产科莫慧华医生,1年前
#熬最深的夜 第N瓶溴隐亭了。每天一片，早上多吃半片就会想吐。人设永远要凹正能量舞蹈老师。累了，晚安,https://www.douyin.com/video/6936933658590842120,71,00:15,https://www.douyin.com/user/MS4wLjABAAAAebPaHqkEGs94QEWkpejZAbEqeTjcmVWEEwAQEm4BVHw,悦舞者•杨舒棋,9月前
#一妇婴 #健康科普 #泌乳素高 #备孕 泌乳素高，怎么治？,https://www.douyin.com/video/6860772586872229133,224,00:50,https://www.douyin.com/user/MS4wLjABAAAASvvqOq5rbBZMR1bjXdJLcFBIpjAl5npmvlBH7kx6Lw8,一妇婴健康科普团,1年前
激素6项检查单怎么解读？哪个时候检查结果最准确#医学科普 #备孕 #关爱女性健康 ,https://www.douyin.com/video/7003632756068453668,2986,00:50,https://www.douyin.com/user/MS4wLjABAAAADZcvAq1o_anki2CxdWOHRIISeLP2k0YjavN4EsMWaD7vpKXn4_vcqGLGseT4GpJH,生殖科韩永梅,3月前
突然闭J有可能是这个原因 #dou是知识 #女性,https://www.douyin.com/video/6795357466554043662,2374,00:28,https://www.douyin.com/user/MS4wLjABAAAAxvPCzT_FJWQPbKJR-75fBXb3nZ0oFbSiIFNtEsJc0qY,杨苏安,1年前
#备孕##怀孕 卵泡长不大该怎么办？,https://www.douyin.com/video/6887334009634835716,171,00:36,https://www.douyin.com/user/MS4wLjABAAAAGEmG9erT1FNnVtrDfX1Yd27oyVZkT1bNVAT1i2RglYM,生殖科专家李建军,1年前
#高泌乳素血症#嗅隐亭 #医院 ,https://www.douyin.com/video/7005879917057510663,30,00:06,https://www.douyin.com/user/MS4wLjABAAAA8-aErtIO4AyfKa-bRhnjG87G2CNhfsajIXMxN0SkKaY,远大白开水DE味道,3月前
回N宝有没有副作用 @震洋健康  @妇产科李海泉医生 #科普,https://www.douyin.com/video/6944275396389047582,200,00:47,https://www.douyin.com/user/MS4wLjABAAAAHrdOOLY1GE3dQN8J2p_-1w5Vgt7nvUgfqLNeEBBZ-UE,妇产科莫慧华医生,8月前
脑垂体引起泌乳素高，我孕5周开始停服溴隐亭的孕期经历..#宝宝1岁1个月#脑垂体 #溴隐亭 @抖音小助手,https://www.douyin.com/video/6862772650612100360,190,00:12,https://www.douyin.com/user/MS4wLjABAAAApwPQ0NMXxi-EK-5v845XVWaRyQZTuYqj6hyLT-1DPGI,小艾米米,1年前
#月经不调 #乳腺增生胸疼,https://www.douyin.com/video/6867482259662834958,1729,00:32,https://www.douyin.com/user/MS4wLjABAAAAyUc1bIEGTLDU3KETq66O4JARExfdEmXkGC0uXesrXDXADYF6S74U6OJL1CrUvmUD,韩晶医生,1年前
#溴隐亭 #高泌乳素血症 这药的副作用太大，我已经吃三瓶了，只有服用过的人才明白给你带来什么样的煎熬,https://www.douyin.com/video/7021377324075601183,50,00:15,https://www.douyin.com/user/MS4wLjABAAAA8sA6mef4G7rmUccO7DQS_I9GkeqGZfzl8e_rqkQ6-GE,贵州沙妹儿,2月前
希望所有女孩都不知道这个药，副作用太大了头晕恶心重度鼻塞便秘浑身没劲，关键目前市面上就这一种药…%溴隐亭 ,https://www.douyin.com/video/7013359968875318564,14,00:30,https://www.douyin.com/user/MS4wLjABAAAANdcUkENaq9s2Oi8JEqtTNjvtm5tcBFSoDBLlgpaZD6k,a* 倩倩儿,2月前
脑肿L到底能不能治？到底怎么治呢？,https://www.douyin.com/video/7043613772325375263,23,06:44,https://www.douyin.com/user/MS4wLjABAAAArDF7ae8LpSh3m_KcTkQOlSLBBctO7AV-jktjGcSgwI60OpHv6RjlRXSRiwq0CnHS,贾栋,2天前
“不孕不育”诊疗能否纳入医保？官方回应！,https://www.douyin.com/video/7011350464868486437,847,00:13,https://www.douyin.com/user/MS4wLjABAAAA2_l1jyD-IKv72DbBSwaU21S-r7I4I9WrsJABCD8YPyk,中国经济网,2月前
#一妇婴 #健康科普 #泌乳素高 #孕后  泌乳素高，怀孕后怎么办？,https://www.douyin.com/video/6859295935088823566,116,00:52,https://www.douyin.com/user/MS4wLjABAAAASvvqOq5rbBZMR1bjXdJLcFBIpjAl5npmvlBH7kx6Lw8,一妇婴健康科普团,1年前
