标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
降糖药服用时间大全#糖尿病 @河豚健康 @抖音小助手,https://www.douyin.com/video/6942398403330592008,1.6w,01:18,https://www.douyin.com/user/MS4wLjABAAAAIh4PYQ_S9jTg-G8nImuO45jgN9OPP13ESSaeADxrNMvHoIdKDc6LF3XA3P0zie72,晓光说药,9月前
记住，国家批准干预糖前期的药物只有一个！@DOU+小助手,https://www.douyin.com/video/6851053753508826380,7411,00:51,https://www.douyin.com/user/MS4wLjABAAAAYGzkiXoanlk-DR1Wcky_7DTuqiCXir2LgZXpOh6uLB4,养生堂,1年前
瑞格列奈类药物不能乱服用！#糖尿病,https://www.douyin.com/video/6834481934454803725,30,00:46,https://www.douyin.com/user/MS4wLjABAAAAs4hrZ7mAtEVOTl6OYBOPCe0CsjYkwBhocrgcqHt_s4k,禾瑜控糖,1年前
这些优点让医生特别喜欢使用格列奈类降糖药，效果好、安全性高！,https://www.douyin.com/video/6990634079490297099,21,04:07,https://www.douyin.com/user/MS4wLjABAAAAnxU1Ud7keE_x7u0jAePxM0y5jKx0szIKPLKE841bodA,汪宗军,5月前
@抖音小助手 #健康,https://www.douyin.com/video/6814982810936364301,17,00:46,https://www.douyin.com/user/MS4wLjABAAAAIFnY4ewbWHwdOTsDP1tYZ2qJn9J9U_9wRg-cexClX3hQLD4_5NSVGHHQ6SWhQ6Zd,方涛,1年前
最理想的餐后血糖调节剂：瑞格列奈、那格列奈、米格列奈如何使用,https://www.douyin.com/video/6991104143255407879,16,05:56,https://www.douyin.com/user/MS4wLjABAAAAnxU1Ud7keE_x7u0jAePxM0y5jKx0szIKPLKE841bodA,汪宗军,5月前
如何选择降糖药 非磺脲类 瑞格列奈 那格列奈 #糖尿病知识  #降血糖,https://www.douyin.com/video/6812941864434404616,146,01:05,https://www.douyin.com/user/MS4wLjABAAAA4gNmwVcmm2FfrVIuNvKIgzkhDxdyFLouO8Nx_lpbwfo,正哥与涵涵,1年前
瑞格列奈的特点@抖音小助手 @DOU+小助手,https://www.douyin.com/video/6886193121386843406,43,00:38,https://www.douyin.com/user/MS4wLjABAAAAZ9SxdS6j_-st3EldiI5lrsWUr3PZSo8XjaeatHajWfRDS9juZzHatXXubz7w13OZ,LYZYYGYS,1年前
#知识能量站 警惕：有低血糖风险的降糖药#抖来涨知识 #这个视频有点料,https://www.douyin.com/video/6942710490145557771,1655,00:45,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,9月前
糖尿病科普,https://www.douyin.com/video/6864399505861725454,25,00:53,https://www.douyin.com/user/MS4wLjABAAAAmXejDyVk3HmC1GWSdWoHPcKpiiHAYyxAEewfIzFnQOoyOGUWWTBNtEkAOzeNzBqE,糖友在线学堂,1年前
