标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
糖化血红蛋白怎么控制?#糖尿病 #糖化血红蛋白,https://www.douyin.com/video/7008364511212227876,3147,03:53,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,3月前
糖化血红蛋白能诊断糖尿病吗？#糖尿病,https://www.douyin.com/video/6902355357713108231,8723,00:48,https://www.douyin.com/user/MS4wLjABAAAADpTiEpkjX_fXgDZudeIOTE1fqPky6GK_mbCF0-8jYTA,聊健康的崔主任,1年前
检查糖化血红蛋白的重要性，为什么要检查糖化血红蛋白？#糖尿病 #高血糖 #健康,https://www.douyin.com/video/6956457887862377765,202,00:53,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,8月前
如何通过糖化血红蛋白，来判断过去2~3个月的平均空腹血糖及餐后血糖？#健康科普 #医学科普 #糖尿病 @抖音小助手 ,https://www.douyin.com/video/7033719196848508197,1380,02:05,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,1月前
糖化血红蛋白控制在什么范围好？#糖尿病 #糖化血红蛋白 ,https://www.douyin.com/video/6984354496268864804,2068,00:57,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,6月前
糖化血红蛋白控制到什么程度？#糖尿病 #糖尿病科普 ,https://www.douyin.com/video/6982851040014060831,1726,00:32,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,6月前
#糖化血红蛋白 #抖医医生 #医学科普 ,https://www.douyin.com/video/7009196932849503525,130,00:24,https://www.douyin.com/user/MS4wLjABAAAAsKVSXlYL_orNMvpIB61Kvx3k892P7jM7GYFTyS9NmCrzFUdkKOBfgrEkGOWOVSgm,中医肾病科医生常峥,3月前
糖化血红蛋白天天看，但你真的了解它吗？#糖尿病 ,https://www.douyin.com/video/6983196715063020837,4528,01:00,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,6月前
什么是糖化血红蛋白  #涨知识  #糖化血红蛋白,https://www.douyin.com/video/6931236308115328264,6944,00:37,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,10月前
新诊断糖尿病，糖化在多少合适呢？#糖尿病 #糖化血红蛋白 ,https://www.douyin.com/video/6989873552254061836,2679,00:47,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,糖尿病逆转邹大进教授,5月前
#糖尿病 需要定期做糖化血红蛋白检查吗#医学科普 #健康 ,https://www.douyin.com/video/6999500448101092645,2243,00:55,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,4月前
#糖尿病 患者#糖化血红蛋白 12.9，以为是主任吓唬他！#我的门诊故事 ,https://www.douyin.com/video/7004627256425434381,1.2w,00:52,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
为什么糖化血红蛋白正常了，血糖还是忽高忽低#糖尿病 ,https://www.douyin.com/video/6998440097880231198,1569,00:43,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,4月前
