标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
,,1290,00:34,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
糖尿病会影响夫妻生活吗？#健康,https://www.douyin.com/video/6969465376534957348,216,00:42,https://www.douyin.com/user/MS4wLjABAAAA062xLtYILS8e4yU1ZsATqW6KHo9dqQKV8i7bjvPxjSqi1DyT73OLAa3gAmLwUtAr,韩昕健医生,6月前
糖友关心的问题，糖尿病时间久了会不会影响#生育功能，会不会遗传给#下一代#健康科普 #科普 @抖音小助手 ,https://www.douyin.com/video/6994634752930090253,376,01:16,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,4月前
糖尿病影响X功能？#健康 #高血糖 #王世东 ,https://www.douyin.com/video/7039236981120847112,5337,00:05,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,1周前
,,264,00:26,https://www.douyin.com/user/MS4wLjABAAAAzJvl4xxGd17Wz6KIZZwvIgfKdti6WkXawAujJicf8L4,神经内科孙大夫,8月前
你知道吗？糖尿病也会导致YD炎，快看。#女性健康 #医学科普,https://www.douyin.com/video/6962049854843473182,123,00:24,https://www.douyin.com/user/MS4wLjABAAAAvuGTDG1wlv_bvXAzhRSCZuvTJG4cpyPxeRYmrhg39KSWg6lAuIdecwjKQleIWEZi,中医妇产科漆海宁,7月前
,,2167,00:42,https://www.douyin.com/user/MS4wLjABAAAAw0IOGuSKZNYD69Atkvic6SJRU7-9e2VxwDp89JO69oI,徐志强医生,9月前
又是一条辟谣视频，希望能发出去！##抖来学习 #医学科普,https://www.douyin.com/video/6936097483185589538,1202,00:53,https://www.douyin.com/user/MS4wLjABAAAA9yEK4hXyeduZG5m2X_X8d3shhJ_OqVR9R27M3Jl6VdUsyxGy__7ymD-pz9EAgJlw,男科陈主任,9月前
血糖高会影响丁丁的功能吗？ #关爱男性  #男性知识  #高血糖,https://www.douyin.com/video/6966236909014093093,2368,00:35,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,6月前
#男性患有#糖尿病 会影响“夫妻生活”吗？#医学科普 #健康科普 #快康健康 #科普 #夫妻 #养生,https://www.douyin.com/video/6958625239290973453,160,00:42,https://www.douyin.com/user/MS4wLjABAAAAbmmtY7C0xAiH-K7mIdMowOJfd8lL-5ahvMhKCze_iZs_CHoiK8PJWijzokDK4k89,泌尿男科周主任,7月前
原因告诉大家了，需不需要预防，应该明白了#科普 @DOU+小助手 #DOU上热门,https://www.douyin.com/video/6820209436552858891,1257,00:19,https://www.douyin.com/user/MS4wLjABAAAAAFxNd7N3v3vYkvq6J2IQkU0U9I2L19AnaLsGC_RlBc4,袁轶峰大夫,1年前
辟谣还是证实#抖来学习 #知识创作人,https://www.douyin.com/video/6927085905798778112,175,00:29,https://www.douyin.com/user/MS4wLjABAAAA9yEK4hXyeduZG5m2X_X8d3shhJ_OqVR9R27M3Jl6VdUsyxGy__7ymD-pz9EAgJlw,男科陈主任,10月前
10个信号提示血糖正在失控#健康 ,https://www.douyin.com/video/6979042633737899277,2.0w,01:16,https://www.douyin.com/user/MS4wLjABAAAA062xLtYILS8e4yU1ZsATqW6KHo9dqQKV8i7bjvPxjSqi1DyT73OLAa3gAmLwUtAr,韩昕健医生,5月前
糖尿病早期“默默无声”，专家提示：女性患上误以为是妇科疾病,https://www.douyin.com/video/6967274507992157451,5,01:25,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,1年前
丈夫出现糖尿病，太太应该注意这两方面！ #医学科普  #健康科普 ,https://www.douyin.com/video/6982487396801711368,254,01:12,https://www.douyin.com/user/MS4wLjABAAAAvBYAZ2AE8KL-7bXkaQlSIiwYPpjrfBAT52rA0l9tQyVznrUBavHjJVsO3di_6aHI,田龙医生,5月前
#男科医生  @袁医生的实习生 @DOU+小助手 #男科 #dou出新知,https://www.douyin.com/video/6899281299228364047,340,00:27,https://www.douyin.com/user/MS4wLjABAAAAAFxNd7N3v3vYkvq6J2IQkU0U9I2L19AnaLsGC_RlBc4,袁轶峰大夫,1年前
出现这几种症状，就要小心糖尿病了#糖尿病 #健康 #糖尿病科普,https://www.douyin.com/video/6854476191202659599,583,00:34,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
有人说糖尿病是“夫妻病”有何依据？#健康大咖来了#健康中国科普中国医学科学院北京协和医院内分泌科主任医师肖新华,https://www.douyin.com/video/6992104999874497796,545,01:09,https://www.douyin.com/user/MS4wLjABAAAAAdC548JiARqnjAJ0ZXajmlaEXoS8z-DRzMUUD0kkQ4U,健康中国,4月前
女性请认清：这几个异常一出现，可能是血糖升高了！,https://www.douyin.com/video/6867472011040460036,31,01:33,https://www.douyin.com/user/MS4wLjABAAAAhWVdFY_-kUUEAYcjrqT9v1bF050qHelQjL0XpcxOc1o,有来科普,2年前
