标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
#糖尿病 患者如何正确的运动！#健康科普 #中医 ,https://www.douyin.com/video/7024408161477987591,3.2w,02:10,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
糖尿病人怎么运动，才能安全有效 #糖尿病  #糖尿病运动,https://www.douyin.com/video/6890800232754351367,3499,01:00,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
适合糖友的运动#控糖 #运动,https://www.douyin.com/video/6934874355864194312,5008,00:28,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,9月前
 糖尿病患者餐后这样运动，效果更好,https://www.douyin.com/video/7027019084290215198,2712,00:53,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,1月前
糖尿病患者怎么运动？饭后运动很重要。 #健康 #王世东 #肾病  #医学科普#糖尿病 ,https://www.douyin.com/video/6979760563484101901,1510,00:41,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,5月前
冬天到了，糖尿病人别忘了运动噢，动起来中不中？！#健康真相官 #医学科普 #健康 @DOU+小助手,https://www.douyin.com/video/6912346338738916623,107,00:45,https://www.douyin.com/user/MS4wLjABAAAAE6N2Ua7sC3oYFBtJWdnF0hLh5nXhoDGQcIhLCawqKaw-0bxdKrj5zWHkyytAOISu,内分泌科史双伟,11月前
运动对血糖至关重要，糖尿病患者应该如何运动？有何注意事项？,https://www.douyin.com/video/7017230788223667486,33,03:08,https://www.douyin.com/user/MS4wLjABAAAAGtizHJkppgsgGdipPCVeBMcm2HgqfblySsoug0GGomM,内分泌邹显彤医生,2月前
糖尿病患者应该这样运动！持续8周，看到变化 #糖尿病  #糖尿病运动 ,https://www.douyin.com/video/6976869845149207815,3397,00:44,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,5月前
逆转糖尿病，每天运动半小时#糖尿病 #健康真相官 #糖尿病科普,https://www.douyin.com/video/6923107679934188813,4356,00:40,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,10月前
有氧、无氧，哪个运动更适合糖尿病#健康科普 #这个视频有点料 #糖尿病 @抖音小助手 @南方健康,https://www.douyin.com/video/6866182504454327555,2802,00:59,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
糖友运动，循序渐进很重要#糖尿病 #糖尿病运动 ,https://www.douyin.com/video/7011007776981847307,1308,00:30,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,2月前
门诊的患者问：哪些运动锻炼适合#糖友 欢迎在评论区留言互动一起讨论控糖那些事儿#糖尿病 #健康科普 #干货知识,https://www.douyin.com/video/6993614364049755428,367,00:58,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,4月前
 糖友适合什么程度的运动#糖尿病 #逆转糖尿病 #运动 ,https://www.douyin.com/video/7006225822239558949,1951,00:28,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,3月前
糖尿病患者运动时间来了！#控糖 #糖尿病,https://www.douyin.com/video/6821434332402568452,2469,01:29,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
