标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
糖尿病做到这几点，让血糖回复的更好#医学科普 #高血糖#健康#王世东 #糖尿病 ,https://www.douyin.com/video/6987663680905186573,1.4w,00:51,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,5月前
#糖尿病 患者如何正确的运动！#健康科普 #中医 ,https://www.douyin.com/video/7024408161477987591,3.3w,02:10,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2月前
糖尿病诊断必须知道的五个数字#糖尿病,https://www.douyin.com/video/6882690086392188168,7.4w,01:12,https://www.douyin.com/user/MS4wLjABAAAADpTiEpkjX_fXgDZudeIOTE1fqPky6GK_mbCF0-8jYTA,聊健康的崔主任,1年前
五大措施缓解2型糖尿病#医学科普 #糖尿病 #健康科普 @DOU+小助手,https://www.douyin.com/video/7014090310720458017,1.3w,01:48,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,3月前
糖尿病人一定要打胰岛素吗？#医学科普 #糖尿病 @DOU+小助手 ,https://www.douyin.com/video/7018107668556516620,3587,01:39,https://www.douyin.com/user/MS4wLjABAAAADpTiEpkjX_fXgDZudeIOTE1fqPky6GK_mbCF0-8jYTA,聊健康的崔主任,2月前
糖尿病到底是怎么患的？揭秘其发生的真相！#糖尿病 #健康科普 #医学科普 @抖音小助手 ,https://www.douyin.com/video/7022776002011008287,3360,02:54,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,2月前
糖尿病如何降低血糖？怎么样吃饭？ #糖尿病  #降糖药  #健康  #健康养生  #高血糖  #中老年养生 ,https://www.douyin.com/video/6987342775821831428,6.9w,03:54,https://www.douyin.com/user/MS4wLjABAAAAebrk8AJSBr-XKxpJPASQEgJ6IsMaT_aBOqWz7vE03tA,疼痛科张医生做科普,5月前
空腹血糖大于6.1，小于7.0，餐后血糖大于7.8，属于糖尿病前期，这时得注意,https://www.douyin.com/video/6894562901252640007,3.6w,01:03,https://www.douyin.com/user/MS4wLjABAAAADpTiEpkjX_fXgDZudeIOTE1fqPky6GK_mbCF0-8jYTA,聊健康的崔主任,1年前
糖尿病应该知道这4件事，知道的越早越好！#健康科普 #医学科普 #糖尿病 @抖音小助手,https://www.douyin.com/video/7036339327512628510,1823,02:04,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,1月前
#糖尿病 人全身无力没精神是怎么回事？ #健康科普 ,https://www.douyin.com/video/7001350875209895204,1.2w,00:51,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
#世界糖尿病日 糖尿病的灵丹妙药是什么？ #健康 #医学科普 ,https://www.douyin.com/video/7030269054531259660,263,01:55,https://www.douyin.com/user/MS4wLjABAAAAyEnM4lUq6OUPfXzTk1GkKxiNRE1ZusRc1zapGsUNRHY,解放军总医院,1月前
#糖尿病 #健康科普 #中医 ,https://www.douyin.com/video/7024792504776002852,6698,01:16,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2月前
