标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
警惕！#糖尿病人的恶心呕吐，小心这种病#健康 #科普,https://www.douyin.com/video/6863683394388135176,101,01:08,https://www.douyin.com/user/MS4wLjABAAAALZUzvR_g2kSjqTDJo4HtEY4YW-mp6DcfSPUNal1VgWE,刘教授慢病管理,1年前
糖尿病人恶心反胃想吐怎么回事 #了不起的医生 #健康江西科普先行,https://www.douyin.com/video/6861051494230150407,31,00:59,https://www.douyin.com/user/MS4wLjABAAAA4GX9SdLa89LTwoNritMTmHOSWYoWsw6dvRNhx_ic4oA,江西省人民医院,1年前
#糖尿病 #医学科普 @辟屁谣 @认真健康 糖尿并患者如果出现上吐下泻，原因可能不是肠胃炎而是它,https://www.douyin.com/video/6868134738201218308,2268,00:29,https://www.douyin.com/user/MS4wLjABAAAAQt1fySPka0QGqbOLu7F_a5RZeE8AokqEtKHeJvKNkeY5n2x3X3xw41v392pvHYyw,急诊室涛哥,1年前
糖尿病合并胃轻瘫怎么办？ #糖尿病 #胃不好,https://www.douyin.com/video/6937550395849968910,770,00:35,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,9月前
警惕糖尿病低龄化！有明显乏力、呼吸困难、呕吐症状要注意～#医学科普 #糖尿病 #乏力,https://www.douyin.com/video/6963462642857970944,2681,00:43,https://www.douyin.com/user/MS4wLjABAAAAQt1fySPka0QGqbOLu7F_a5RZeE8AokqEtKHeJvKNkeY5n2x3X3xw41v392pvHYyw,急诊室涛哥,7月前
糖尿病患者大意，可能一夜要了命#医学科普 了解更多健康知识，关注我,https://www.douyin.com/video/6802855775384390912,297,00:59,https://www.douyin.com/user/MS4wLjABAAAAZrseeoWdY4x09f2_efA41Xe_gdj5uG4b9kYEsen88pw,丹丹医生,1年前
糖N病急性并发症 险些酿成悲剧 大家一定要注意,https://www.douyin.com/video/6783897454094929165,1490,00:44,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
糖尿病患者日常监测血糖到底有多重要#血糖仪 #糖尿病 ,https://www.douyin.com/video/7005464906686385444,594,02:02,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,3月前
10个信号提示血糖正在失控#健康 ,https://www.douyin.com/video/6979042633737899277,2.0w,01:16,https://www.douyin.com/user/MS4wLjABAAAA062xLtYILS8e4yU1ZsATqW6KHo9dqQKV8i7bjvPxjSqi1DyT73OLAa3gAmLwUtAr,韩昕健医生,5月前
关于#二甲双胍，常见的三个不良反应，#糖尿病患者应该清楚#四川 #健康科普 ,https://www.douyin.com/video/7016567179873242405,2293,02:03,https://www.douyin.com/user/MS4wLjABAAAABaZejiHXFI9ZGM_thNkOmh9EsWiOm0SFwbGRAftJ8I_Bam_H8GGs4EJzgxCWwgZc,中医钟博士,2月前
