标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
糖尿病，可导致失明，真的不是耸人听闻,https://www.douyin.com/video/7023513218857438476,3090,02:10,https://www.douyin.com/user/MS4wLjABAAAAuHTgfCubI_jQUh5Xdr4Ss5CvBX1cI64xl0v2nQz2Y6nj-YoMB3qHDPSa-99xEOyc,北大眼科骏大夫,1月前
糖尿病并发症的失明其实是可以避免的！#全民健康dou起来,https://www.douyin.com/video/6972396118684470564,226,00:52,https://www.douyin.com/user/MS4wLjABAAAAl3sdSNEmmmodDdrzPxRbuxcjcKQb-oUI9RPC-gY1p7Wd3HWXdRLJz8mEF8eopAzZ,肾内科杨彦芳,6月前
糖尿病失明，一个悲伤的故事#这个视频有点料 #健康 #科普,https://www.douyin.com/video/6836709957488889095,2575,01:11,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
让一位因糖尿病导致失明患者的视力有所恢复，这是医生职责所在，不必言谢！  #眼科  #中医  #糖尿bing,https://www.douyin.com/video/6968332153222417678,70,00:53,https://www.douyin.com/user/MS4wLjABAAAA6HwJsWd2vRtsFExA7RIU2I3efQMPoQulZEAfLMDgZc0YD_9-l3pWK71Zdsp4nWnA,光明天使谢立科主任,6月前
糖尿病太可怕了，一位糖尿病患者的表述。糖尿病肾病，眼睛失明……#糖尿病并发症 #医生科普,https://www.douyin.com/video/6895518987380133123,4408,00:22,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,1年前
39岁糖尿病患者病史十年自己不在意，双眼几乎失明 #糖尿病 #糖尿病科普 ,https://www.douyin.com/video/7039176965315677452,250,02:49,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,1周前
#糖尿病 可能导致#失明，那我们应该如何应对？,https://www.douyin.com/video/6854128171231628559,1161,00:40,https://www.douyin.com/user/MS4wLjABAAAAM1JVcMUy2FAzHrwDMUsjssY3XvfCY16CabAfbrhIzztQO5B5oEwggr3j8U_GwVDb,眼科教授林顺潮,1年前
引以为戒：长期糖尿病导致失明、肾衰#清风计划 #奇多奇葩吃挑战赛 #肾衰 @南方健康 @头条健康,https://www.douyin.com/video/6723394947296365835,4788,00:57,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2年前
#糖尿病 #高血糖 #视力模糊 #失明  糖尿病并发症到底有多危险，一定要管住嘴，改变饮食结构！不然等后悔的时候都来不及！,https://www.douyin.com/video/7028455581937683748,5901,00:18,https://www.douyin.com/user/MS4wLjABAAAAOyrTRu9PHf8hKYXHSMXEapL2LcDjByoHTFp7V6caNAF3l8j3rorCA-nw7vgpqkCn,中医朱陵群教授,1月前
确诊糖尿病了一定要第一时间做这项检查！#健康 #科普 #知识创作人 #糖尿病,https://www.douyin.com/video/6891593356145724680,275,00:34,https://www.douyin.com/user/MS4wLjABAAAAhLBt7i6yxmTC2vJwd8Er78gtomzIAFrhKIYynlTW25w,内分泌科付留俊,1年前
#dou出新知 糖尿病“惹”上眼，竟然可以导致失明？真相如此可怕，还不赶紧了解一下@介入科吕医生,https://www.douyin.com/video/6753529209119100173,401,00:38,https://www.douyin.com/user/MS4wLjABAAAAKn4iRJ0xVNiEwPO-x49nGj6yULJahkzG7cQFRNGnbKk,眼科董教授,2年前
糖尿病并发症：视网膜病变，真的会失明！请控制好血糖！,https://www.douyin.com/video/6967273705730821380,5,01:35,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,1年前
