标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
得了糖尿病，还能活多久 #糖尿病 #高血糖 #糖尿病科普,https://www.douyin.com/video/6863368611579383048,5742,00:54,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
得了糖尿病寿命会缩短9年？#糖尿病#医学科普 #健康科普 ,https://www.douyin.com/video/7000291730272636197,5047,01:00,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,3月前
得了糖尿病，最多再活20年？ #糖尿病 #2型糖尿病 #糖尿病科普 ,https://www.douyin.com/video/7012186208235212046,4696,00:26,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,2月前
#糖尿病 患上糖尿病，会影响人的寿命吗#血糖管理 #内分泌 #医学科普,https://www.douyin.com/video/6887141413822172429,5387,00:31,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
得了糖尿病会影响寿命吗？#糖尿病 #医学科普 #科普健康知识,https://www.douyin.com/video/7033612571177520420,8227,00:44,https://www.douyin.com/user/MS4wLjABAAAAq5_kflNF3V6wJJSVx0hVSlY3Z84ybCISMNYXnxWm5y4,吕军医生,2周前
20岁得糖尿病，能活到50吗？#医学科普 #糖尿病 #健康科普 @DOU+小助手,https://www.douyin.com/video/7033375630104268064,1381,01:14,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,3周前
糖尿病会影响寿命吗？#十万个怎么做 #健康 @木鱼医生,https://www.douyin.com/video/6833676641860865280,64,00:39,https://www.douyin.com/user/MS4wLjABAAAAE6N2Ua7sC3oYFBtJWdnF0hLh5nXhoDGQcIhLCawqKaw-0bxdKrj5zWHkyytAOISu,内分泌科史双伟,1年前
#糖尿病寿命有多长 #清风计划 #我是抖音vlogge #问答王者 #糖尿病 @南方健康 @抖音小助手,https://www.douyin.com/video/6681140105178107140,2584,00:54,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2年前
要想长寿，糖友记住两点#糖尿病 #糖尿病科普 #生活方式,https://www.douyin.com/video/6889391883492084992,1083,00:34,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
#糖尿病 不重视一旦发展成尿毒症会影响寿命。#健康科普,https://www.douyin.com/video/7033329367119842596,8013,00:24,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2周前
