标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
糖尿病患者出现反复晕倒是为什么？#医学科普 #健康 #抖音小助手 ,https://www.douyin.com/video/7033216237559713061,179,00:46,https://www.douyin.com/user/MS4wLjABAAAAjqKdu7m0zWsmFWeH3OQk2K7G0zcRbjG4KhIV5DUUJP_8kKsRg1tHjA--8HaEhLps,李平医生,1月前
急性糖尿病昏迷住院，竟和奶茶有关系？#糖尿病 #健康 #中医 #安海燕 ,https://www.douyin.com/video/7017718007833087269,408,00:37,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,2月前
老人一定注意#涨知识 ,https://www.douyin.com/video/7007580553998241065,7491,02:56,https://www.douyin.com/user/MS4wLjABAAAAebrk8AJSBr-XKxpJPASQEgJ6IsMaT_aBOqWz7vE03tA,疼痛科张医生做科普,3月前
饮料当水喝，孩子血糖高达90昏迷抽搐，家长们要注意！#糖尿病 #饮料 #医学科普 @认真健康,https://www.douyin.com/video/6977661358779206946,6255,00:34,https://www.douyin.com/user/MS4wLjABAAAAQt1fySPka0QGqbOLu7F_a5RZeE8AokqEtKHeJvKNkeY5n2x3X3xw41v392pvHYyw,急诊室涛哥,5月前
老人要注意这个事 #健康  #养生  #糖尿病 ,https://www.douyin.com/video/7007681388661034251,5.0w,02:58,https://www.douyin.com/user/MS4wLjABAAAAebrk8AJSBr-XKxpJPASQEgJ6IsMaT_aBOqWz7vE03tA,疼痛科张医生做科普,3月前
糖友出现低xue糖为什么会昏迷? #医学科普  #dou出新知,https://www.douyin.com/video/6950168944841887007,122,00:34,https://www.douyin.com/user/MS4wLjABAAAAWJrXqbHo1qCxjrMOhyrZkvjhAXRb5sK_XjfeRj5Yg-H6ZXGVs2_pXsqVr5tj5f8W,内分泌科黄佳娜教授,8月前
患者不喝水只喝饮料，最终导致高渗昏迷。建议以后饮料还是要适量,https://www.douyin.com/video/6992831657673903397,755,00:51,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,4月前
突然昏倒？多脏器衰竭？糖友小心爆发性糖尿病#29岁女生被诊断为爆发型糖尿病 #糖尿病科普 ,https://www.douyin.com/video/7000922553162157345,2305,00:37,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,3月前
我的爷爷因为糖尿病住院，来我的直播间，千万不要轻视糖尿病！#健康科普 #糖尿病,https://www.douyin.com/video/6955059730314300683,933,00:44,https://www.douyin.com/user/MS4wLjABAAAANGOBt6WNOVZgfjMx6VXX6LHov-kGt_BxGxGVGIOdAqc,DrX,7月前
糖尿病要预防低血糖 #糖尿病  #健康  #低血糖   #糖尿病饮食   #健康养生   #养生  #降糖药 ,https://www.douyin.com/video/6986171438923304228,1.4w,04:50,https://www.douyin.com/user/MS4wLjABAAAAebrk8AJSBr-XKxpJPASQEgJ6IsMaT_aBOqWz7vE03tA,疼痛科张医生做科普,5月前
