标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
糖尿病引起皮肤瘙痒影响生活，日常防护很重要！#瘙痒症#皮肤瘙痒  #皮肤痒  #糖尿病 ,https://www.douyin.com/video/7031003089549200671,388,00:33,https://www.douyin.com/user/MS4wLjABAAAAoYnLayxYoL8mx8kgjwfYAFjA_oASMDk7MXMSiLeX13iSoSPhvZ2xqQit6HyXLqy4,皮肤科杨文林教授,1月前
糖尿病与皮肤瘙痒有关系吗？#抖进科学 #皮肤瘙痒 #护肤 @抖音小助手,https://www.douyin.com/video/6829893488763489536,4129,00:54,https://www.douyin.com/user/MS4wLjABAAAAmJZRvHrnQomhoMR7wU3myBxQpfeqWsCz2HcRRbFtx_BcKtuQ7VkDrVt_iGdGy2MV,北京协和皮肤与医美孙秋宁,1年前
股癣好发于糖尿病病人，正规2-4周抗真菌治疗即可治愈，预防交叉感染和复发！#科普健康知识,https://www.douyin.com/video/7018859358146546952,232,01:15,https://www.douyin.com/user/MS4wLjABAAAApAbJ-p6pRCNi7I3ezkuUPDxyDIS-RqsK0pc1KFAuol4,美容皮肤科医生关灿彬,2月前
糖尿病患者要注意了，皮肤瘙痒很可能是高血糖惹的祸！#糖尿病 #血糖仪 ,https://www.douyin.com/video/7005849679527300364,2811,01:59,https://www.douyin.com/user/MS4wLjABAAAAyItKwjoffMT55PB78m1RB2wtJHhjF4b0KGbNwGM42_8,皮肤科周星医生,3月前
得糖尿病的患者经常皮肤瘙痒，我们该怎么办呢？#医学科普 #医者名片 #健康真相官 #糖尿病,https://www.douyin.com/video/6902245926295899407,17,00:17,https://www.douyin.com/user/MS4wLjABAAAA4sxfAl_vcWO3Cf5PhPRr_b2XII6GjI-IauyIGyqFZk0,中山附一皮肤科医生赵玉昆,1年前
糖尿病患者的皮肤症状你有吗？#糖尿病 #医学科普 #医者名片 #皮肤暗黄,https://www.douyin.com/video/6903451165606907136,21,00:22,https://www.douyin.com/user/MS4wLjABAAAA4sxfAl_vcWO3Cf5PhPRr_b2XII6GjI-IauyIGyqFZk0,中山附一皮肤科医生赵玉昆,1年前
糖尿病患者脚上起水pao怎么回事？ #糖尿病 #医学科普 #科普,https://www.douyin.com/video/6956540844082089223,1259,00:47,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,7月前
血糖高的人银屑病好的慢，日常还要注意做好这几项工作！#白兰地治银屑病 #老中医 #健康科普 @DOU+小助手,https://www.douyin.com/video/6972729596726775071,172,00:19,https://www.douyin.com/user/MS4wLjABAAAA1-B1-y9ebcKCUjCRFRY6A5xM6kOKMsvpyD0PXQAH8Ek,中医白兰地,6月前
得了糖尿病为啥容易皮肤痒#健康dou起来 #健康真相官 #全面健康计划 @辟屁谣 @认真健康,https://www.douyin.com/video/6947987995916078370,2495,00:30,https://www.douyin.com/user/MS4wLjABAAAAcP1Y98d4VRhLz0RYDQhdHpUqIYpxXM9zS2Ls4A2D5tc,全科明兴,8月前
小心！腿上长遮掩的斑可不是老年斑哦#医学科普 #健康  #糖尿病,https://www.douyin.com/video/6920103490731707661,95,00:46,https://www.douyin.com/user/MS4wLjABAAAALZUzvR_g2kSjqTDJo4HtEY4YW-mp6DcfSPUNal1VgWE,刘教授慢病管理,11月前
当你的皮肤出现这样的症状，小心点！#医学科普 #糖尿病 #中医 #涨知识 #健康科普 ,https://www.douyin.com/video/7002794429446737166,303,01:03,https://www.douyin.com/user/MS4wLjABAAAAl3sdSNEmmmodDdrzPxRbuxcjcKQb-oUI9RPC-gY1p7Wd3HWXdRLJz8mEF8eopAzZ,肾内科杨彦芳,3月前
