标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
糖尿病视网膜病变到底多严重？,https://www.douyin.com/video/6870081554065001728,1174,00:35,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
糖尿病视网膜病变不积极治疗会怎么样？#中医眼科#医学科普 #糖尿病视网膜病变 ,https://www.douyin.com/video/6995097517000101156,968,00:33,https://www.douyin.com/user/MS4wLjABAAAAOil1fG5pKNynztgCmalm4joIBTFxg9p_3NtDrTJgCgc,眼科赵峪主任,5月前
#糖尿病 #并发症  视网膜病变你了解多少？快来听听连教授怎么说！#健康科普 #医学科普,https://www.douyin.com/video/6897136000170986756,449,00:47,https://www.douyin.com/user/MS4wLjABAAAApmCxkrR5RwkgmHbjyqkoYV53AfS8WhzWCsE0ssBz1Wg,连博士说内分泌,1年前
糖尿病视网膜病变怎么治疗？,https://www.douyin.com/video/6967280436439436582,45,03:48,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,2年前
多数糖尿病患者竟不知：“糖网”致盲 不可逆！所以别拿糖网不当回事！ #科普,https://www.douyin.com/video/6843698047579409676,446,00:49,https://www.douyin.com/user/MS4wLjABAAAAKn4iRJ0xVNiEwPO-x49nGj6yULJahkzG7cQFRNGnbKk,眼科董教授,1年前
这么纠结的选择，你完全可以避免,https://www.douyin.com/video/7034277824219450635,1912,02:10,https://www.douyin.com/user/MS4wLjABAAAAuHTgfCubI_jQUh5Xdr4Ss5CvBX1cI64xl0v2nQz2Y6nj-YoMB3qHDPSa-99xEOyc,北大眼科骏大夫,1月前
#眼科医生常用这种#药，对抗眼科疑难病。#糖尿病人也常用。#中医 @抖音小助手,https://www.douyin.com/video/6848520410796018951,4231,00:34,https://www.douyin.com/user/MS4wLjABAAAApbHXJyFlTwEXtu8mg7Fl52x1-zlTbQ0yTAi5kSW4Dhcb9dnGAtApFRxyYwNon_Od,眼科刘静主任,1年前
糖尿病人眼部病变的七个表现特征。早发现早治疗。 #糖尿病科普,https://www.douyin.com/video/6857398206259678471,1999,01:31,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
除夕之夜，眼科董医生祝大家在新的一年里事事顺心，笑口常开！#春暖中国 #糖尿病视网膜病变 #拜年 #过年,https://www.douyin.com/video/6927940837854743821,88,00:39,https://www.douyin.com/user/MS4wLjABAAAAKn4iRJ0xVNiEwPO-x49nGj6yULJahkzG7cQFRNGnbKk,眼科董教授,11月前
这项检查，糖尿病患者需定期做#健康dou起来 #健康小知识 #医学科普 @认真健康 @辟屁谣,https://www.douyin.com/video/6877855255623683343,188,00:33,https://www.douyin.com/user/MS4wLjABAAAAcP1Y98d4VRhLz0RYDQhdHpUqIYpxXM9zS2Ls4A2D5tc,全科明兴,1年前
降血糖的方法不对，反而导致视力快速下降 #北大眼科骏大夫 #实用眼科知识 #涨知识 #糖尿病科普 #知识创作人,https://www.douyin.com/video/7035141936834989349,2896,01:32,https://www.douyin.com/user/MS4wLjABAAAAuHTgfCubI_jQUh5Xdr4Ss5CvBX1cI64xl0v2nQz2Y6nj-YoMB3qHDPSa-99xEOyc,北大眼科骏大夫,1月前
关于糖尿病视网膜病变，这几点你得知道！控制血糖预防失明,https://www.douyin.com/video/6967282253344918821,10,01:59,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,2年前
糖尿病并发症——视网膜病变#糖尿病 #糖尿病并发症 #视网膜病变,https://www.douyin.com/video/6859319317645856015,32,00:58,https://www.douyin.com/user/MS4wLjABAAAANG4I9xeLyXZgn6jiC_73ziJzx-7uacydSlw8EZTEl4M,四平市中心人民医院,1年前
糖尿病视网膜病变分为非增值型和增值型两大类、六期。快来了解一下吧！#糖尿病视网膜病变,https://www.douyin.com/video/6843601170255187215,34,00:58,https://www.douyin.com/user/MS4wLjABAAAAMv-wR-VhIMir0EuppiSycYJCAXJzQoBH4tdUjfZP-prKw9oHoFrf6lrKfaDg8Yex,河北省人民医院,1年前
#眼底出血 黄斑水肿溢出，#糖尿病视网膜病变 #医学科普 #中医眼科 #39健康,https://www.douyin.com/video/6943146349101600008,249,00:33,https://www.douyin.com/user/MS4wLjABAAAAOil1fG5pKNynztgCmalm4joIBTFxg9p_3NtDrTJgCgc,眼科赵峪主任,9月前
糖尿病视网膜病变眼出血，有人没事，有人却失明，原因全在这里！,https://www.douyin.com/video/6844812549725228302,507,00:45,https://www.douyin.com/user/MS4wLjABAAAAKn4iRJ0xVNiEwPO-x49nGj6yULJahkzG7cQFRNGnbKk,眼科董教授,1年前
糖尿病引起的视网膜病变，有人没事，有人却失明，原因全在这里！,https://www.douyin.com/video/6757612298807807240,545,01:30,https://www.douyin.com/user/MS4wLjABAAAAKn4iRJ0xVNiEwPO-x49nGj6yULJahkzG7cQFRNGnbKk,眼科董教授,2年前
名医名院说健康——周伟,https://www.douyin.com/video/6994685062516198669,38,07:07,https://www.douyin.com/user/MS4wLjABAAAAbLFKN0fXIwqwvbLs0tLzfHYGsid4ViOz__o---ca_fs,天津医科大学总医院,5月前
案例分享：糖尿病患者曹女士眼底发现水肿出血，警惕#糖尿病视网膜病变 #医生 #健康科普,https://www.douyin.com/video/6971742485752089886,94,00:39,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,7月前
右眼失明了，才知道有糖尿病#医学知识科普 #糖尿病 #糖尿病视网膜病变 @DOU+小助手,https://www.douyin.com/video/7027053683917491467,602,00:59,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2月前
糖尿病视网膜病变是什么,https://www.douyin.com/video/6967278523249741069,5,01:37,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,2年前
糖尿病眼底病变的症状,https://www.douyin.com/video/7017055204537371934,64,02:19,https://www.douyin.com/user/MS4wLjABAAAAcN1RnOHOAnvZR2eXea2dnjSpUPGIH-483GB6Q6IAnmg,眼科副主任,3月前
#糖尿病 #实用眼科知识 #北大眼科骏大夫 #抖音小助手,https://www.douyin.com/video/6991977565288172830,1180,00:54,https://www.douyin.com/user/MS4wLjABAAAAuHTgfCubI_jQUh5Xdr4Ss5CvBX1cI64xl0v2nQz2Y6nj-YoMB3qHDPSa-99xEOyc,北大眼科骏大夫,5月前
糖尿病并发症：视网膜病变，真的会失明！请控制好血糖！,https://www.douyin.com/video/6967273705730821380,17,01:35,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,1年前
糖尿病视网膜病变是怎么回事？#健康大咖来了 #健康中国科普 @北京大学人民医院眼科主任医师赵明威,https://www.douyin.com/video/6942384382741171463,750,00:51,https://www.douyin.com/user/MS4wLjABAAAAAdC548JiARqnjAJ0ZXajmlaEXoS8z-DRzMUUD0kkQ4U,健康中国,9月前
