标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
手术治疗糖尿病？要严格把握适应症。 #减重代谢手术  #减重手术  #糖尿病知识科普,https://www.douyin.com/video/6954217158364728613,4694,01:14,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,7月前
#二型糖尿病 #减重代谢手术 ,https://www.douyin.com/video/7025922840058760462,3.1w,00:48,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,1月前
糖尿病S术是微创S术吗？#糖尿病手术 ,https://www.douyin.com/video/6980277928483360011,7066,01:04,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,5月前
糖尿病手术指的是#减重手术 ，针对的是这部分人。#糖尿病 #肥胖,https://www.douyin.com/video/6965672764346797319,4070,01:09,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,6月前
手术治疗II型糖尿病全过程#减重手术 #医生科普 @DOU+小助手,https://www.douyin.com/video/6860053348205235471,4870,00:40,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,1年前
糖尿病手术术式一般情况下怎样选择术式#减重手术 #糖尿病 #健康 ,https://www.douyin.com/video/7009156387494268197,1150,00:26,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,2月前
治疗糖尿病旁路手术有哪些优缺点#减重手术 #糖尿病 #健康 ,https://www.douyin.com/video/6997679540558466311,617,00:58,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,3月前
糖尿病手术治疗是有要求的#糖尿病 ,https://www.douyin.com/video/7018489944192732429,781,01:19,https://www.douyin.com/user/MS4wLjABAAAAhLBt7i6yxmTC2vJwd8Er78gtomzIAFrhKIYynlTW25w,内分泌科付留俊,1月前
糖n病可以通过手术治疗，其实很早就可以#减重手术 #糖尿病 ,https://www.douyin.com/video/7037423098928352543,1.4w,01:01,https://www.douyin.com/user/MS4wLjABAAAAzm8XjRS8-YIEXgj4TEhJoKtTTzEcDGoIIUMVXMiuqI8,瘦医张涵,1周前
#减重手术 #糖尿病 针对糖尿病患者胃旁路手术，胖子比较适合。今天是个不到150斤的“瘦子”，降糖效果杠杠的,https://www.douyin.com/video/6890901917845785871,2356,02:01,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,1年前
手术治疗糖尿病有什么后遗症吗#减重手术#健康#糖尿病,https://www.douyin.com/video/6958381842458250499,1833,01:30,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,7月前
减重手术治疗糖尿病的术式介绍及原理#糖尿病 #减重手术 #健康,https://www.douyin.com/video/6943148890212338947,315,01:22,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,8月前
三孔 #胃旁路手术很微创，可有效治疗肥胖型 #二型糖尿病,https://www.douyin.com/video/6956164185096998157,2207,00:31,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,7月前
糖尿病不可忽视，更应尽早积极治疗 #袖状胃 #糖尿病 #减重手术 #肥胖,https://www.douyin.com/video/6848006495959780621,705,01:10,https://www.douyin.com/user/MS4wLjABAAAAPjEMcBcE1Tf84nDeaem5ecVuT0vhn4uqj3zBEeHVZl0,减重外科姚琪远主任,1年前
减重代谢手术治疗2型糖尿病#科普#健康 #减重手术 #糖尿病,https://www.douyin.com/video/7006224937547468044,68,01:13,https://www.douyin.com/user/MS4wLjABAAAAJGZ_kI4LOMvYumSZrhIi_f_GYKWKXNyOfLN1EHgJinM,减重科褚医生,3月前
什么样的糖尿病患者可以做对称三孔胃转流手术#胃转流手术#糖尿病 ,https://www.douyin.com/video/6982475978828303628,1994,00:31,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,5月前
通过手术治疗糖尿病吗?疗效如何?#糖尿病 #健康 #减重手术,https://www.douyin.com/video/6942415382296759585,216,00:36,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,8月前
越来越多糖尿病患者选择手术治疗，手术治疗糖尿病效果怎么样？看看龙医生门诊怎么说？#肥胖 #糖尿病 #减肥 #减重 #减重手术 #胃转流 ,https://www.douyin.com/video/7004704551517359390,304,00:23,https://www.douyin.com/user/MS4wLjABAAAA1V8ZVmtyBLfVPRvvF1E_ZI6f9G0W1uHs3MyOskZhPgfn4E3_Vy3b84fcKBEHBGOl,华西微创减重龙飞伍,3月前
不管20年30年40年的糖尿病手术后都能好？？？#减重手术 ,https://www.douyin.com/video/6984752357330439456,4868,00:50,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,4月前
手术治疗2型糖尿病，哪些人适合呢？#糖尿病 #减重手术 #2型糖尿病,https://www.douyin.com/video/6954612818167516455,8058,01:07,https://www.douyin.com/user/MS4wLjABAAAA4dWYGzDSQwf2TbDEA1PJeznICCbEK-kGcDoTtMuK49Ut6LncJ4Ka_J7zV1AfsSoo,姜涛医生,7月前
糖尿病患者在什么情况下可以手术#减重手术 #糖尿病 #健康 ,https://www.douyin.com/video/6993601211983301925,1231,00:29,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,4月前
为什么手术可以治疗糖尿病？手术原理是什么？#健康 #糖尿病 #减重手术,https://www.douyin.com/video/6920515336743832835,6036,00:37,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,10月前
糖尿病减重手术第二天，血糖从28降到了8#减重手术 #医者 @DOU+小助手,https://www.douyin.com/video/6851516786957995264,4.4w,00:28,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,1年前
手术治疗糖尿病安全？  @震洋健康,https://www.douyin.com/video/6849609523456380167,32,00:43,https://www.douyin.com/user/MS4wLjABAAAAyzLdFACZ65_5sRAn4UnbbiOMhepE0afa1-7Mb7ZGl4q1SpaGr4Ddy22zpu4MwbOa,普外科张医生,1年前
手术能治疗糖尿病吗？#糖尿病#医学科普 #减重手术@抖音小助手 @抖音,https://www.douyin.com/video/7012144946308222238,1015,01:03,https://www.douyin.com/user/MS4wLjABAAAA4dWYGzDSQwf2TbDEA1PJeznICCbEK-kGcDoTtMuK49Ut6LncJ4Ka_J7zV1AfsSoo,姜涛医生,2月前
减重手术为什么能治疗肥胖型二型糖尿病#糖尿病 #减重手术 #健康,https://www.douyin.com/video/6943899497021934886,278,00:23,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,8月前
对于符合手术指标的患者，手术效果十分明确#肥胖 #糖尿病 ,https://www.douyin.com/video/6984713696144592158,1134,01:18,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,4月前
糖尿病手术术式怎么选？#糖尿病手术 ,https://www.douyin.com/video/7024682363670072614,1339,00:27,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,1月前
糖尿病十五年，胰岛素治疗。手术后三年了，效果怎么样呢？#糖尿病 #减肥 #手术 @DOU+小助手 @减重朱孝成,https://www.douyin.com/video/6944222701695372552,106,01:06,https://www.douyin.com/user/MS4wLjABAAAASq5dFvgquuKK8u6GeeR7L7TsnwaC0izD_v4f2IOn_os,减重代谢朱医生,8月前
听说糖尿病可以手术治愈，是真的吗？#医学科普 #健康科普 ,https://www.douyin.com/video/7036556509660089607,28,01:20,https://www.douyin.com/user/MS4wLjABAAAAXWo4f-_TebDAk5MLhclm8Clb1SW2yjfgTjw7QkZ1vXL6kNIxdL9PDbqYpB5LY-uT,医学减重专家韩加刚,1周前
#糖尿病 #袖状胃#减重代谢手术 ,https://www.douyin.com/video/7027391428049243400,1735,02:10,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,1月前
减重手术治疗糖尿病最大特点，治疗胰岛素抵抗#减重手术 #糖尿病 #健康 #肥胖 ,https://www.douyin.com/video/7003985915035028750,610,00:50,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,3月前
手术治疗糖尿病有什么副作用？分两种，一种是意外，一种是必然#减重手术 #糖尿病 #健康 ,https://www.douyin.com/video/6995066593587809549,180,02:04,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,4月前
胃转流手术降血糖的原理是什么？#糖尿病科普,https://www.douyin.com/video/6934604525726633220,3882,01:20,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,9月前
很多人问二十年的糖尿病还能治吗？看这位大姐胃旁路手术后的情况。#糖尿病 #减重手术,https://www.douyin.com/video/6927565172873694468,6350,00:32,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,10月前
很多患者问糖尿病手术是切胃手术，术后多久可以吃东西#糖尿病 #健康#减重手术 ,https://www.douyin.com/video/6996921487735246116,781,00:20,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,3月前
