标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
糖耐量测试，诊断糖尿病的金标准 #糖尿病科普  #糖尿病 #医学科普 #健康真相官,https://www.douyin.com/video/6901217599300963591,1185,00:40,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
#李焱主任 去医院检测血糖需要注意什么#检测血糖 #糖尿病 ,https://www.douyin.com/video/7005012699226688804,1886,01:13,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,3月前
在家做血糖检测，这几个细节一定要注意！#科普知识 #血糖检测 #糖尿病 #健康 ,https://www.douyin.com/video/7009479717799742732,3018,06:00,https://www.douyin.com/user/MS4wLjABAAAADjQzxPppb0Qvn3zCvvpxOdvGkvo2kqLDiDWyN3aFhaPQ5RDX9h1Np0IeY3u7ITf7,齐海梅医生,2月前
筛查糖尿病做什么检查?#糖尿病 ,https://www.douyin.com/video/7013556997807164685,606,00:45,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,2月前
#健康科普 #涨知识 ,https://www.douyin.com/video/7026545706370436389,1.2w,00:46,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
糖尿病诊断必须知道的五个数字#糖尿病,https://www.douyin.com/video/6882690086392188168,7.4w,01:12,https://www.douyin.com/user/MS4wLjABAAAADpTiEpkjX_fXgDZudeIOTE1fqPky6GK_mbCF0-8jYTA,聊健康的崔主任,1年前
测血糖有时高、有时正常，想知道自己是不是糖尿病要做什么检查？#糖尿病 #医学科普 ,https://www.douyin.com/video/7011680419494120734,397,03:14,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,2月前
什么是动态血糖监测#糖尿病 #糖尿病科普 #血糖 ,https://www.douyin.com/video/7031726876573928740,2453,00:59,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,3周前
如何判断自己是不是糖尿病前期，通过这两个检查的结果#糖尿病科普 #糖尿病前期,https://www.douyin.com/video/6951669784085875982,3177,00:31,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,7月前
得了#糖尿病建议做这个检查#健康科普 #四川 ,https://www.douyin.com/video/7011322670495157540,4107,01:25,https://www.douyin.com/user/MS4wLjABAAAABaZejiHXFI9ZGM_thNkOmh9EsWiOm0SFwbGRAftJ8I_Bam_H8GGs4EJzgxCWwgZc,中医钟博士,2月前
新手必学：顶级专业护师教您最权威的手指血糖测量方法,https://www.douyin.com/video/7016532364247469350,142,03:55,https://www.douyin.com/user/MS4wLjABAAAAGtizHJkppgsgGdipPCVeBMcm2HgqfblySsoug0GGomM,内分泌邹显彤医生,2月前
糖尿病需要做哪些检查#糖尿病 @河豚健康 @DOU+小助手,https://www.douyin.com/video/6987675566472285452,3214,01:08,https://www.douyin.com/user/MS4wLjABAAAAIh4PYQ_S9jTg-G8nImuO45jgN9OPP13ESSaeADxrNMvHoIdKDc6LF3XA3P0zie72,晓光说药,4月前
