标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
#李焱主任 有些糖尿病人下肢为什么会出现黑斑 #糖尿病 #医学科普 #健康科普,https://www.douyin.com/video/6952711470845136142,3409,00:36,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,8月前
小心！腿上长遮掩的斑可不是老年斑哦#医学科普 #健康  #糖尿病,https://www.douyin.com/video/6920103490731707661,100,00:46,https://www.douyin.com/user/MS4wLjABAAAALZUzvR_g2kSjqTDJo4HtEY4YW-mp6DcfSPUNal1VgWE,刘教授慢病管理,11月前
肥胖合并糖尿病双小腿可出现这种皮肤色素沉着，是血糖控制不佳的表现！#肥胖 #糖尿病 #减肥 #减重手术,https://www.douyin.com/video/6945807213567036703,319,00:12,https://www.douyin.com/user/MS4wLjABAAAAUx4_TDpdljQ3tluKKvvVu20BxSK1WYGMTAWxa6qGLQFzcvi-TrWEQK3Pb0IVxg0J,减重医生 姚立彬,9月前
@介入科吕医生 儿童肥胖致胰高血糖素血症胰岛素抵抗，脖子等皮肤褶皱处色素沉着出现黑棘皮病血糖已经异常，要重视,https://www.douyin.com/video/6802170125777751303,3720,00:32,https://www.douyin.com/user/MS4wLjABAAAA9awyjLpDvK6121ua9utM6cRFjD24k7nj0I2uxJRzWZy8iKCXabIMp2-P4Tt7KzF0,儿科霍医生,1年前
脖子上出现这个东西，小心是糖尿病的表现！ #健康科普  #医学科普  #糖尿病,https://www.douyin.com/video/6918279796401114376,883,00:36,https://www.douyin.com/user/MS4wLjABAAAAPH6WuHVUP2sm_qCLxFIpC_omOkk-xYq7UNbH7L1IfDId7XuSjHeSbsVpxuSU2HwV,内科朱医生,11月前
当你的皮肤出现这样的症状，小心点！#医学科普 #糖尿病 #中医 #涨知识 #健康科普 ,https://www.douyin.com/video/7002794429446737166,309,01:03,https://www.douyin.com/user/MS4wLjABAAAAl3sdSNEmmmodDdrzPxRbuxcjcKQb-oUI9RPC-gY1p7Wd3HWXdRLJz8mEF8eopAzZ,肾内科杨彦芳,4月前
如果出现黑棘皮症是不是代表换上糖尿bing？#糖尿病 #黑棘皮 #减重代谢手术 #肥胖 ,https://www.douyin.com/video/7030984938002337037,508,00:20,https://www.douyin.com/user/MS4wLjABAAAAZmTvelPbmrr34t12AEi7yFYJT_4uWj8wy8rcoMw7zXw,暨南减重王存川教授,1月前
这种脖子黑，不是没洗干净，是黑棘皮症。 #肥胖  #黑棘皮病  #胰岛素抵抗  #全民健康计划  @河豚健康,https://www.douyin.com/video/6903517555185503496,1.8w,00:31,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
黑jiajia洗不干净？是时候检查有没有糖尿病了。糖尿病胰岛素抵抗导致黑棘皮征，和黑jiajia没有关系。控制体重才是治疗的关键。#肥胖 #减肥 #减重 #减重手术 #糖尿病 #黑棘皮 ,https://www.douyin.com/video/7002057294733266184,77,00:21,https://www.douyin.com/user/MS4wLjABAAAA1V8ZVmtyBLfVPRvvF1E_ZI6f9G0W1uHs3MyOskZhPgfn4E3_Vy3b84fcKBEHBGOl,华西微创减重龙飞伍,4月前
#黑棘皮 #胰岛素抵抗,https://www.douyin.com/video/7034797931404332325,617,00:13,https://www.douyin.com/user/MS4wLjABAAAAWQD4QrP__13V0bq9C0WqS279DEMPtocBxrFGrptb8mWkAwpiHOdtR8zELxrugPM3,医学减重专家刘雁军,1月前
木鱼医生,https://www.douyin.com/video/6993980978565893409,411,00:54,https://www.douyin.com/user/MS4wLjABAAAABL9pA7Lmi8TGoPQ9qtx3nQFUusYaqQwOsiM7tOgPWS0,木鱼医生,5月前
#李焱主任 脖子黑黑的洗不掉，是得了糖尿病吗 #糖尿病 #健康科普 #医学科普,https://www.douyin.com/video/6962356565781351711,970,00:34,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,8月前
糖尿病患者的皮肤症状你有吗？#糖尿病 #医学科普 #医者名片 #皮肤暗黄,https://www.douyin.com/video/6903451165606907136,28,00:22,https://www.douyin.com/user/MS4wLjABAAAA4sxfAl_vcWO3Cf5PhPRr_b2XII6GjI-IauyIGyqFZk0,中山附一皮肤科医生赵玉昆,1年前
您的脖子是否发黑洗不干净？我来告诉你原因#肥胖 #糖尿病 科学减重降糖,https://www.douyin.com/video/6837669050991136014,3.9w,00:27,https://www.douyin.com/user/MS4wLjABAAAAo53WHma7BlCEQ9-XY3Pf_EeWcGG5NumSVoWojzGhg4fJq0bK9LSehcQYZVJ_EsyS,外科医生董星,1年前
成片#长斑还#肤色暗沉 ？喝这道甜汤吧,https://www.douyin.com/video/6839611262700244231,3719,00:58,https://www.douyin.com/user/MS4wLjABAAAAl-qOANULh2iWWGt2QzSufJiLOf6YMABWt1-nNfDxyaJHzdDyO7MaeojzCXjKCIZx,王小云女性调养,1年前
某些症状，可能提示出现糖尿病，提醒我们需要到医院就诊。,https://www.douyin.com/video/6958020558336396557,4288,00:56,https://www.douyin.com/user/MS4wLjABAAAAv-uPF8b2CarHN5RJzYTC-A67Y8ZW28qZJ5F-rIoRFLY,减重医生杨景哥,8月前
家族有糖尿病史，现在体重基数很大，黑棘皮希望手术后身体健康#健康 #黑棘皮 #肥胖#糖尿病#减重手术,https://www.douyin.com/video/7021076377378098463,262,00:21,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,2月前
身体出现这些症状，要警惕二型糖尿病。#减重医生殷国志 #医学科普 #减重 #减重代谢手术 @抖音小助手 #西安减重 ,https://www.douyin.com/video/7005012047515651359,165,00:50,https://www.douyin.com/user/MS4wLjABAAAA0UrW-yx3wIvC9vhQs_Q5l8zG7nj5FcsJKDxG0NZmuNU,西安减重医生殷国志,4月前
这5种症状，警惕糖尿病并发症早期！#健康科普 #医学科普 #糖尿病 @抖音小助手 ,https://www.douyin.com/video/7046322081407044895,5701,02:09,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,2周前
这种洗不掉的黑不是脏，而是肥胖惹的祸！是肥胖惹的祸！,https://www.douyin.com/video/6902755007255432452,5557,00:46,https://www.douyin.com/user/MS4wLjABAAAAYGzkiXoanlk-DR1Wcky_7DTuqiCXir2LgZXpOh6uLB4,养生堂,1年前
脖子上出现这个东西，小心是糖尿病的表现！#医学科普 #健康科普 #科普,https://www.douyin.com/video/6920505402622872845,213,00:24,https://www.douyin.com/user/MS4wLjABAAAAL4Tmj--Q4WZHif07hjzYo83X5APhOSOi1OQbMIwQS2I,张医生说,11月前
脖子上出现这个东西，小心是TNB的表现！ #健康,https://www.douyin.com/video/6924839323032456456,10,00:38,https://www.douyin.com/user/MS4wLjABAAAAPDYPUQHkaipALwtlTTQZnbW05JIbEgEDynQ80yyNmgOR87gdT7TCo-QzYoDOTp2s,唐炜,11月前
脖子上出现这个东西，小心是糖NB的表现！,https://www.douyin.com/video/6925302082475986183,6,00:32,https://www.douyin.com/user/MS4wLjABAAAAnzdOFmGlgyQmbMGzmAo4gfTPN8r56r0bObd8jC2DvCU,张作臻医生,11月前
小朋友出现这种皮肤改变，家长们要注意了#科普健康知识 #皮肤 ,https://www.douyin.com/video/7031857433798511908,54,00:26,https://www.douyin.com/user/MS4wLjABAAAA-x0ukjNJ84IZIXlDn7qpTT5yyIx1TLX4JQ_RvQFkC8w,妙手医生,1月前
脖子上出现这个东西，小心是糖尿病的表现！,https://www.douyin.com/video/6924178585771117837,3,00:35,https://www.douyin.com/user/MS4wLjABAAAABdXMCXAbdG0VoFbkDywFqtZ3I3Gs1QvIEkXAouTQxuWSda3gLLlPdPsU1_bldL_4,郭海良医生,11月前
脖子、腋窝、肘窝……这些地方感觉皮肤颜色变深，可能是它出了问题！,https://www.douyin.com/video/6944912717853592869,2096,00:47,https://www.douyin.com/user/MS4wLjABAAAA9BoUj5V8BAnPRzyewUVbTcEA_OIcucBkmfDFNBqKTJY,lntv健康一身轻,9月前
脖子上出现这个东西，小心是糖NB的表现！,https://www.douyin.com/video/6922368265658404104,31,00:24,https://www.douyin.com/user/MS4wLjABAAAAiPhPvC8EPJRXzj_i0rj8_N5_mp_A4F-EPXfB3kpUsJsHknENLI_1K00igsPsEKdp,叶守姣医生,11月前
