标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
#糖尿病肾病 #健康科普 #中医 #糖尿病肾病饮食 ,https://www.douyin.com/video/7021775271648873741,13.0w,02:35,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2月前
#糖尿病肾病 要积极治疗#健康 #中医 ,https://www.douyin.com/video/7004708627806244104,3002,00:52,https://www.douyin.com/user/MS4wLjABAAAAH6FcliiSDZtgPmkfeopJU2kasMk64g0ct6ztjI84d7I,肾病科王暴魁教授,4月前
重磅更新：糖尿病肾病降尿蛋白措施,https://www.douyin.com/video/7030748076235148557,3484,01:30,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1月前
#糖尿病肾病 #医学科普 ,https://www.douyin.com/video/7005810826653224229,3404,01:31,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
#李焱主任 如何筛查糖尿病肾病#糖友自我管理 #糖尿病,https://www.douyin.com/video/7032839275804740896,1304,01:15,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,1月前
糖尿病肾病能尿蛋白转阴吗？#糖尿病 #糖尿病肾病 ,https://www.douyin.com/video/7031727607087369509,2800,01:05,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1月前
视频有点长，全是干货，建议收藏下载转发#科普 #高血糖 #糖尿病 #肾病 #王世东 ,https://www.douyin.com/video/7042471933832695076,6678,13:07,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,3周前
糖尿病肾病会发展成尿毒症，有这些症状你就要小心了！#医学科普 #肾  #健康科普 ,https://www.douyin.com/video/7035082851292876039,969,01:11,https://www.douyin.com/user/MS4wLjABAAAAjqKdu7m0zWsmFWeH3OQk2K7G0zcRbjG4KhIV5DUUJP_8kKsRg1tHjA--8HaEhLps,李平医生,1月前
糖尿病肾病血肌酐高，中医如何应对？#中医 #传承中医文化 #抖音小助手 ,https://www.douyin.com/video/7031472198883790110,214,03:16,https://www.douyin.com/user/MS4wLjABAAAAGumfIcvQ_VtgmSyjRljnnoi03PqYtQC1E-PbEzqKC7g,肾科李教授,1月前
#糖尿病肾病,https://www.douyin.com/video/7006623323098451211,2647,01:39,https://www.douyin.com/user/MS4wLjABAAAA2yhgpLCLibphdQ7TUBlfxZ0_tSbaa3dmBv2l4epGC72X-N_CNgYPCEYrSscQcCjZ,肾内林中军医生,3月前
糖尿病出现肾病应注意什么？#这个视频有点料 #南方健康 #科普,https://www.douyin.com/video/6838578281269234957,3579,01:09,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
#糖尿病 #健康科普 ,https://www.douyin.com/video/7034687339163110664,4253,00:40,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
#糖尿病肾病 要严格控制肌酐 ，尿蛋白不是不管，但要分主次#肾病医生 #弘扬中医文化 ,https://www.douyin.com/video/6983974887345949959,7461,00:52,https://www.douyin.com/user/MS4wLjABAAAAU8LL8S79TDbDV-nsToNV79C8HDftEE9sbmxS1qgQRSCFOEB5IxhuzNRJYfMKs97K,中医肾内科高菁主任,5月前
糖尿病导致的肾病还能治愈吗？#糖尿病 #医学科普 #肾  ,https://www.douyin.com/video/7033296274426236167,425,00:48,https://www.douyin.com/user/MS4wLjABAAAA2yhgpLCLibphdQ7TUBlfxZ0_tSbaa3dmBv2l4epGC72X-N_CNgYPCEYrSscQcCjZ,肾内林中军医生,1月前
@李平 糖尿病肾病必须要知道的事情！还有人不知道吗？#医学科普 #健康科普  ,https://www.douyin.com/video/6998036911516339469,1312,00:55,https://www.douyin.com/user/MS4wLjABAAAAjqKdu7m0zWsmFWeH3OQk2K7G0zcRbjG4KhIV5DUUJP_8kKsRg1tHjA--8HaEhLps,李平医生,4月前
发现这3个糖尿病肾病信号，马上去医院#糖尿病 #糖尿病并发症 @抖音小助手  ,https://www.douyin.com/video/7046219148262788366,1929,00:27,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1周前
#糖尿病肾病 #医学科普仅供参考 ,https://www.douyin.com/video/7019946307943009573,3295,00:46,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2月前
糖尿病肾病，严重吗？#科普健康知识 #抖医医生 #肾脏 #关注健康 ,https://www.douyin.com/video/7031429657400528159,326,00:37,https://www.douyin.com/user/MS4wLjABAAAAsKVSXlYL_orNMvpIB61Kvx3k892P7jM7GYFTyS9NmCrzFUdkKOBfgrEkGOWOVSgm,中医肾病科医生常峥,1月前
糖尿病患者的致命杀手糖尿病肾病#医学科普 #健康科普 ,https://www.douyin.com/video/6998340170399485195,900,01:11,https://www.douyin.com/user/MS4wLjABAAAAwW8_e-SwD9RavYaFrJCsBm5qInK0uT1CqnCiFHpDwR7p4P2Mt0WlPN52_TGrEJiz,黄雯,4月前
5年糖尿病合并肾病，经过3个月治疗，指标基本达标#医学科普 #抖医医生 #医学知识科普,https://www.douyin.com/video/6973547903281270029,575,01:07,https://www.douyin.com/user/MS4wLjABAAAAoF_aphzpfhtGTO1su18C_H2NJeo5lT_8gJ9-mlG5ipQu9xvQ2BVGAmSs7V8vip_O,中医肾内科王洪霞,6月前
#糖尿病 肾病可以逆转吗？#健康科普 ,https://www.douyin.com/video/7044416646324243719,1673,01:02,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2周前
糖尿病患者要抓住逆转糖尿病肾病的黄金时期#糖尿病 #糖尿病肾病 ,https://www.douyin.com/video/6989165447048449317,2522,00:44,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,5月前
#糖尿病 患者肾脏出现问题再不加以重视，只会越来越严重。#健康科普 ,https://www.douyin.com/video/7037035435050208526,1.0w,01:03,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
#糖尿b#中医 #医学科普 ,https://www.douyin.com/video/7027662750889282848,343,00:43,https://www.douyin.com/user/MS4wLjABAAAAoF_aphzpfhtGTO1su18C_H2NJeo5lT_8gJ9-mlG5ipQu9xvQ2BVGAmSs7V8vip_O,中医肾内科王洪霞,2月前
#糖尿病肾病 有多可怕#健康科普 #中医 ,https://www.douyin.com/video/7020310538206874917,1589,00:49,https://www.douyin.com/user/MS4wLjABAAAAH6FcliiSDZtgPmkfeopJU2kasMk64g0ct6ztjI84d7I,肾病科王暴魁教授,2月前
糖尿病肾病能治好吗 #我为医者  #健康科普 #肾病  #糖尿病肾病,https://www.douyin.com/video/6850393514098920704,1469,00:33,https://www.douyin.com/user/MS4wLjABAAAAH6FcliiSDZtgPmkfeopJU2kasMk64g0ct6ztjI84d7I,肾病科王暴魁教授,1年前
43岁糖尿病肾病眼底出血，有人还在重复他的悲剧#医学科普 #科普 #糖尿病 @DOU+小助手,https://www.douyin.com/video/6997038841638964491,8446,01:36,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,4月前
糖尿病肾病最新治疗进展#医学科普 #糖尿病 #糖尿病肾病 @DOU+小助手,https://www.douyin.com/video/7016986614937193731,5475,01:00,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,3月前
糖尿病肾病如何筛查#健康 #中医 #糖尿b ,https://www.douyin.com/video/7034674717537717535,2058,00:27,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,1月前
#糖尿病肾病是怎样发展的#健康 #医学常识 ,https://www.douyin.com/video/6990555854063881479,95,00:47,https://www.douyin.com/user/MS4wLjABAAAAVgMWSmzQAKxHb3bu9Lsbah50wDA9ygnn2-aPfPezfQ4,肾病内分泌科曹钋主任,5月前
患者糖尿病导致糖尿病肾病已经到中期，必须控制肌酐进展!#医学科普 #dou出新知 ,https://www.douyin.com/video/7023251959545122062,31,00:50,https://www.douyin.com/user/MS4wLjABAAAAVgMWSmzQAKxHb3bu9Lsbah50wDA9ygnn2-aPfPezfQ4,肾病内分泌科曹钋主任,2月前
糖尿病肾病，五期的不同表现#肾脏健康 #肾病 #医生 #健康 ,https://www.douyin.com/video/7045142611874630915,462,00:45,https://www.douyin.com/user/MS4wLjABAAAATLi1M0d1MAq0lWS8gT_lsi5u17CPFbzAw0gff-9WEH0CY5OR46Cnlid-DL8hp9rY,肾病主任医师于大君,2周前
两项指标，筛查糖尿病肾病 #糖尿病 #糖尿病肾病  ,https://www.douyin.com/video/6979411354348178696,8808,00:21,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,6月前
@李平糖尿病肾病一定会透析治疗吗？#医学科普 #健康科普 ,https://www.douyin.com/video/6987572513609927944,51,00:51,https://www.douyin.com/user/MS4wLjABAAAAjqKdu7m0zWsmFWeH3OQk2K7G0zcRbjG4KhIV5DUUJP_8kKsRg1tHjA--8HaEhLps,李平医生,5月前
糖肾晚期会出现水肿，当血肌酐升高会出现贫血等症状#健康 #糖肾 #医学科普 ,https://www.douyin.com/video/7037282483901156622,345,01:04,https://www.douyin.com/user/MS4wLjABAAAAjqKdu7m0zWsmFWeH3OQk2K7G0zcRbjG4KhIV5DUUJP_8kKsRg1tHjA--8HaEhLps,李平医生,1月前
#糖尿病患者长期尿酸高没在意，再次检查肾脏已经坏了，主任：这下可麻烦了。#健康科普 ,https://www.douyin.com/video/7029633479801343246,3044,00:49,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
糖尿病肾病一定会变成尿毒症吗 #糖尿病 #糖尿病科普,https://www.douyin.com/video/6961321956453010702,3399,00:30,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,7月前
#糖尿病 早期不控制，现在#糖尿病肾病 @抖音小助手 ,https://www.douyin.com/video/7028852874499181860,524,00:57,https://www.douyin.com/user/MS4wLjABAAAAU8LL8S79TDbDV-nsToNV79C8HDftEE9sbmxS1qgQRSCFOEB5IxhuzNRJYfMKs97K,中医肾内科高菁主任,1月前
糖尿病肾病怎么进行筛查呢？#医学科普 #健康科普  ,https://www.douyin.com/video/7002480471435201800,210,00:57,https://www.douyin.com/user/MS4wLjABAAAAl3sdSNEmmmodDdrzPxRbuxcjcKQb-oUI9RPC-gY1p7Wd3HWXdRLJz8mEF8eopAzZ,肾内科杨彦芳,4月前
得了糖尿病肾病，该怎么吃？#饮食 #糖尿病 #糖尿病科普 #人人关注肾健康,https://www.douyin.com/video/6937869640999652619,473,00:42,https://www.douyin.com/user/MS4wLjABAAAA9cGmpwCHR19RW-NNDZFe9KFFcPkCQcdI9rTRtNP_3sM,ACR陈舟医生,10月前
糖尿病肾病的必选治疗 #医学科普 #糖尿病 #科普@DOU+小助手,https://www.douyin.com/video/6994656434113776900,4832,00:31,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,5月前
