标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
血糖自我管理的“五步控糖法”#医学科普 #糖尿病 #科普知识,https://www.douyin.com/video/7017757551202716960,2663,00:52,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1月前
糖尿病如何学会自我管理 #糖尿病 #自我管理 #高血糖 ,https://www.douyin.com/video/7033697911754018078,3639,00:52,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,2周前
#李焱主任糖尿病如何自我管理#糖尿病 #自我管理 @DOU+小助手 ,https://www.douyin.com/video/7012442832640281886,6203,01:07,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,2月前
血糖的自我管理#高血糖 @DOU+小助手,https://www.douyin.com/video/7034427520355175712,613,00:55,https://www.douyin.com/user/MS4wLjABAAAAIh4PYQ_S9jTg-G8nImuO45jgN9OPP13ESSaeADxrNMvHoIdKDc6LF3XA3P0zie72,晓光说药,2周前
#糖尿病 患者的自我管理是决定病情日后走向的重要因素，想要预防并发症，一定要学会严格管理自己。#健康科普 ,https://www.douyin.com/video/7036615394097909023,4529,00:27,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1周前
糖尿病自我管理,https://www.douyin.com/video/7039576276335643945,806,01:01,https://www.douyin.com/user/MS4wLjABAAAA4vZ4ChzzbZW2-bI733aY7uqCMqh5aRnpbEvyuXUAHbg,周大亮医生,2天前
糖尿病自我管理核心原则 #糖尿病,https://www.douyin.com/video/7029946056095960359,275,02:19,https://www.douyin.com/user/MS4wLjABAAAAeAlr2Yhsho2zQZOcYs02n6DuwjZs4j_oqJxrRYlDqynXc2vlUMiCaH5RfCMkls5o,利大夫,4周前
#李焱主任 自我管理的误区有哪些#糖友自我管理 #高血糖 ,https://www.douyin.com/video/7030271559109528839,641,00:48,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,3周前
学好这三招，日常自我保护胰岛功能。 #糖尿病  #胰岛素,https://www.douyin.com/video/6831034925571902724,3275,01:12,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
#糖尿病 患者如何自我管理#健康科普 #我的门诊故事 ,https://www.douyin.com/video/7003632588929682702,2046,00:39,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
#李焱主任 为什么现在很多人得糖尿病呢#糖友自我管理 #糖尿病人 ,https://www.douyin.com/video/7027664649923366174,6101,01:13,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,1月前
