标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
#糖尿病 最好的补品是什么#健康 ,https://www.douyin.com/video/7029884125163080991,1129,00:43,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,3周前
糖尿病人如何补充营养  #糖尿病 #营养 #健康养生 @抖音小助手,https://www.douyin.com/video/6963463223416786176,1.7w,01:09,https://www.douyin.com/user/MS4wLjABAAAADjQzxPppb0Qvn3zCvvpxOdvGkvo2kqLDiDWyN3aFhaPQ5RDX9h1Np0IeY3u7ITf7,齐海梅医生,6月前
高糖患者如何正确补充营养#奶粉,https://www.douyin.com/video/6974007073147227425,6801,01:03,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,5月前
长期服用二甲双瓜的朋友一定要及时补充这类维生素#糖尿病,https://www.douyin.com/video/6845565543118851342,1.9w,00:57,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
补充维生素：对糖尿病及并发症，有好处吗？#科普健康知识 #健康科普 #医学科普 #健康dou起来 @抖音小助手 ,https://www.douyin.com/video/6985137742824869157,184,03:23,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,4月前
糖尿病患者如何补钙？#糖尿病 ,https://www.douyin.com/video/7005510427274710286,1220,00:36,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,3月前
“糖人”能吃营养品吗？,https://www.douyin.com/video/6982359222646312199,15,00:28,https://www.douyin.com/user/MS4wLjABAAAAPDYPUQHkaipALwtlTTQZnbW05JIbEgEDynQ80yyNmgOR87gdT7TCo-QzYoDOTp2s,唐炜,5月前
服用#二甲双胍 的糖友们，一定要注意补充#维生素 B12！#糖尿病 #医学科普 #糖尿病科普,https://www.douyin.com/video/6922372082424745231,7031,00:32,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,10月前
降糖保健品？糖友千万别上当#糖尿病 #健康 #争渡健康,https://www.douyin.com/video/6950577045189528870,102,00:30,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,7月前
“糖人”能吃营养品吗？,https://www.douyin.com/video/6961668128115920135,123,00:24,https://www.douyin.com/user/MS4wLjABAAAA062xLtYILS8e4yU1ZsATqW6KHo9dqQKV8i7bjvPxjSqi1DyT73OLAa3gAmLwUtAr,韩昕健医生,6月前
维生素B12和甲钴胺哪个更适合糖友？#抖音小助手 #暑期知识大作战 #糖尿病 #维生素 #健康,https://www.douyin.com/video/6861529798381030656,1.3w,00:28,https://www.douyin.com/user/MS4wLjABAAAAB_AOSNvr-Kqv1CI5voPzjorpLGHScaNO4eVECLDootc,内分泌科孙医生,1年前
治疗气瘀血虚型糖尿病：黄花桂枝五物汤#医学科普 #健康养生 #糖尿病 #涨知识 #养生 #中药,https://www.douyin.com/video/6917241373070462208,7677,03:29,https://www.douyin.com/user/MS4wLjABAAAA6A1BZxtehIHIJXmQ2Sd96jdukLuBcI7UrLO_U3aJfTD9KzpO3BHQhaVl1S6ch5aU,TJTV百医百顺,10月前
枸杞还能降脂降压降糖，这样吃不会腻~#中医 #枸杞,https://www.douyin.com/video/6821730908345863435,1237,00:51,https://www.douyin.com/user/MS4wLjABAAAA9NYXM936AFVzqaFJcixJtm9YSXbs5Hkg8C9j9URTiF0,中医内科张雪亮,1年前
很多糖友们问我要不要吃#维生素 B12？今天统一回复！#暑期知识大作战 #抖音小助手 #糖尿病 #医学科普,https://www.douyin.com/video/6860039511745776911,2316,00:25,https://www.douyin.com/user/MS4wLjABAAAAB_AOSNvr-Kqv1CI5voPzjorpLGHScaNO4eVECLDootc,内分泌科孙医生,1年前
糖尿病人如何选择甲钴胺和维生素12#糖尿病科普 #糖尿病知识,https://www.douyin.com/video/6880387230272097543,3790,00:35,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
吃二甲双胍需要补充这个维生素#糖尿病 #二甲双胍@DOU+小助手 @河豚健康,https://www.douyin.com/video/6970111348340444449,8445,00:40,https://www.douyin.com/user/MS4wLjABAAAAIh4PYQ_S9jTg-G8nImuO45jgN9OPP13ESSaeADxrNMvHoIdKDc6LF3XA3P0zie72,晓光说药,6月前
降糖保健品能降血糖吗？#这个视频有点料 #健康 #科普 @南方健康 @头条健康 @抖音小助手,https://www.douyin.com/video/6826275244416830731,1583,00:53,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
血糖平稳不容易，饮食要点要牢记#医学科普 #糖尿病#饮食,https://www.douyin.com/video/6982106384066186533,1507,00:54,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,5月前
糖尿病患者，服用保健品有用吗？#抖来涨知识 #保健品 #糖尿病 @抖音小助手,https://www.douyin.com/video/6943485708053122311,9,00:34,https://www.douyin.com/user/MS4wLjABAAAAQrhL9M_3uAGwdmxCUGhKfYkZgEHR4ImaAYBb2RZ93Bo,周雁医生,8月前
#糖尿病 #高血脂 #减肥 人群的健康好粥：百合藜麦粥#健康养生 #满分营养满分笑容 #养生 #素食 #健康,https://www.douyin.com/video/6877139905315654926,5433,00:34,https://www.douyin.com/user/MS4wLjABAAAA6A1BZxtehIHIJXmQ2Sd96jdukLuBcI7UrLO_U3aJfTD9KzpO3BHQhaVl1S6ch5aU,TJTV百医百顺,1年前
糖友长期吃#二甲双胍 ，千万不要忘记吃#维生素 B12！#抖音 #健康 #糖尿病 #dou出新知 #抖音热门,https://www.douyin.com/video/6850708595756010752,9.6w,00:21,https://www.douyin.com/user/MS4wLjABAAAAB_AOSNvr-Kqv1CI5voPzjorpLGHScaNO4eVECLDootc,内分泌科孙医生,1年前
糖尿病老是满头汗？不只是天气热 #糖尿病 #糖尿病科普,https://www.douyin.com/video/6965777472210226462,1.4w,00:26,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,6月前
高血压、高血糖、高血脂、高尿酸？试试葛根！#中医 #三高 #健康,https://www.douyin.com/video/6900364456971259136,2.7w,00:21,https://www.douyin.com/user/MS4wLjABAAAAbu6IlXnInbzcMl2efNmegiWUrOXeUQi6vIgh3pXyTa4,凤凰大健康,1年前
健康的生活方式就是最好的补品#健康 #中医 #糖尿b ,https://www.douyin.com/video/7037399320487841031,1392,00:45,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,1周前
#健康科普 很多粉丝都在问！身边的“甜蜜人群”怎么在保证血糖平稳的情况下又补充充足的营养？ #高文斌教授,https://www.douyin.com/video/6924623276891196680,846,01:39,https://www.douyin.com/user/MS4wLjABAAAA0YYUVgoXmgufnaMmQ7r1Yy-UdzQiIZ-03q3VEZLn-0YrXFSVjrNWy4eIWBVIRjO0,高文斌教授,10月前
这种糖尿病保健品喝了有奇效？小心！吃了没中毒都是万幸！,https://www.douyin.com/video/6711235931950550286,1516,01:39,https://www.douyin.com/user/MS4wLjABAAAAt6AsGhjrHeoxZNkceYg2J0FWvrWKzEaTAvF44-sPYco,央视财经,2年前
服用二甲双胍时不要忘记补充维生素B12#医学科普 #健康 #高血糖 ,https://www.douyin.com/video/7025489416915373342,649,00:26,https://www.douyin.com/user/MS4wLjABAAAAeRd9ihp42EJvc01CKLkiES9ZBeNVFcSIB_Tycjq2wtnkEUYikw4wPggH7h1aqUZQ,刘博士谈健康,1月前
二甲双胍吃了乏力怎么办？#二甲双胍 #糖尿病 ,https://www.douyin.com/video/6993120404571278623,6804,00:22,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,4月前
服用二甲双瓜，一定要多吃这些 #糖尿病  #糖尿病科普@DOU+小助手,https://www.douyin.com/video/6872628876749688077,3148,00:45,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
糖尿病肾病，如何在饮食上控制？#抖医医生 #健康 #医学科普 ,https://www.douyin.com/video/7034774574117997831,478,00:36,https://www.douyin.com/user/MS4wLjABAAAAsKVSXlYL_orNMvpIB61Kvx3k892P7jM7GYFTyS9NmCrzFUdkKOBfgrEkGOWOVSgm,中医肾病科医生常峥,1周前
糖友水果怎么吃？#糖尿病 #糖尿病饮食 ,https://www.douyin.com/video/6995042277584407838,1990,00:37,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,4月前
"#糖尿病知识科普如何吃甲钴胺和维生素12,痛风情况一定要注意#dou是知识点",https://www.douyin.com/video/6880736252094614797,1647,00:29,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
吃二甲双胍会导致乏力吗？#糖尿病 #二甲双胍 ,https://www.douyin.com/video/6993120206587464996,2072,00:32,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,4月前
平日大家经常听到的保养佳品西洋参，到底有何保健功效？  #健康  #养生  #西洋参,https://www.douyin.com/video/6934575937824509197,1.4w,00:27,https://www.douyin.com/user/MS4wLjABAAAAbu6IlXnInbzcMl2efNmegiWUrOXeUQi6vIgh3pXyTa4,凤凰大健康,9月前
二甲双胍容易导致维生素B12的缺乏，那么 哪类人群需要搭配甲钴胺呢？ 糖尿病,https://www.douyin.com/video/6857385894031265031,5978,01:47,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
#三高 #脑梗 #健康养生 ,https://www.douyin.com/video/6986217217373244712,415,00:30,https://www.douyin.com/user/MS4wLjABAAAA7GTqotGqBiAqUQsg8lSKIcS_2R8XGIbv8WZGg8jQ0wsr1BTSxKwUZ4FG-ZV7K2sY,心脑血管专家黄教授,4月前
保健品能不能代替降糖药？#糖尿病,https://www.douyin.com/video/6968401830049058063,61,03:41,https://www.douyin.com/user/MS4wLjABAAAANofKaE1XyvlRWbApQHX8sLCQkzeD0q0H2I1jzt79k6Q,李医生说糖尿病,6月前
能降血糖的铬元素？ #糖尿病 #糖尿病科普 ,https://www.douyin.com/video/6978767021865585927,2134,00:37,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,5月前
糖友需要额外补充纤维素吗？#糖尿病 #糖尿病饮食 ,https://www.douyin.com/video/6989841537890782471,633,00:34,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,4月前
糖尿病人喝粥会升高血糖？不妨试试这几种方法，好吃降压又营养！,https://www.douyin.com/video/6920536149580582155,114,05:01,https://www.douyin.com/user/MS4wLjABAAAAYZo34twrzWfXiFHer7radd-gc4wM64yrypNnrtHBxOHF0nPsxtevvnZiLD2Rj30_,黄立坤教授,10月前
又现“神奇”保健品：美国技术？“蓝帽子”认证？能代替药物降低血糖？都是假的！,https://www.douyin.com/video/6711235180046191884,2020,02:08,https://www.douyin.com/user/MS4wLjABAAAAt6AsGhjrHeoxZNkceYg2J0FWvrWKzEaTAvF44-sPYco,央视财经,2年前
糖化5.7，糖尿病就好了吗？#糖尿病 #糖化血红蛋白 ,https://www.douyin.com/video/6992505798043634951,1825,00:32,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,4月前
#雅培医学营养 #康复必备 给家里老人准备营养品，你选对了吗？,https://www.douyin.com/video/7024107757380881695,1621,01:00,https://www.douyin.com/user/MS4wLjABAAAABL9pA7Lmi8TGoPQ9qtx3nQFUusYaqQwOsiM7tOgPWS0,木鱼医生,1月前
在医生指导下选用最适合自己的滋补品，补品宜精不宜多。今天来聊一聊石斛！#健康养生 #术后恢复,https://www.douyin.com/video/6935376813455691019,447,01:46,https://www.douyin.com/user/MS4wLjABAAAAgcO1HvUON-wSP2wtZCGzLlQXgP235iOe4J2HR3RzuNM,胸外俞杞泉,9月前
糖尿病患者的保健措施有哪些,https://www.douyin.com/video/6967278689511935263,1,02:58,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,2年前
人参 党参 太子参 西洋参，滋补有区别#滋补养生 #健康科普 #dou上热门 @抖音小助手 ,https://www.douyin.com/video/7025847430763613470,1.5w,01:12,https://www.douyin.com/user/MS4wLjABAAAAaAw_cqqG4xcXDCohtLFuXc-2OYJcsAmVY4E_zR38kxnxSJX5IlH69ablPi8REktL,中医内科温教授,1月前
把我爸的事情拍成抖音吧，让大家都看一看#清风计划 #家圆团圆 #你比夜色更美 @头条健康 @南方健康,https://www.douyin.com/video/6716712864461098254,2524,00:57,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2年前
枸杞是个宝，懂得这样搭配去吃枸杞，调理效果更佳,https://www.douyin.com/video/6886629742078905614,8590,00:27,https://www.douyin.com/user/MS4wLjABAAAAPDYPUQHkaipALwtlTTQZnbW05JIbEgEDynQ80yyNmgOR87gdT7TCo-QzYoDOTp2s,唐炜,1年前
人参、党参、太子参、西洋参怎么选？#健康dou起来 #健康养生 @抖音小助手,https://www.douyin.com/video/6796102161529851144,7485,00:47,https://www.douyin.com/user/MS4wLjABAAAAKgEfKBY7lJICJA3zAZ5r0sWwR5tRpK2Dob0gmyqS-mA,广东省中医院郭主任,1年前
,,301,00:57,https://www.douyin.com/user/MS4wLjABAAAAO0G8NhfcSi8lebww20iNBj8vu3xEsejL-emk5rjXw8gfNIG7Dpg_3ccShyZJKsFj,逯俭主任,8月前
补气又补血！#中医 #滋补养生 ,https://www.douyin.com/video/7000995072204344613,2492,00:11,https://www.douyin.com/user/MS4wLjABAAAADp42zH4VudMxmDikladbEXrxl5QD9hVKu_gAKt5_W-nT8UWq2GgOHHUlRs8E3it6,中医郭志华教授,3月前
补一补、养一养，吃什么好？#慢病管理 #保养 #健康 @DOU+小助手,https://www.douyin.com/video/6960580042741107983,4233,00:50,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,7月前
#维生素b 6效果这么好，也很便宜，别被哪些昂贵的偏了#健康 #科普 #养生 #保健品  @抖音小助手,https://www.douyin.com/video/6891482279823150349,3.7w,00:19,https://www.douyin.com/user/MS4wLjABAAAA-qh5ol5tCLurFt6eV0YZGHvEFaX2HqErmj9oZeuc9EwGyZoebzKMDf2ci0Cqdxqc,湘雅二医院皮肤科湛意,1年前
你和你的家人有没有中过招#抖音小助手 #健康 #我的生活日记,https://www.douyin.com/video/6879404695467740428,1835,01:16,https://www.douyin.com/user/MS4wLjABAAAAzea_wxBGtLMMw8qNK2QUL5ScIbP4d0n4f8QDK6UeviM,骨科魏宽海教授,1年前
