标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
这款“中国制造”在德国热销 首发当日扫购一空,https://www.douyin.com/video/6939663021681691935,1.7w,00:32,https://www.douyin.com/user/MS4wLjABAAAADxxSM17aDo5GBB7mt6bHbOS2jzQpBxevn8Lh2rMkY8g,小央视频,9月前
新闻联播重点介绍的新降糖药 #医学科普 #糖尿病 #家庭健康守护官,https://www.douyin.com/video/7048558187351461152,1.1w,01:15,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1周前
我碰到好多的患者对自己的病情一无所知，总指着医生告诉他，这种态度是不对的，提醒大家你对疾病的重视程度是会影响病情发展的？#糖尿病 #健康科普 ,https://www.douyin.com/video/7045937115196165412,2164,01:16,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2周前
【华佗在世，人头担保！#“降糖神贴”药效大揭秘】真的有那么神奇吗？,https://www.douyin.com/video/7039312619659922695,107,02:26,https://www.douyin.com/user/MS4wLjABAAAAgR8CUVcbJPFvv_2qDKK2Qkw-lb3QtpQO9eXIhPpgcMM,北京日报,1月前
国家卫健委专家组成员蒋荣猛：目前试剂盒数量充足，武汉市中心医院、汉口医院等已可以将#试剂盒检测时间缩短到1天,https://www.douyin.com/video/6789646476826938639,9.3w,00:26,https://www.douyin.com/user/MS4wLjABAAAA4vgRHGrSG6rPlffm3RvwHWL8TBq7O4YnM5jHUNXz0-s,央视网,1年前
糖尿病人为什么要用这两类药？#这个视频有点料 #健康 #科普 @南方健康,https://www.douyin.com/video/6806596535971777805,7463,01:02,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
很多糖友们都在家自己测血糖，但是#血糖仪 你真的用对了吗？专业的#血糖监测 仪使用方法交给大家～,https://www.douyin.com/video/6890478448070954240,620,02:44,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,1年前
国家药监局：开启应急审批通道！检测试剂盒全国日均产能超200万人份 #试剂盒,https://www.douyin.com/video/6797677617467182344,1118,00:46,https://www.douyin.com/user/MS4wLjABAAAAt6AsGhjrHeoxZNkceYg2J0FWvrWKzEaTAvF44-sPYco,央视财经,1年前
目前试剂盒数量足够，主要问题出现在检测速度上。,https://www.douyin.com/video/6790130397813558535,3398,00:41,https://www.douyin.com/user/MS4wLjABAAAAVyNkRXTaoSpq4n3TgoQpAX-VnuSfAazbD8UaBHg7RWo,中国新闻周刊,1年前
糖尿病9个月，孟听听主任怎么说，早发现早治疗。#糖尿病 #袖状胃手术 ,https://www.douyin.com/video/7006168295120424224,1687,00:20,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,4月前
现代保健报战略合作单位：西安医臻生物医药科技有限公司 #医学影像  #医学检验  #基因基因,https://www.douyin.com/video/6897158270390193412,31,01:21,https://www.douyin.com/user/MS4wLjABAAAAL3hZVeB-CjA_DZdUsjvZilbbbYREpxmzM6Aluw0mRrQ,现代保健报,1年前
钟南山指导研制快速检测试剂盒,https://www.douyin.com/video/6860400275031706888,0,00:46,https://www.douyin.com/user/MS4wLjABAAAATMGA_PcOYo8L5lKiFkVDvb2-C_nLEowBKTM2EabLWVY,中国反邪教,1年前
中国试剂盒被黑的真相，#瑞典教授说出来了,https://www.douyin.com/video/6867746972661599502,7.8w,00:21,https://www.douyin.com/user/MS4wLjABAAAAVe7sHJ-zibugRrSsvClIFLHL8vJFpgJKKTFis7SbpUw,中国日报,1年前
钟南山院士指导研发快速检测试剂盒 采一滴血15分钟内可出结果，且血浆稀释500至1000倍后，仍能检测出阳性,https://www.douyin.com/video/6793488862929833230,3378,00:13,https://www.douyin.com/user/MS4wLjABAAAAWWDKr-TwKhM6Cb02cd6PpkE0xZEl4Haua2dVZrLb1Vg,农民日报,1年前
钟南山院士指导研发快速检测试剂盒 采一滴血15分钟内可获检测结果,https://www.douyin.com/video/6793468883081661703,1299,00:10,https://www.douyin.com/user/MS4wLjABAAAAVrPnOtERVmcHv9O8Lv9_aRE116DkVfoCxq-KZch09-Q,检察日报,1年前
日本的长效降糖药是什么药？#这个视频有点料 #科普 #糖尿病 @抖音小助手 @南方健康,https://www.douyin.com/video/6859309259553803523,5906,00:55,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
血糖不好，你就别喝粥啦，吃完了血糖能飙到20#糖尿病 @抖音小助手 ,https://www.douyin.com/video/7010651031948332321,959,00:24,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,3月前
#抗击疫情 #抗击肺炎 #中国加油#武汉加油 #南方健康 钟南山团队研制新型试剂盒用于快速检测@南方健康,https://www.douyin.com/video/6793520235350740228,1438,00:08,https://www.douyin.com/user/MS4wLjABAAAAVRQTSR_qiRv6BEL8-Zh-b1H1g1_sizUlieYTL8UQZHE,熊猫说知识,1年前
为什么要管糖尿病#糖尿病 #糖尿病科普 @抖音小助手 ,https://www.douyin.com/video/7047842576958754056,493,00:27,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,4天前
钟南山院士指导研发出快速检测试剂盒，一滴血，就可在15分钟内检测出结果！,https://www.douyin.com/video/6793568899385412878,2267,00:16,https://www.douyin.com/user/MS4wLjABAAAAVyNkRXTaoSpq4n3TgoQpAX-VnuSfAazbD8UaBHg7RWo,中国新闻周刊,1年前
一滴血15分钟出结果！钟南山指导推出快速检测试剂盒,https://www.douyin.com/video/6951993041951411463,0,01:30,https://www.douyin.com/user/MS4wLjABAAAADxxSM17aDo5GBB7mt6bHbOS2jzQpBxevn8Lh2rMkY8g,小央视频,1年前
治愈患者“复阳” #出院标准是否过宽？童朝晖：“复阳”不是再感染，从数据看，再阳性病例的比例不到0.1%。,https://www.douyin.com/video/6800400177367616781,1.6w,00:30,https://www.douyin.com/user/MS4wLjABAAAAC7r8UcpQchuQDP6MDlXoBVK3vrUHPDOy07dtII5uKeI,央视网快看,1年前
美国疾控中心给的“试剂盒”，竟只是制作说明书？美媒：无视前期警报，美政府错失机会,https://www.douyin.com/video/6813982207930027276,1429,00:59,https://www.douyin.com/user/MS4wLjABAAAAt6AsGhjrHeoxZNkceYg2J0FWvrWKzEaTAvF44-sPYco,央视财经,1年前
钟南山院士指导研发快速检测试剂盒，采一滴血15分钟内可获检测结果！中国加油#你守护大家我守护你,https://www.douyin.com/video/6793457500722171143,12.3w,00:06,https://www.douyin.com/user/MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,人民网,1年前
#全民健康计划 @河豚健康 药品虚假广告蒙骗百姓不少 正规药店购药 莫要轻信传销,https://www.douyin.com/video/6828143754516368643,102,01:01,https://www.douyin.com/user/MS4wLjABAAAA_LAKxZlDkX3MdarbVn2ki79HLKLFa97ZUfG4m-NyNSQ,悦悦药师,1年前
#医疗器械公司最高业绩预增超800倍！新冠疫情是业绩变动主要因素,https://www.douyin.com/video/6994911914270690574,1411,00:20,https://www.douyin.com/user/MS4wLjABAAAAt6AsGhjrHeoxZNkceYg2J0FWvrWKzEaTAvF44-sPYco,央视财经,4月前
#荷兰政府召回十万只中国口罩 #欧洲多国称中国医疗物资不合格 对于质量纠纷，中外都应就事论事，谁都别上纲上线。,https://www.douyin.com/video/6809643029301857551,5.2w,00:52,https://www.douyin.com/user/MS4wLjABAAAAWk68v_OuXT5g-Rjf0v-IKXT3745bG22oS2OKA6I5m_g,胡锡进,1年前
钟南山院士指导研制出快速检测试剂盒！可在15分钟内检测出结果 #新冠肺炎,https://www.douyin.com/video/6793536254211329293,3559,00:09,https://www.douyin.com/user/MS4wLjABAAAAuqxxndkFpa7cbJdR6C61PTEDLKJ5MZXSw_vSsLzQEoZsrSxIFN3LTTMadmQM7Jyp,一起健康吧,1年前
2021，要为生活“加点糖！”看看医者的收藏吧，比我的盲盒都多！#医者,https://www.douyin.com/video/6930201799013960975,2828,00:46,https://www.douyin.com/user/MS4wLjABAAAAVMI1g6NtIm4ig6CaRGttgDA2IX4_Xf0FiK6S_L6oqXk,医者,10月前
你说你的体重比工资增加还快，却不知早已徘徊在疾病边缘#糖尿病,https://www.douyin.com/video/6894401880093412621,19,01:28,https://www.douyin.com/user/MS4wLjABAAAA2bXWJAyvmvTPiCPFdsPtXsiQkCaeEw8CIxPJNoFLJNPV_D1wPNqLnlFvevO3nYJQ,辉县市人民医院,1年前
#武汉加油 #新型冠状病毒 #核酸检测 @辟屁谣 @认真健康 今天有空，给大家做个科普。,https://www.douyin.com/video/6799068367970929923,4180,00:57,https://www.douyin.com/user/MS4wLjABAAAAQt1fySPka0QGqbOLu7F_a5RZeE8AokqEtKHeJvKNkeY5n2x3X3xw41v392pvHYyw,急诊室涛哥,1年前
带您走进凉山州第一人民医院核酸检测基地，看看我们的工作日常。,https://www.douyin.com/video/7003542224839494948,129,01:27,https://www.douyin.com/user/MS4wLjABAAAAG439DasjtsJrOCBQbMZoWNHZmJSD5aMKAyh4NRN9e6mEKt9E1IEoPAIo73kTgBVs,凉山州第一人民医院,4月前
美小护教您注射胰岛素#爱长沙dou文明 @长沙发布,https://www.douyin.com/video/6756368807150898445,364,04:14,https://www.douyin.com/user/MS4wLjABAAAAh4_Z5dk5xDyEWF5A5piVYwCQofisLFPM4lvGoHsXqGFWnFOCSdowcVytxrjkMp5Q,长沙市第一医院,2年前
有什么区别呢？#轻知识计划,https://www.douyin.com/video/6909647952101297421,70,00:26,https://www.douyin.com/user/MS4wLjABAAAAxEZunk-RErgacPCKid9lNl1awYr5fk_HotG2irKwZMMXkgmdbKycnez2wmp4Pb0L,脾胃科周医生,1年前
可以放心了！试剂盒能够满足湖北省和全国其他地区的检测需求～#战胜疫情dou行动 ,https://www.douyin.com/video/6801365399381216524,328,00:33,https://www.douyin.com/user/MS4wLjABAAAADtPlZR0GJ11ox3X04rzqaBel7L441QHPVoJA8jISv9Q,工信微报,1年前
好消息！新冠病毒快速检测试剂盒问世，检测将更高效！为科研人员点赞！#坚信爱会赢 #疫情全知道 #武汉加油,https://www.douyin.com/video/6793518230485994763,1.5w,00:09,https://www.douyin.com/user/MS4wLjABAAAA_w1jcNvWS8o1FJDoNCIbaiaEXb4ePppdjfP4uNnkwRc,经济日报视点,1年前
从韩国买试剂盒被特朗普怒批费钱 马里兰州州长：不明白咋回事,https://www.douyin.com/video/6818393925112302851,1.4w,00:49,https://www.douyin.com/user/MS4wLjABAAAADxxSM17aDo5GBB7mt6bHbOS2jzQpBxevn8Lh2rMkY8g,小央视频,1年前
一滴血、15分钟！钟南山指导研制试剂盒有望快速检测出结果  #武汉肺炎,https://www.douyin.com/video/6793487412237454599,1.4w,00:09,https://www.douyin.com/user/MS4wLjABAAAA2_l1jyD-IKv72DbBSwaU21S-r7I4I9WrsJABCD8YPyk,中国经济网,1年前
这家企业频繁上热搜？！紧跟记者，去国药集团了解新冠疫苗,https://www.douyin.com/video/6931545369197251848,298,01:53,https://www.douyin.com/user/MS4wLjABAAAAt6AsGhjrHeoxZNkceYg2J0FWvrWKzEaTAvF44-sPYco,央视财经,10月前
#印度停用中国试剂盒 印度的指控不合逻辑，很难不怀疑这当中没有猫腻。,https://www.douyin.com/video/6820767337495481600,3.0w,00:29,https://www.douyin.com/user/MS4wLjABAAAAWk68v_OuXT5g-Rjf0v-IKXT3745bG22oS2OKA6I5m_g,胡锡进,1年前
核酸检测报告怎么来的？带你揭秘全过程#全民防疫 #疫情 ,https://www.douyin.com/video/6993849982784638239,45,02:09,https://www.douyin.com/user/MS4wLjABAAAAvdeNyX_Veo8M9BFSrDtZUsYIEC-Qk8ehZ6-rQnq3_40,阜外华中心血管病医院,5月前
重大进展！#新型冠状病毒检测试剂盒将全面供应一线！,https://www.douyin.com/video/6786259501076073741,3.3w,00:04,https://www.douyin.com/user/MS4wLjABAAAAVe7sHJ-zibugRrSsvClIFLHL8vJFpgJKKTFis7SbpUw,中国日报,1年前
青海省中医院新装备C13测定胃幽门螺杆菌感染 更快更准更洋#幽门螺旋杆菌 #幽门螺旋杆菌检测 ,https://www.douyin.com/video/6984282055538511108,3689,01:17,https://www.douyin.com/user/MS4wLjABAAAAXf2YN6p8CMQGu_1hRApQefDdQaGVunT_3gK4_RV-ijs,青海省中医院,5月前
耿爽驳纳瓦罗中国试剂盒有问题言论：谎话连篇！和以前一样，完全虚构！,https://www.douyin.com/video/6820696314578259203,13.3w,00:29,https://www.douyin.com/user/MS4wLjABAAAAHHN8E4Dbc75St7GD1Em3h1w9IKXPzcrdjERBqOHcJqc,光明日报,1年前
新冠肺炎是如何确诊的？关键就在于这个神奇的小盒子#战疫必胜,https://www.douyin.com/video/6791678738967874823,23,02:36,https://www.douyin.com/user/MS4wLjABAAAArus7jEDX6L0MTOj-Z9Pf-4pWwKKWzlNFMlXFj31ZbdE,健康plus,1年前
一夜间新增确诊超千例！别恐慌，是检测盒到位啦！#武汉新型肺炎,https://www.douyin.com/video/6786967870938123523,14.0w,00:35,https://www.douyin.com/user/MS4wLjABAAAArmNo6pomGTQoFsguLRNhgz2um05sOtRaxxmZbU94IV8,听医生的话,1年前
振奋人心！白衣天使加油，武汉加油，中国加油！,https://www.douyin.com/video/6786109726326394112,310.8w,00:51,https://www.douyin.com/user/MS4wLjABAAAArpWodT3Pj5GRZkmJREQ9oT3EBk5nbGsIu80t-J854EU,医路向前巍子,1年前
海军文职人员团队：并肩冲锋在没有硝烟的战场,https://www.douyin.com/video/6802452429741788424,5943,01:00,https://www.douyin.com/user/MS4wLjABAAAAUjGx9tDKBec-xl3tmCwrKJqWhHJtTbaGZUqNkDXpMK4ZLa5YQuFBHL9TTgk_WmJo,人民海军,1年前
美媒曝：美疾控中心实验室污染致试剂失灵，造成疫情灾难性后果 #美国,https://www.douyin.com/video/6817380366245055752,3.0w,00:09,https://www.douyin.com/user/MS4wLjABAAAA2_l1jyD-IKv72DbBSwaU21S-r7I4I9WrsJABCD8YPyk,中国经济网,1年前
上海海关查获伪报品名出口新型冠状病毒抗体检测试剂盒案,https://www.douyin.com/video/6819884779480075532,2.7w,00:12,https://www.douyin.com/user/MS4wLjABAAAAVqhUopiAcgAAsNUQ8pGs030D-p7ZUpJOHyFKREZ23ng,海关发布,1年前
印度宣布停用中国产试剂盒！中国使馆回应 #新冠肺炎,https://www.douyin.com/video/6820642816864111880,6.0w,00:09,https://www.douyin.com/user/MS4wLjABAAAA2_l1jyD-IKv72DbBSwaU21S-r7I4I9WrsJABCD8YPyk,中国经济网,1年前
喜讯！新成果研发大大缩短了检测时间！  #家国边关,https://www.douyin.com/video/6787919297156058382,50.4w,00:15,https://www.douyin.com/user/MS4wLjABAAAABArNlqBaian-2-0WxxJr4G9rVedUTTovoSqEm3mK_Nw,中国军视网,1年前
好好好，悬着的心终于放下了！钟南山院士：治愈出院重新感染可能性小，个别呈阳性跟试剂敏感度有关#疫情全知道,https://www.douyin.com/video/6797027675379649795,5263,00:12,https://www.douyin.com/user/MS4wLjABAAAA_w1jcNvWS8o1FJDoNCIbaiaEXb4ePppdjfP4uNnkwRc,经济日报视点,1年前
重磅好消息：新型冠状病毒核酸检测试剂盒获国家注册证书！（王玉 洪楠）#战胜疫情dou行动,https://www.douyin.com/video/6787225943015574796,4.2w,00:10,https://www.douyin.com/user/MS4wLjABAAAAjvFEe7bUu4UoSSVccfs1kfyLkcerPazoGJsvmP8Po6A,中国军网,1年前
好消息！首个新冠病毒检测试剂盒通过检验！,https://www.douyin.com/video/6785717742709247245,1898.7w,00:08,https://www.douyin.com/user/MS4wLjABAAAA8U_l6rBzmy7bcy6xOJel4v0RzoR_wfAubGPeJimN__4,人民日报,1年前
惊！美国疾控中心竟违规操作，导致核酸试剂盒被污染，给疫情造成灾难性后果#疫情全知道 #抗击疫情 @抖音小助手,https://www.douyin.com/video/6817608152750607628,25.9w,00:13,https://www.douyin.com/user/MS4wLjABAAAA_w1jcNvWS8o1FJDoNCIbaiaEXb4ePppdjfP4uNnkwRc,经济日报视点,1年前
青年新面貌，疫情期间砥砺前行。@DOU+小助手 @抖音小助手 #我们终将战胜疫情 #防疫宣传 #e起战役 #,https://www.douyin.com/video/6850393887186472204,16,01:44,https://www.douyin.com/user/MS4wLjABAAAAc-Sj7V3UHaqwPwn2viz5kJrrJbrnaAtB0X7IBLZlg_Y,无锡妇幼团委,1年前
妄下结论！中国 #新冠 检测试剂盒真的有问题吗？,https://www.douyin.com/video/6871140224571870478,1582,02:56,https://www.douyin.com/user/MS4wLjABAAAAepyfQEEHOZeV9Mfkz9YR4-gQCETpZZ42slTRcGNC_f4,CGTN,1年前
我国新冠病毒检测试剂盒相关标准正在制定中。加油，奥利给！,https://www.douyin.com/video/6823356042861088004,229,01:03,https://www.douyin.com/user/MS4wLjABAAAAQ7ehKWSQqb8x8vFBlpTCbRBr5fKc8VFXP60_IC_MblgPMgz95iEQ2SnZdpts2YgF,市说新语,1年前
巴基斯坦外长：不论我们求助什么，中国都乐于伸出援手,https://www.douyin.com/video/6952000314920684837,11,00:55,https://www.douyin.com/user/MS4wLjABAAAADxxSM17aDo5GBB7mt6bHbOS2jzQpBxevn8Lh2rMkY8g,小央视频,1年前
投我以木桃 报之以琼瑶！中国积极驰援各国抗击疫情,https://www.douyin.com/video/6951992114167237892,12,02:11,https://www.douyin.com/user/MS4wLjABAAAADxxSM17aDo5GBB7mt6bHbOS2jzQpBxevn8Lh2rMkY8g,小央视频,1年前
正确降血压必须符合4个条件，牢记！,https://www.douyin.com/video/6924205229705678080,4284,00:56,https://www.douyin.com/user/MS4wLjABAAAAUycHibd1unHjpguOgVbBdVPD5wcJPYa0JYCPnE-cIirvBvPsqwbhG1tZ3My5O4Us,神外甘博士,11月前
温暖而又熟悉的声音！又一欧洲国家总统喊话：唯一援手，是中国！#捷克 #中国,https://www.douyin.com/video/6806477523917032704,7.4w,00:09,https://www.douyin.com/user/MS4wLjABAAAA2_l1jyD-IKv72DbBSwaU21S-r7I4I9WrsJABCD8YPyk,中国经济网,1年前
振奋人心的消息来了！首个新型冠病毒检测试剂盒通过检验！即将在抗击新型冠状病毒一线立功#武汉加油 @抖音小助手,https://www.douyin.com/video/6785689200604876044,200.2w,00:09,https://www.douyin.com/user/MS4wLjABAAAA_w1jcNvWS8o1FJDoNCIbaiaEXb4ePppdjfP4uNnkwRc,经济日报视点,1年前
美议员“抱怨”新冠病毒检测试剂盒都是中国产，结果网民劝他认清现实,https://www.douyin.com/video/7048784089071111438,6878,00:10,https://www.douyin.com/user/MS4wLjABAAAAEpFYeBm0vjnqeLCFmswckyDyUck03KW6i4JRAjaMkDU,中国网,1周前
"""世卫组织给的试剂盒，美国偏不要""#新冠肺炎 #美国",https://www.douyin.com/video/6805014728293879055,11.4w,00:12,https://www.douyin.com/user/MS4wLjABAAAA2_l1jyD-IKv72DbBSwaU21S-r7I4I9WrsJABCD8YPyk,中国经济网,1年前
美国一男子买DNA试剂盒“测着玩儿”，意外发现12岁儿子不是自己亲生的.....#每日趣闻,https://www.douyin.com/video/7001412031568006435,36.8w,00:09,https://www.douyin.com/user/MS4wLjABAAAAQKfg8Ewb4LExZAW7-MMcM5GT9HOvxuAnpQy3WXwVW5oWEHfW8p0dK551PmxNEhzR,新华每日电讯,4月前
