标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
#糖尿病 #糖尿病并发症 你知道酮症酸中毒吗,https://www.douyin.com/video/7015822343247285519,1116,01:00,https://www.douyin.com/user/MS4wLjABAAAARz9j_M7MXa-9ouVdVcnLp-H3hy32om2DogZjnpEEqRJ8xnVzu9gpHA-6fIwRmWBf,内分泌科宋医生,3月前
糖友吃西瓜引起#酮症酸中毒这是一个急性#糖尿病并发症 李大夫建议糖友们及时到#医院 检查#诊断治疗 #涨知识 ,https://www.douyin.com/video/6993238157978291487,873,01:16,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,5月前
糖尿病酮症酸中毒很危险，早期有3个报警信号，别再忽视了,https://www.douyin.com/video/6967274101295664396,71,01:46,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,1年前
一年两次糖尿病酮症，背后原因给你警醒 #医学科普 #医学常识 #健康科普,https://www.douyin.com/video/6988105268362005764,1866,00:59,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,5月前
糖尿病患者大意，可能一夜要了命#医学科普 了解更多健康知识，关注我,https://www.douyin.com/video/6802855775384390912,310,00:59,https://www.douyin.com/user/MS4wLjABAAAAZrseeoWdY4x09f2_efA41Xe_gdj5uG4b9kYEsen88pw,丹丹医生,1年前
#糖尿病 #健康 #科普 ,https://www.douyin.com/video/7019123704672062756,3777,00:35,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2月前
早期酮症酸中毒，不要当成肠胃炎#糖尿病 #健康真相官 #糖尿病科普,https://www.douyin.com/video/6923105038344670472,954,00:30,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,11月前
糖尿病酮症酸中毒严重吗？听听医生怎么说！,https://www.douyin.com/video/6867472535152348420,20,01:46,https://www.douyin.com/user/MS4wLjABAAAAhWVdFY_-kUUEAYcjrqT9v1bF050qHelQjL0XpcxOc1o,有来科普,2年前
#糖尿病 为数不多的急诊！以前都是躺着来#医院 的。,https://www.douyin.com/video/6937958277569400104,3927,00:43,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,10月前
#糖尿病 #糖尿病并发症 为什么会有烂苹果味？,https://www.douyin.com/video/7000654222672940328,234,00:54,https://www.douyin.com/user/MS4wLjABAAAARz9j_M7MXa-9ouVdVcnLp-H3hy32om2DogZjnpEEqRJ8xnVzu9gpHA-6fIwRmWBf,内分泌科宋医生,4月前
糖尿病酮症酸中毒很危险，早期有3个“预警信号”，别再忽视,https://www.douyin.com/video/6967273447760153867,42,01:34,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,1年前
#小儿糖尿病   小心！孩子出现这样的症状可能是得了糖尿病酮症酸中毒 #11月14日联合国糖尿病日,https://www.douyin.com/video/6894814511488863488,69,01:00,https://www.douyin.com/user/MS4wLjABAAAAunC8zWL1HTsCrizFaBaS5CyNppar7t-tkO2Dino7id8,盛京医院,1年前
#糖尿病 人患这个急性并发症，可能会很危险#糖尿病科普,https://www.douyin.com/video/6915336984814800135,1524,00:53,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
听听金医生讲讲可怕的酮症酸中毒#糖尿病 #糖尿病饮食 #糖尿病科普 #可怕,https://www.douyin.com/video/6983262742467611918,28,01:20,https://www.douyin.com/user/MS4wLjABAAAA-6qIWdSA1TKUN2JLkeQL8jPm3GNLe8qGmQkIAhSEGRH7PG86TUlpnEv99bvpwHsg,宝鸡市中医医院,5月前
