标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
预防#糖尿病 人体健康的四大基石#健康科普 ,https://www.douyin.com/video/7006263109644078350,5138,01:01,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
糖尿病的预防，记住这两点很重要。#健康 ,https://www.douyin.com/video/6974942222982663437,6637,00:39,https://www.douyin.com/user/MS4wLjABAAAA062xLtYILS8e4yU1ZsATqW6KHo9dqQKV8i7bjvPxjSqi1DyT73OLAa3gAmLwUtAr,韩昕健医生,5月前
预防糖尿病，从饮食开始入手改变吧#糖尿病 #预防 #健康,https://www.douyin.com/video/6874544690193059084,1.9w,00:19,https://www.douyin.com/user/MS4wLjABAAAAnvdTSZaBKyYd6JAFxc7m0FrBsxGUZoUMCHTCqtIOjJZHPCU-URJDE1ypr6bZfDKF,神经外科杨波教授,1年前
有糖尿病家族史的人怎样预防糖尿病？#疾病预防 #健康 #知识,https://www.douyin.com/video/6815789508089433357,1822,01:19,https://www.douyin.com/user/MS4wLjABAAAADjQzxPppb0Qvn3zCvvpxOdvGkvo2kqLDiDWyN3aFhaPQ5RDX9h1Np0IeY3u7ITf7,齐海梅医生,1年前
不要以为年纪轻就不会有#糖尿病 趋势逐渐年轻化，做好预防才是关键#医学科普 #健康养生 @抖音小助手,https://www.douyin.com/video/6904926732822793476,47,00:52,https://www.douyin.com/user/MS4wLjABAAAAouN7YikKm1ugKs3TugNDyqNZmebUSC-CaR0D9JyuBkposXPR9qiWI5OSULIERuhf,暨南减重董志勇,1年前
最好这4点！可预防75%的糖尿病！,https://www.douyin.com/video/6808734663016713480,6621,00:46,https://www.douyin.com/user/MS4wLjABAAAA7svG5EB1INLdkgi2zkMb0VJAeysaGXsYkXqlZ4QLNi8,心血管王医生,1年前
糖尿病如果预防？,https://www.douyin.com/video/7009847716855500062,124,00:57,https://www.douyin.com/user/MS4wLjABAAAACUyrxpM1lkBDuiOZxMWmiyEcu8ymJiKZ5meCemo5I30pjya9Q594xrjR3DE9pyXQ,中医肾内科医生赵良斌,2月前
#糖尿病 的预防很重要，记住这5点，轻松预防。#抖音 #医学科普 #血糖 #健康 #全民健康计划,https://www.douyin.com/video/6843707087281868047,2911,00:32,https://www.douyin.com/user/MS4wLjABAAAAB_AOSNvr-Kqv1CI5voPzjorpLGHScaNO4eVECLDootc,内分泌科孙医生,1年前
#健康 想要预防糖尿病，建议多吃这些食物！@神经内科何主任,https://www.douyin.com/video/6872276736076172544,158,00:43,https://www.douyin.com/user/MS4wLjABAAAAzW6p4sh2xCWY50ogzZXQ5q8IPD_9BTEZEQPFUZXWdlU,心脏科吴主任,1年前
预防糖尿病，并不只是不吃糖那么简单，这么吃，可以让概率降低25%#全民健康计划 @河豚健康,https://www.douyin.com/video/6848154733723520271,2.6w,00:32,https://www.douyin.com/user/MS4wLjABAAAAF5YRxatWMv5tMglPcTvSyWliYURpbHeudZ6uXJdle1k,李瑛,1年前
