标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
每天吃鸡蛋会容易得糖尿病吗？ #鸡蛋  #健康真相官  #糖尿病  #全民健康计划  @河豚健康,https://www.douyin.com/video/6899844684739398920,11.0w,01:34,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
是真的吗？每天一个鸡蛋，引起糖尿病的发病风险提高60%  #鸡蛋  #糖尿病   #科普 ,https://www.douyin.com/video/6898291716621634827,1.2w,02:40,https://www.douyin.com/user/MS4wLjABAAAAF5YRxatWMv5tMglPcTvSyWliYURpbHeudZ6uXJdle1k,李瑛,1年前
米面吃多增加糖尿病患病风险！如何避免血糖增高？不妨试试这样做,https://www.douyin.com/video/6956467220394413319,109,03:51,https://www.douyin.com/user/MS4wLjABAAAAYZo34twrzWfXiFHer7radd-gc4wM64yrypNnrtHBxOHF0nPsxtevvnZiLD2Rj30_,黄立坤教授,7月前
最新发现，血压没降到130以下糖尿病风险增加,https://www.douyin.com/video/6858550267340688644,2.2w,00:42,https://www.douyin.com/user/MS4wLjABAAAA7svG5EB1INLdkgi2zkMb0VJAeysaGXsYkXqlZ4QLNi8,心血管王医生,1年前
糖尿病高风险因素有这些 #糖尿病科普,https://www.douyin.com/video/6959850151536004388,715,00:24,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,7月前
最好这4点！可预防75%的糖尿病！,https://www.douyin.com/video/6808734663016713480,6625,00:46,https://www.douyin.com/user/MS4wLjABAAAA7svG5EB1INLdkgi2zkMb0VJAeysaGXsYkXqlZ4QLNi8,心血管王医生,1年前
这四类人群要特别注意，患糖尿病的风险  #糖尿病  #糖尿病科普,https://www.douyin.com/video/6885240370603494669,1254,00:44,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
血糖高，还怪这个！吃盐太多,https://www.douyin.com/video/6987675978201828646,58,00:38,https://www.douyin.com/user/MS4wLjABAAAAQLuHdrzAozfAtfEs1-GALikJK6-I6zFjAMQeCQdBkb0,护心医生张诗文,4月前
为什么味精要少放？ #医学科普 #涨知识 ,https://www.douyin.com/video/7042171879712410893,1.0w,00:50,https://www.douyin.com/user/MS4wLjABAAAATg4E-2_Y4hJe8fBuUBl9W6sD5S5AedsbwoxOOd7wlYk,骨科专家赵亮,2天前
遗传是#糖尿病 的高危因素！快来测一测，你的风险高吗#十万个怎么做,https://www.douyin.com/video/6911619044449864973,9477,00:41,https://www.douyin.com/user/MS4wLjABAAAAg-2yC_pb8oDutvfu-ClglW2QK9nmcDuH2eekpQGOXvo,约见名医,11月前
这个坏习惯，每天都在重复，你知道吗？#坏习惯 #健康 #医学科普 #了不起的医生 @抖音小助手,https://www.douyin.com/video/6881137816860888323,391,00:46,https://www.douyin.com/user/MS4wLjABAAAAVtpvrQ5AVGvNSzlpFAUqU9-PvEHwA9PlwtaGeRaATGCPPnQTA23VGJXvFSxkj25V,中医姚主任,1年前
哪些饮食习惯会导致糖尿病？#糖尿病 #高血糖 #健康,https://www.douyin.com/video/6956460171593878815,843,00:52,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,7月前
血糖真的会影响健康么？#糖尿病 #控糖 #健康科普,https://www.douyin.com/video/6944950189539003663,584,00:36,https://www.douyin.com/user/MS4wLjABAAAARq25m-ELNZ6n9JqzpBvDiqDsJyFPxqJFPZVqT5Il-PDthBlI1-AGkyy2iDnVnfX6,曾天舒,8月前
得了糖尿病，需要补充微量元素吗？有9个注意事项！#医学科普 #健康dou起来 #科普健康知识 #健康养生 #健康科普 #涨知识 @抖音小助手 ,https://www.douyin.com/video/6989858919598279967,447,02:40,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,4月前
不关注糖化血红蛋白，糖尿病的并发症是必然的。#中医 #糖尿病,https://www.douyin.com/video/6924969533493054733,655,00:31,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,10月前
