标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
糖尿病风险评分，测一测你得糖尿病的风险高不高。 #全民健康计划  @河豚健康,https://www.douyin.com/video/6816193527295380748,822,01:16,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
#李焱主任 如何判断糖尿病并发症的风险#糖尿病并发症 #糖尿病 ,https://www.douyin.com/video/6996869362829348126,3136,00:20,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,3月前
在中华医学会《中国糖尿病防治指南（2020）》里看到了测试糖尿病风险的方法！和大家分享一下~#糖尿病 ,https://www.douyin.com/video/6998435863654911239,136,00:46,https://www.douyin.com/user/MS4wLjABAAAAa93mx-QSoPe_BUkJ8v2PKWNDs1Zcu3eO_wqLZDj-vISU5bDcmNPOFG5bPodDn49p,减重外科刘少壮,3月前
判断并发症风险，看糖化血红蛋白 #糖尿病并发症 #糖化血红蛋白,https://www.douyin.com/video/6937959170939309325,6845,00:26,https://www.douyin.com/user/MS4wLjABAAAAxjl17z-31dXFiJJ9eeXPZyHrn6OvqpCoXa-cK6j3npU0p2Y4vVhqtfLgPYEkLgzJ,糖尿病专家顾耀,8月前
#糖尿病 #高血糖 #王世东 ,https://www.douyin.com/video/7019540531143363871,3930,00:23,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,1月前
"诊断糖尿病,这5个数字，你一定要知道！#高血糖 #糖尿病",https://www.douyin.com/video/6985846968195108100,4594,01:22,https://www.douyin.com/user/MS4wLjABAAAAXvlS0q3cobQfc7d6j8f2etxi85K3dlzGmEzDch0yKm1iDlKZHaulXWQXmZEjhBiO,内科邓晋红,4月前
一分钟自测，你是不是糖尿病高危人群,https://www.douyin.com/video/6755315780709027076,8,01:51,https://www.douyin.com/user/MS4wLjABAAAApfp9mLaTW3pPpAR0iee8G-gWH4KdexGq0T9egNnleh8,健康情报局,2年前
您糖化超过6.5就要注意了#高血糖 #王世东 #糖尿病 ,https://www.douyin.com/video/7031768965517020449,2785,00:23,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,3周前
糖友运动前，这几点要提前评估 #糖尿病 #运动,https://www.douyin.com/video/6972006587934231816,191,00:37,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,6月前
血糖多高才可以认定为糖尿病？血糖标准是什么。#健康 #医学科普  #糖尿病  #王世东  #高血糖 ,https://www.douyin.com/video/6980171885036195108,3116,00:28,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,5月前
