标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
适合糖尿患者的蔬菜类食谱来了~ #健康  #涨知识,https://www.douyin.com/video/6806212222063234311,4.2w,00:58,https://www.douyin.com/user/MS4wLjABAAAAm8JuFTJefG-c6wc-tK7Fn5uRsTEKmsFd3hEOITj3nVi0k7FkTpK2orOADM-HQ5uD,糖尿病防治研究会,1年前
糖尿病患者一周食谱推荐，7天不重样，供大家参考 #糖尿 #糖尿病饮食 #糖友饮食 @抖音小助手 ,https://www.douyin.com/video/7026616141057445127,1636,00:19,https://www.douyin.com/user/MS4wLjABAAAAZhnvsagovXzGEQpW3WDpMVTiq1fiEnP26y90utJUzBKO6pIQsKr5T6gf5CgGeJly,武汉协和医院李裕明,1月前
#血糖高 糖友餐后糖高主食吃什么？这个主食谱可以替代精米白面！请保存并分享给其他糖友！#糖尿病 #血糖 #糖友 #餐后血糖 ,https://www.douyin.com/video/7009465550694927650,2.1w,00:53,https://www.douyin.com/user/MS4wLjABAAAAbUIQjnWnqm6g-9oiJ1V4RRHCyNdognpFruKyaT2ZwhvYgTLDm_vUw7on4zoHUeMT,居老师轻松控糖(三三控糖团),2月前
我的糖人早餐分享#控糖 #糖尿病 #糖尿病饮食,https://www.douyin.com/video/7008354214833327371,3282,01:13,https://www.douyin.com/user/MS4wLjABAAAAcvoGtoBKj-PAd934ueSLL6Fo-xOvm-k0IYu0s8HIoZE,糖友大度,2月前
#糖尿病 #高血糖 的朋友饮食一定要注意了，持续更新中，需要了解更多可以咨询,https://www.douyin.com/video/6883417949332327693,1.0w,00:37,https://www.douyin.com/user/MS4wLjABAAAApvAnbWZ_0X36XhRuHmzGUX6nUUaNvupc4t-ZdtdErYTM3PrbcKFM-P5OWpTiajWK,一级控糖导师（小彤）,1年前
糖友家常菜，吃对很重要。这几道菜有你常吃的吗？#控糖 #高血糖 #家常菜 #糖尿病 #糖尿病饮食 ,https://www.douyin.com/video/6978713813013040419,4.6w,00:48,https://www.douyin.com/user/MS4wLjABAAAAbUIQjnWnqm6g-9oiJ1V4RRHCyNdognpFruKyaT2ZwhvYgTLDm_vUw7on4zoHUeMT,居老师轻松控糖(三三控糖团),5月前
糖尿病食谱5,https://www.douyin.com/video/6977021839709080864,963,01:39,https://www.douyin.com/user/MS4wLjABAAAA2rzqy2K-73jgdQDSe29sR1FpVkFv8FakhYA3NCHFhVM,丢糖小厨房,5月前
营养好喝，糖友适合的6种汤#糖尿病饮食  @DOU+小助手,https://www.douyin.com/video/7030411237372513570,1.0w,00:17,https://www.douyin.com/user/MS4wLjABAAAAynnYZTLda7aX8ZNnMHp0yTbq2A06F3HIxmMWVyEOsYGjA8uGKejmCca-NUGTDhES,微泰讲糖,3周前
糖友空腹糖高，不知道吃什么？快来收下这份菜谱，简单易上手，再也不用一听全会，一做全废啦~#糖友饮食 #糖尿病饮食 #糖友 #空腹糖高 ,https://www.douyin.com/video/7035889770806971652,3987,00:33,https://www.douyin.com/user/MS4wLjABAAAAbUIQjnWnqm6g-9oiJ1V4RRHCyNdognpFruKyaT2ZwhvYgTLDm_vUw7on4zoHUeMT,居老师轻松控糖(三三控糖团),1周前
糖尿病患者应该怎么吃早餐 #糖尿病  #饮食 ,https://www.douyin.com/video/6976079808576998687,2.6w,01:03,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,5月前
