标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
糖尿病患者应该怎么吃早餐 #糖尿病  #饮食 ,https://www.douyin.com/video/6976079808576998687,2.6w,01:03,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,5月前
糖尿病患者主食应该怎么吃？#糖尿病 #糖尿病饮食,https://www.douyin.com/video/7031501876164037929,1.4w,00:46,https://www.douyin.com/user/MS4wLjABAAAA4HjwxgXL_s68YJNQsdrnhYp3OPrErRJ637s1iOZbq1qUnXjav9_RCPhbzUbmWP-2,白清,3周前
糖友怎么吃饭能更好的控制血糖？记住以下这三点,https://www.douyin.com/video/7037037340266663175,3935,01:15,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,1周前
糖尿病饮食的早餐建议 #糖尿病饮食 #不吃早餐的危害 #医学科普 ,https://www.douyin.com/video/7005137906377510148,1.4w,00:42,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,3月前
#糖尿病 #糖尿病饮食 一定要记住这四个字,https://www.douyin.com/video/6925733466491342080,1.9w,01:23,https://www.douyin.com/user/MS4wLjABAAAAQmqLUAEjZw4BZSnEjD20uhFe1j8oNWm2JJfjH7aK_aUsuwFp6De5dgzSlL3SSgDV,庄慧魁主任,10月前
糖尿病的饮食管理：主食、肉、蛋、水果、蔬菜应该如何调配#糖尿病 #糖尿病饮食 #糖尿病科普 ,https://www.douyin.com/video/6992153388951620872,305,00:52,https://www.douyin.com/user/MS4wLjABAAAAPl8n4qU0TkE2yE8h_-4OznpBgxZsoKwH1xFrVVli0-Q,中医内科专家张其慧主任,4月前
#中医 #健康科普 #糖尿病  ,https://www.douyin.com/video/7009927668082789645,2410,00:49,https://www.douyin.com/user/MS4wLjABAAAA0_wfckd5LIy1-Lm8FXFdIYdZrV1-B2pXPsuqf8vIF9HJXquY9B0Sh4ulCQudnHr4,王国才教授,2月前
#糖尿病吃什么好 #控糖 #糖尿病 #糖尿病饮食 @抖音小助手,https://www.douyin.com/video/6994634951115181350,3.0w,03:39,https://www.douyin.com/user/MS4wLjABAAAAcvoGtoBKj-PAd934ueSLL6Fo-xOvm-k0IYu0s8HIoZE,糖友大度,4月前
#糖尿病 患者要学会合理饮食，既保证#营养 又对#血糖 影响Zui小#医学科普 #糖尿病科普 @DOU+小助手,https://www.douyin.com/video/6907532424356334848,9512,00:44,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,11月前
降糖的食物有哪些？ #糖尿病  #饮食,https://www.douyin.com/video/6965772773507599624,2.9w,00:49,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,6月前
