标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
糖耐量测试，诊断糖尿病的金标准 #糖尿病科普  #糖尿病 #医学科普 #健康真相官,https://www.douyin.com/video/6901217599300963591,1239,00:40,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
关于糖耐量测试，你要知道的事，孕妈必看！#医学科普 #糖耐量筛查 ,https://www.douyin.com/video/7026519711374478606,2658,02:46,https://www.douyin.com/user/MS4wLjABAAAARlFDD5j3Nbqtrj_TY5mQxN-hZdNNSEDXJm9cHPlmGSo,汤继云,2月前
为什么要做糖耐量试验？ #糖筛  #糖耐量  #妊娠糖尿病   #全民健康计划  @河豚健康,https://www.douyin.com/video/6901940995617737992,2538,00:58,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
糖耐量检测，这些事项，建议收藏#孕期 #孕检糖耐 #孕检 #科普 @抖音小助手 ,https://www.douyin.com/video/7034437441121504553,1416,00:47,https://www.douyin.com/user/MS4wLjABAAAAzKdDasU8GzISc8jYOl-OJllc-ghpJWoEHGuVWmEJb7utvhbL7T68YQMcEmqU1f8z,妇产科崔雪梅,1月前
抗糖记，在家做糖耐测试，结果…#糖尿病 #控糖 #健康 ,https://www.douyin.com/video/6983862992039398667,2649,01:07,https://www.douyin.com/user/MS4wLjABAAAAK6amSkm2I30r5yf1T-ue-tf3HmJt65U0hOQf0CxjFmY,抗糖记（逢牛网络科技）,6月前
糖耐量试验检查，费用是不是特别高？#医学科普 #糖耐量 ,https://www.douyin.com/video/7012923954977459463,197,00:53,https://www.douyin.com/user/MS4wLjABAAAAG8mVYXu7o8-WGha_lF1-SsZkAdo-YHmftOud4m4f3f4,妇产科李桃英,3月前
什么情况可以做糖耐量试验？#糖尿病科普 #糖耐量 ,https://www.douyin.com/video/6994243097798397197,2996,00:36,https://www.douyin.com/user/MS4wLjABAAAAxjl17z-31dXFiJJ9eeXPZyHrn6OvqpCoXa-cK6j3npU0p2Y4vVhqtfLgPYEkLgzJ,糖尿病专家顾耀,5月前
糖友在做糖耐量测试的时候注意的问题#糖尿病 ,https://www.douyin.com/video/7023657847950953741,645,00:35,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,2月前
喝75克葡萄糖做个糖耐测试，看我的糖尿病是逆转还是控制的较好！,https://www.douyin.com/video/6951644811988389133,61,05:20,https://www.douyin.com/user/MS4wLjABAAAAaaQ7fWO-jggvpVl0-3JOM_nG8klw9jgQnLNRjQzJ4MImRu_W-BAjasye4NnAVUMD,行者武哥Vlog,11月前
糖耐量实验，选75g葡萄糖or馒头餐？ #糖尿病 #糖耐量筛查 #糖尿病科普,https://www.douyin.com/video/6937894148976413965,1133,00:41,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,9月前
诊断糖尿病，口服糖耐量试验的注意事项！,https://www.douyin.com/video/7032403128574151947,84,03:25,https://www.douyin.com/user/MS4wLjABAAAAfxavR7lnfuQURNSw_HSF8_9472SEtqfJku5kno7T3Fo,内分泌高海林医生,1月前
糖尿病#糖尿病 #糖尿病逆转#抖音小助手,https://www.douyin.com/video/6906080760759995655,303,02:03,https://www.douyin.com/user/MS4wLjABAAAAcvoGtoBKj-PAd934ueSLL6Fo-xOvm-k0IYu0s8HIoZE,糖友大度,1年前
糖耐量检查怎么做#创作灵感 ##控糖 #糖尿病 #热门 #逆转糖尿病,https://www.douyin.com/video/6997243425623985447,1471,02:44,https://www.douyin.com/user/MS4wLjABAAAAcvoGtoBKj-PAd934ueSLL6Fo-xOvm-k0IYu0s8HIoZE,糖友大度,4月前
糖耐量实验你会做吗？#糖尿病@抖音小助手,https://www.douyin.com/video/6827757265328606472,757,00:59,https://www.douyin.com/user/MS4wLjABAAAAuEMI2U1fZWflwd1wsnF_h2_aQJEBeNxeRq6mK3c3YA0,anyisheng1,1年前
诊断糖尿病，口服糖耐量试验怎么做？,https://www.douyin.com/video/7030176888890985740,108,03:23,https://www.douyin.com/user/MS4wLjABAAAAfxavR7lnfuQURNSw_HSF8_9472SEtqfJku5kno7T3Fo,内分泌高海林医生,2月前
