标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
肾脏病人到了终末期应该如何是好！,https://www.douyin.com/video/6989432113338633510,54,00:57,https://www.douyin.com/user/MS4wLjABAAAAjqKdu7m0zWsmFWeH3OQk2K7G0zcRbjG4KhIV5DUUJP_8kKsRg1tHjA--8HaEhLps,李平医生,5月前
#尿毒症 #肾病 #健康 ,https://www.douyin.com/video/7042541948460174600,712,00:32,https://www.douyin.com/user/MS4wLjABAAAAH6FcliiSDZtgPmkfeopJU2kasMk64g0ct6ztjI84d7I,肾病科王暴魁教授,4周前
#医万个为什么郑勋华：终末期肾病患者，为什么要尽早肾脏替代治疗？,https://www.douyin.com/video/7019122393138449672,47,30:00,https://www.douyin.com/user/MS4wLjABAAAAaeqJg_VYSVyr1oGEP-fJMrgIEb5QAN9wBaK7cwxrRjdtSib6zQKkQ3pOaWlMFtfx,中山大学附属第一医院,3月前
终末期肾病患者肾透析时还是肾移植后进行人工髋关节置换更安全、更省钱？#肾病#肾透析#肾移植#髋关节置换#肾,https://www.douyin.com/video/6996182668865981707,40,01:05,https://www.douyin.com/user/MS4wLjABAAAAfgpPZAMO8w7ks_OmOwmkWc-sPlVR8Y1WfBxxuv-f5e8,骨科高绪仁医生,5月前
肾病科王暴魁教授,https://www.douyin.com/video/6953577021167439134,1909,00:39,https://www.douyin.com/user/MS4wLjABAAAAH6FcliiSDZtgPmkfeopJU2kasMk64g0ct6ztjI84d7I,肾病科王暴魁教授,8月前
一个肾，还能正常生活吗？#999本草悟 ,https://www.douyin.com/video/7038966485141753096,87,00:52,https://www.douyin.com/user/MS4wLjABAAAACUyrxpM1lkBDuiOZxMWmiyEcu8ymJiKZ5meCemo5I30pjya9Q594xrjR3DE9pyXQ,中医肾内科医生赵良斌,1月前
@抖音小助手 ,https://www.douyin.com/video/7024311061062962463,133,00:23,https://www.douyin.com/user/MS4wLjABAAAAAxqUJunICCZ8WcAzfiItbCTqWHeYKSUjDuLgtkbN-ugxGZDKPUNUNXjK8p1jsEkp,肾病科医生徐建龙,2月前
慢性肾病终末期（尿毒症期）会出现哪些症状你知道吗？#尿毒症  #健康 #医学科普 ,https://www.douyin.com/video/7044326962852138247,217,00:18,https://www.douyin.com/user/MS4wLjABAAAAjqKdu7m0zWsmFWeH3OQk2K7G0zcRbjG4KhIV5DUUJP_8kKsRg1tHjA--8HaEhLps,李平医生,3周前
#三甲医院 主任医师在线提醒，#肾病早发现早治疗，对自己对家人负责#健康养生 ,https://www.douyin.com/video/6999550317884902693,4392,00:33,https://www.douyin.com/user/MS4wLjABAAAAH6FcliiSDZtgPmkfeopJU2kasMk64g0ct6ztjI84d7I,肾病科王暴魁教授,4月前
判断肾功能好不好，主要看这两个指标#肾病 #尿蛋白 #肾小球滤过率,https://www.douyin.com/video/6849156558098566400,3836,01:01,https://www.douyin.com/user/MS4wLjABAAAAMCGSK0P_sVJbG4d8WH8W21z_wHNjOPRivf8fOrVBU5s,一帆说肾,1年前
#尿毒症什么好办法#健康科普 #医生 #中医,https://www.douyin.com/video/6885876584562068743,488,00:32,https://www.douyin.com/user/MS4wLjABAAAAI9BwvMQItRe4jO-s8C2nT9sOLS5iJT68uA61dqxoEaypVs5OBygPbzas3dvFsvsA,中医肾病科医生周静威,1年前
