标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
案例分析：糖耐量异常,https://www.douyin.com/video/7009841972210978080,5839,03:27,https://www.douyin.com/user/MS4wLjABAAAA-9RDtCKbgT40O0R-oBSbhHvdCKTKcYXNXcr-cYh_4kmwZUZXuU9TWXQrTTrrfyf_,马欣教授,3月前
空腹高，餐后不好也是糖尿病前期的表现。积极重视，尽早治疗。#糖尿病 #血糖高 #医学科普 @DOU+小助手,https://www.douyin.com/video/6956873652696632591,717,00:40,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,8月前
糖前期怎样预防，关键是要改善生活方式。#健康科普 #糖尿病 #运动 #医学科普,https://www.douyin.com/video/6876640613966630148,461,00:32,https://www.douyin.com/user/MS4wLjABAAAApmCxkrR5RwkgmHbjyqkoYV53AfS8WhzWCsE0ssBz1Wg,连博士说内分泌,1年前
糖耐量异常是糖尿病吗 #炎炎夏日有你真甜  #健康江西科普先行,https://www.douyin.com/video/6847415295896767752,78,01:02,https://www.douyin.com/user/MS4wLjABAAAA4GX9SdLa89LTwoNritMTmHOSWYoWsw6dvRNhx_ic4oA,江西省人民医院,1年前
糖前期离糖尿病有多远#糖尿病前期 #糖尿病  ,https://www.douyin.com/video/7002035561733131534,2774,00:39,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,4月前
#李焱主任 体检单上的血糖值如何解读#体检 #糖尿病 #糖友自我管理 #高血糖 ,https://www.douyin.com/video/7039905712050359566,807,01:24,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,1月前
一定要学会放松自己的心情，稳定的心情对健康生活很重要。#糖尿病 #健康  ,https://www.douyin.com/video/7045067279142292772,1737,01:05,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3周前
提醒大家：空腹血糖受损和糖耐量异常，也称糖尿病前期！虽然还不算糖尿病，但如果不干预，很容易发展成为#糖尿病 #健康 #科普 ,https://www.douyin.com/video/7012544913271278856,8312,00:06,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
糖尿病诊断必须知道的五个数字#糖尿病,https://www.douyin.com/video/6882690086392188168,7.4w,01:12,https://www.douyin.com/user/MS4wLjABAAAADpTiEpkjX_fXgDZudeIOTE1fqPky6GK_mbCF0-8jYTA,聊健康的崔主任,1年前
得了糖尿病，需要补充维生素吗？给你7条建议！#健康 #健康养生 #健康最重要 #健康科普 @抖音小助手 ,https://www.douyin.com/video/6984761503341645063,1119,01:54,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,6月前
早期发现糖尿病，及时控制便正常#清风计划 #我的养生日记 #糖尿病 @南方健康 @头条健康,https://www.douyin.com/video/6731723701349256452,1838,00:56,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2年前
抓紧这个时间，你的胰岛还能修复#糖尿病 #糖前期 #逆转糖尿病,https://www.douyin.com/video/6935683633399237919,2673,00:30,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,10月前
讲讲血糖的数字游戏#血糖 #健康 #心血管,https://www.douyin.com/video/6932039250070228237,1.6w,01:06,https://www.douyin.com/user/MS4wLjABAAAADpTiEpkjX_fXgDZudeIOTE1fqPky6GK_mbCF0-8jYTA,聊健康的崔主任,10月前
"诊断糖尿病,这5个数字，你一定要知道！#高血糖 #糖尿病",https://www.douyin.com/video/6985846968195108100,4611,01:22,https://www.douyin.com/user/MS4wLjABAAAAXvlS0q3cobQfc7d6j8f2etxi85K3dlzGmEzDch0yKm1iDlKZHaulXWQXmZEjhBiO,内科邓晋红,5月前
糖尿病可以逆转吗？你有逆转的可能吗？（1） #糖尿病,https://www.douyin.com/video/6972096016204025125,8377,00:56,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,7月前
