标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
糖尿病合并胃轻瘫怎么办？ #糖尿病 #胃不好,https://www.douyin.com/video/6937550395849968910,788,00:35,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,10月前
《胃病科普》胃动力不足？带你了解“胃瘫”，收藏，转发#全民健康计划,https://www.douyin.com/video/6817387723146415372,1807,00:45,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,1年前
糖尿病患者日常监测血糖到底有多重要#血糖仪 #糖尿病 ,https://www.douyin.com/video/7005464906686385444,606,02:02,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,4月前
老年糖友们往往都经历了几十年的“调糖、降糖”战斗,https://www.douyin.com/video/7044522827063610654,37,01:10,https://www.douyin.com/user/MS4wLjABAAAAcdEbZjPxx5bQ5mR9ogaMDoB2-6NUgZ2CF1OLXE9Gn93bwXTkjbnddJDdNDGvg_k8,王炳元,3周前
中医调治胃瘫办法多！#中医#中药,https://www.douyin.com/video/6829863421400321284,774,00:58,https://www.douyin.com/user/MS4wLjABAAAA6_O6_JbYr2nm2XOIo-Nv2H10wA2-H2sXZ9MdVZmFtG0,四川省科学养生促进会,1年前
糖尿病人的饮食原则#糖尿病 #糖尿病科普 #上海创作者联盟计划,https://www.douyin.com/video/6895663932355202317,824,00:27,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
糖尿病周围神经 最容易不被注意(下),https://www.douyin.com/video/6827280033044761860,223,00:44,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
警惕！#糖尿病人的恶心呕吐，小心这种病#健康 #科普,https://www.douyin.com/video/6863683394388135176,114,01:08,https://www.douyin.com/user/MS4wLjABAAAALZUzvR_g2kSjqTDJo4HtEY4YW-mp6DcfSPUNal1VgWE,刘教授慢病管理,1年前
胃瘫了后胃就不蠕动了，吃什么吐什么，#中医有什么办法呢？#胃病 #医学科普,https://www.douyin.com/video/6942760347749125383,1724,00:51,https://www.douyin.com/user/MS4wLjABAAAA9NYXM936AFVzqaFJcixJtm9YSXbs5Hkg8C9j9URTiF0,中医内科张雪亮,9月前
糖尿病人恶心反胃想吐怎么回事 #了不起的医生 #健康江西科普先行,https://www.douyin.com/video/6861051494230150407,37,00:59,https://www.douyin.com/user/MS4wLjABAAAA4GX9SdLa89LTwoNritMTmHOSWYoWsw6dvRNhx_ic4oA,江西省人民医院,1年前
我们为什么会出现消化不良的症状呢？这个视频可以给你答案#消化不良 #公益 #胃肠 @抖音小助手,https://www.douyin.com/video/6952797025570213152,797,00:54,https://www.douyin.com/user/MS4wLjABAAAAFrd-bScTl6fz34Q8fREvGu70CbesT5IU8DwvpLtIjXU,消化内科沙卫红主任,8月前
#早饱 感：吃一点点就感觉很胀，该注意什么？#功能性消化不良 #消化科邹医生 #消化科邹欣 #餐后不适综合征 ,https://www.douyin.com/video/6978051600677915944,1234,01:10,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,6月前
非常感谢官方提供抖音这样的平台，让我能够与大家进行交流，大家如果有糖尿病方面的问题可以问我，我会尽力为大家解答。#糖尿病 #健康科普 ,https://www.douyin.com/video/7039611022004505887,4287,00:33,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
#中医  #健康 #健康科普 ,https://www.douyin.com/video/7042511275661724958,265,01:16,https://www.douyin.com/user/MS4wLjABAAAAU9OAtrFY5GdYH4Trr2ERYwC0FmyDydp5JSo5en-iyds6oFwmeoKtnSQ5LA_SVvQC,曾主任讲胃病,4周前
#糖尿病 不可怕，可怕的是它的并发症#健康 #四川 ,https://www.douyin.com/video/7028458935141010701,7492,00:04,https://www.douyin.com/user/MS4wLjABAAAABaZejiHXFI9ZGM_thNkOmh9EsWiOm0SFwbGRAftJ8I_Bam_H8GGs4EJzgxCWwgZc,中医钟博士,2月前
得了糖尿病，越瘦越好？#健康 #高血糖 ,https://www.douyin.com/video/7028852104081067295,901,00:35,https://www.douyin.com/user/MS4wLjABAAAA062xLtYILS8e4yU1ZsATqW6KHo9dqQKV8i7bjvPxjSqi1DyT73OLAa3gAmLwUtAr,韩昕健医生,2月前
干燥综合征除了“干”还可能会有什么症状？哪些人群更容易得呢？#干燥综合症 #口干眼干 #健康知识 #医学科普 ,https://www.douyin.com/video/7025827449086676237,803,01:08,https://www.douyin.com/user/MS4wLjABAAAACyRgotj9nb1xRR1SZ9Nwi_GuNyNTWFvwsxpif4LrP3rTEXJSTyuIK2mQQtL4hOJC,风湿科张春艳,2月前
糖友体重下降的原因#科普知识,https://www.douyin.com/video/6975100668432452871,242,00:18,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,6月前
胃部反流，警惕这些疾病，记得排查#胃病 #胃不舒服 #反流 ##医学科普 #中医 #健康 #健康科普 #胃病张雪亮 #张雪亮 ,https://www.douyin.com/video/7006553352238583047,1592,00:22,https://www.douyin.com/user/MS4wLjABAAAA9NYXM936AFVzqaFJcixJtm9YSXbs5Hkg8C9j9URTiF0,中医内科张雪亮,4月前
#养胃 喝粥吃面不养胃！这样习惯才养胃！,https://www.douyin.com/video/7037630892512169230,7.7w,02:04,https://www.douyin.com/user/MS4wLjABAAAAy0UTLKp_fWk_aUSd6JtfLmuyVeiVwdmXx78__17Ir_bUF6Cmc_jkcy58uGrG0J2q,张医生健康之声,1月前
注意：出现这些情况 一定要重视起来！#健康 #涨知识 #科普 #医学科普 #健康科普 #生活 ,https://www.douyin.com/video/6983951880040795399,589,00:44,https://www.douyin.com/user/MS4wLjABAAAAs1bFAMNW7zz1goPBr6DZIMUnKH_AHlfdXeWvEiml-JsGvKzJfGXiPQkjC5uJcrh0,消化内科周峰主任,6月前
得了胃病一直在消瘦，不要过度担心，告诉你怎么查原因#全民健康计划 #暑期知识大作战 #南方健康,https://www.douyin.com/video/6866359312227339535,2930,00:40,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,1年前
胃病靠养，可是你养对了吗？#医学科普 #慢性胃炎 #胃炎 #养胃,https://www.douyin.com/video/6888594580606881024,2.2w,01:18,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,1年前
#健康科普 #科普一下 ,https://www.douyin.com/video/7022440038097063182,4.4w,00:47,https://www.douyin.com/user/MS4wLjABAAAAs1bFAMNW7zz1goPBr6DZIMUnKH_AHlfdXeWvEiml-JsGvKzJfGXiPQkjC5uJcrh0,消化内科周峰主任,2月前
有#萎缩性胃炎 不要担心，做到合理饮食，规律作息，其他的交给医生。#肠胃 #脾胃 #胃病 #胃炎 ,https://www.douyin.com/video/7014308296572046595,3908,00:33,https://www.douyin.com/user/MS4wLjABAAAAoulR9fMwHgPn-AzfwrhrPgmNjiC75shxZzaA4S2raE3_zFhFNlh-T1uRHEhfg4W0,中医朱子奇主任,3月前
"#肠胃不舒服，检查都正常是咋回事,你有过这样的情况吗？#健康科普  ",https://www.douyin.com/video/6979151884682644772,1.1w,00:45,https://www.douyin.com/user/MS4wLjABAAAAGf-6jYJtqcYrA5vOZXXDULP-P1Bgah5uWoudqgd-lZBUfE8G6BqX9zPUIUZ0kOGj,暖胃大叔田艳涛主任,6月前
胃部问题和症状旺旺没有直接联系，所以定期检查，积极调理很重要。#萎缩性胃炎 #胃病 #胃炎 #肠胃 #脾胃 ,https://www.douyin.com/video/6986470101016907019,3618,00:37,https://www.douyin.com/user/MS4wLjABAAAAoulR9fMwHgPn-AzfwrhrPgmNjiC75shxZzaA4S2raE3_zFhFNlh-T1uRHEhfg4W0,中医朱子奇主任,5月前
胃疼胃胀胃痉挛，一个穴位帮你缓解,https://www.douyin.com/video/6621473528673733895,7175,00:48,https://www.douyin.com/user/MS4wLjABAAAAj5tpCJN8IAip_8yjA_DI6yOC99mGdAVXZEopVWAnzb0,北京卫视我是大医生,3年前
#萎缩性胃炎 不要过于紧张，我们需要时间逆转它#门诊日常 #传承中医文化 ,https://www.douyin.com/video/7003273751500475661,846,00:53,https://www.douyin.com/user/MS4wLjABAAAAqo1Ni_p03LIE0QVp7xzlSvCgSU3s5YJE4lIw-gWIOvs,中医胃肠刘星星,4月前
胃不好的表现，快看看你有吗！ #胃 #胃我养你啊 #健康,https://www.douyin.com/video/6868583558580063502,4.4w,00:24,https://www.douyin.com/user/MS4wLjABAAAAorHRT6WRszdSPTL0k7HsedV_nfIcQpquVdFlnA--G2k,肿瘤科李泉旺,1年前
胃胀气消瘦可能胃动力不足#胃#健脾养胃 #健康科普 ,https://www.douyin.com/video/7037640808673168654,358,00:51,https://www.douyin.com/user/MS4wLjABAAAAmt9tvt0DkOavYsfcrv8O9_KaSi1kn4cU89cdcTpnrJR3n0DYneKH7Dx6fURWN90u,中医胃肠师医生,1月前
《胃病科普》给胃病患者的一个小方法#全民健康计划 #医学科普 #健康,https://www.douyin.com/video/6809955132395064587,6.8w,00:50,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,1年前
中医萌大叔帅徒弟，两招帮你照顾好“娇气”的胃！@DR.YS,https://www.douyin.com/video/6712990012142537988,1.6w,00:58,https://www.douyin.com/user/MS4wLjABAAAAYGzkiXoanlk-DR1Wcky_7DTuqiCXir2LgZXpOh6uLB4,养生堂,2年前
脾胃虚弱的5种表现，你中招了吗？,https://www.douyin.com/video/7025905259495165221,6992,01:31,https://www.douyin.com/user/MS4wLjABAAAAKh3j5CwNZG_jfKR1saSFQkOiuYUk8IpiYH8ANxgKjWQ,中医王成阳博士,2月前
疲乏、无力、胃难受是什么问题？ #老中医  #医学科普,https://www.douyin.com/video/6946425078561115423,680,00:36,https://www.douyin.com/user/MS4wLjABAAAAfwq0yuDqn232MXXHAN3MpG8GJE71R3u-8GqpN993bdQ,内科吴金荣医生,9月前
轻度功能性胃肠病的治疗#全民健康计划 #南方健康,https://www.douyin.com/video/6836678487240183055,9624,00:37,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,1年前
贪多嚼不烂，胃病容易犯！预防肠胃病，要从饮食开始#脾胃教授 #健康科普行动 ,https://www.douyin.com/video/6989933725714844964,1039,00:26,https://www.douyin.com/user/MS4wLjABAAAAhScXqpIgjPznNbjNlsjHPsH1YjQ4zBZL8JF0ir7zUM7Ea1OzKbNK8ej14B5n9HQ-,张如兰教授,5月前
#脾胃虚弱，消化吸收能力差，人消瘦，容易拉肚子，认真看完哦！,https://www.douyin.com/video/6945289594300632350,6543,00:54,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,9月前
#胃胀三年，小伙子为了#萎缩性胃炎跑了很多地方给他辨证后，发现其实没有那么难~#医生日常 #门诊故事 ,https://www.douyin.com/video/7000207718535417095,2185,00:35,https://www.douyin.com/user/MS4wLjABAAAA_ykoz84ZrJVM4OUSqyq2FdwTJR1twPPVs9VtZqdUNw2jzlk7hWSiGVv4H1XaRVKr,中医内科刘汶,4月前
同样胃部不适伴有头晕，也要区别对待。#萎缩性胃炎 #慢性萎缩性胃炎 #胃病 #肠胃 #脾胃 ,https://www.douyin.com/video/6979514357675756839,4342,00:36,https://www.douyin.com/user/MS4wLjABAAAAoulR9fMwHgPn-AzfwrhrPgmNjiC75shxZzaA4S2raE3_zFhFNlh-T1uRHEhfg4W0,中医朱子奇主任,6月前
身体虚弱、消化不良，如果养胃呢？#医学科普 #健康真相官 #功能性消化不良 #慢性胃炎,https://www.douyin.com/video/6898649115635240192,7421,01:00,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,1年前
如果你患有轻度#慢性胃炎 不要慌，注意饮食，调整生活习惯，定期复查就可以了！不可盲目治疗#健康dou起来,https://www.douyin.com/video/6943195137044385031,2932,00:14,https://www.douyin.com/user/MS4wLjABAAAAhScXqpIgjPznNbjNlsjHPsH1YjQ4zBZL8JF0ir7zUM7Ea1OzKbNK8ej14B5n9HQ-,张如兰教授,9月前
很多#萎缩性胃炎 患者往往会出现躯体部位的不适，当#胃 调理顺畅了以后，这些不适往往也就随之缓解。#慢性萎缩性胃炎 #胃肠神经官能症 ,https://www.douyin.com/video/7004750292067667233,1.4w,00:28,https://www.douyin.com/user/MS4wLjABAAAAoulR9fMwHgPn-AzfwrhrPgmNjiC75shxZzaA4S2raE3_zFhFNlh-T1uRHEhfg4W0,中医朱子奇主任,4月前
或许这个视频能够对你有所帮助，记得点赞转发给家人朋友 #付医生 #医者名片,https://www.douyin.com/video/6893019563672309006,344,00:36,https://www.douyin.com/user/MS4wLjABAAAAyzjtMeqJb3OdKIdRhZJNfPhPZ0-UX6zHlN5nsLN1N5c,肿瘤科付晓伶医生,1年前
脾胃虚弱，5种症状，你中了几点？,https://www.douyin.com/video/7028733782429584653,7733,01:28,https://www.douyin.com/user/MS4wLjABAAAAKh3j5CwNZG_jfKR1saSFQkOiuYUk8IpiYH8ANxgKjWQ,中医王成阳博士,2月前
#萎缩性胃炎，你需要知道的5个点！看完转给重要的Ta#健康科普 ,https://www.douyin.com/video/6992897238905212167,3.0w,01:16,https://www.douyin.com/user/MS4wLjABAAAAGf-6jYJtqcYrA5vOZXXDULP-P1Bgah5uWoudqgd-lZBUfE8G6BqX9zPUIUZ0kOGj,暖胃大叔田艳涛主任,5月前
慢性胃炎|当你食欲减退、腹胀、消化不良、胃酸胃疼的时候，很有可能你就是得了慢性胃炎#中医 #胃病 #慢性胃炎 #知识科普 #dou是知识点 ,https://www.douyin.com/video/6996574500636626213,327,00:40,https://www.douyin.com/user/MS4wLjABAAAALbLQv0p3oSMZVAOXEb0ASy9FCfwtSTgvSv9FW8Vsd4z8XFlSfr5kEOxllqCaY0jJ,中医老王,4月前
胃痛胀满，吃不下饭，脾胃气虚的人怎么调理#中医 #健康养生 #胃痛 #脾胃 ,https://www.douyin.com/video/6997320360517569805,3133,00:44,https://www.douyin.com/user/MS4wLjABAAAAgr0wdh3W01Bhp7LBOyFYk4VAgDJRWxdzxdGvUcI3nFM,山东省老年医学学会,4月前
有相当一部分#胃不好 的人，消瘦是由于起焦虑的情绪引起的。#萎缩性胃炎 #脾胃 #肠胃 ,https://www.douyin.com/video/7030625488489975073,6186,00:28,https://www.douyin.com/user/MS4wLjABAAAAoulR9fMwHgPn-AzfwrhrPgmNjiC75shxZzaA4S2raE3_zFhFNlh-T1uRHEhfg4W0,中医朱子奇主任,1月前
出现胃部不适，不要擅自用药，及时正规就诊很重要。#萎缩性胃炎 #肠胃 #胃病 #胃炎 #脾胃 @肖瘤医生  ,https://www.douyin.com/video/6976539959888989478,3990,00:31,https://www.douyin.com/user/MS4wLjABAAAAoulR9fMwHgPn-AzfwrhrPgmNjiC75shxZzaA4S2raE3_zFhFNlh-T1uRHEhfg4W0,中医朱子奇主任,6月前
