标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
#健康知识讲解#创作灵感减重代谢手术如何帮助合并肥胖的糖尿病患者？,https://www.douyin.com/video/6914213774513835271,10,01:32,https://www.douyin.com/user/MS4wLjABAAAAO1jP0FHpShpQClEPWbx15W7U7A54yaosdedtD6-LPMAVq7n26XszY2xjk6hBi6NF,减重手术专家李良辉,11月前
#dou出新知 专家教糖友如何应对饥饿感 最后你学会了吗？,https://www.douyin.com/video/6777651701856865547,1094,00:51,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
#减重 代谢不仅可以让你#健康 瘦身，还可以帮助你控制#血糖  哟#减肥,https://www.douyin.com/video/6767973923251440910,409,00:45,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,2年前
#直播高光 最多观众#医者仁心 #医学科普,https://www.douyin.com/video/6989942572416339207,271,01:06,https://www.douyin.com/user/MS4wLjABAAAAp7EKYSLLf_cMoY5G9rTsERfEBERE9SJQzLZ5scEkCNA,肝博士杨明博大夫,4月前
这款国产药物，真的能治愈糖尿病么？#健康 #糖尿病 #我为医者 #降糖,https://www.douyin.com/video/6840280899838381326,9543,01:33,https://www.douyin.com/user/MS4wLjABAAAANGOBt6WNOVZgfjMx6VXX6LHov-kGt_BxGxGVGIOdAqc,DrX,1年前
#糖尿病 人不要自己乱吃药,https://www.douyin.com/video/7000205623518383391,1635,00:29,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,3月前
#糖友们 这两项检查您做了吗？对#糖尿病 日常健康管理有帮助。我是#内分泌科 李医生，#健康科普 #医生科普 ,https://www.douyin.com/video/6985103380700073224,2131,00:43,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,4月前
这三个传言的软化血管的方法千万要注意了！没有一个是真的！#健康知识 #软化血管 #医学科普 #医生 ,https://www.douyin.com/video/6989159233388301575,4246,01:37,https://www.douyin.com/user/MS4wLjABAAAAjZDGIifaWiqvg_Lf3YAXw5Z-D0EgWL67TCkUV2wGXarTzv66Ix2RtRvzMNo5ehSM,心血管内科李岩医生,4月前
什么降糖方案最好？适合自身情况的方案才是最好的方案！#降血糖 #逆转糖尿病 ,https://www.douyin.com/video/6998896223721737484,4000,00:53,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,3月前
想减轻胰岛负担？早点睡觉#糖尿病 #糖尿病逆转 ,https://www.douyin.com/video/6985040032277040392,4959,00:28,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,4月前
 #李焱主任 为什么血糖顽固降不下来 #高血糖  #糖尿病 #医学科普 ,https://www.douyin.com/video/6975353749137067278,3128,00:47,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,5月前
这几类降糖药可能会增加体重  #增重  #降血糖  #体重管理 ,https://www.douyin.com/video/6982432750678691086,1918,00:31,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,5月前
这类降糖药长期使用为什么药效下降#医学科普 #科普健康知识 #糖尿病 @DOU+小助手,https://www.douyin.com/video/6989208523091627297,2975,01:04,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,4月前
这两种#降糖药 有什么区别？分别代表的什么意思!#糖尿病 #医学科普 ,https://www.douyin.com/video/6997645403797638408,3026,00:47,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
不要让自己的坏习惯给孩子完成危害，远离肥胖，从点滴做起，从现在开始！#肥胖 #儿童肥胖,https://www.douyin.com/video/6851947549708930318,1620,00:36,https://www.douyin.com/user/MS4wLjABAAAAo53WHma7BlCEQ9-XY3Pf_EeWcGG5NumSVoWojzGhg4fJq0bK9LSehcQYZVJ_EsyS,外科医生董星,1年前
胰岛功能怎么查 #糖尿病 ##糖尿病检查,https://www.douyin.com/video/6941272692498697508,835,00:16,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,8月前
如何了解自己的#胰岛功能 呢？,https://www.douyin.com/video/6953463600438660393,1503,00:48,https://www.douyin.com/user/MS4wLjABAAAAfcltBJ0ynVNSG5CHK4lO4dnPKVoJr4Pda3VV2oB8zmto0Cikh3uiISwygCfKU45v,内分泌科田医生,7月前
胰岛有没有正常工作？看这三点#糖尿病 #糖尿病科普,https://www.douyin.com/video/6937941792608324894,934,00:43,https://www.douyin.com/user/MS4wLjABAAAAxjl17z-31dXFiJJ9eeXPZyHrn6OvqpCoXa-cK6j3npU0p2Y4vVhqtfLgPYEkLgzJ,糖尿病专家顾耀,8月前
为什么减重手术可以降血糖。#减重手术 #糖尿病,https://www.douyin.com/video/7036295344707112199,505,00:30,https://www.douyin.com/user/MS4wLjABAAAAWQD4QrP__13V0bq9C0WqS279DEMPtocBxrFGrptb8mWkAwpiHOdtR8zELxrugPM3,医学减重专家刘雁军,1周前
#糖尿病 #胰岛素 ,https://www.douyin.com/video/6994748140427463949,655,01:41,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
引起血糖升高的原因！看一看你都知道吗！#医学科普 #涨知识 ,https://www.douyin.com/video/6995361270207646984,1092,01:01,https://www.douyin.com/user/MS4wLjABAAAAwW8_e-SwD9RavYaFrJCsBm5qInK0uT1CqnCiFHpDwR7p4P2Mt0WlPN52_TGrEJiz,黄雯,4月前
#胰腺 ，分泌功能丧失，导致#糖尿病 ，要监测#血糖 ，控制饮食增加运动，规律用#胰岛素 @抖音小助手 ,https://www.douyin.com/video/6997281962117319973,708,00:39,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,3月前
#糖尿病 #健康科普 #中医 ,https://www.douyin.com/video/7024792504776002852,6643,01:16,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
挽回胰岛功能，减轻内脏脂肪很重要#糖尿病 #糖尿病科普 ,https://www.douyin.com/video/7018067240562019616,4175,00:43,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1月前
胰岛功能下降过快怎么办#糖尿病 #胰岛功能 ,https://www.douyin.com/video/7033641245239037191,445,00:33,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,2周前
大家关注的降糖药选择问题#这个视频有点料 #医学科普 #糖尿病 @抖音小助手 @南方健康,https://www.douyin.com/video/6880099656781614340,3089,00:57,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
