标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
这些所谓“明星”降糖的食物，真有那么大用？(仅供参考)#医学科普 #健康科普 #科普健康知识 @抖音小助手 ,https://www.douyin.com/video/7017415226106727711,2521,01:57,https://www.douyin.com/user/MS4wLjABAAAAXcZZpN5MrjJZPArKpQ_dLA5MrQHJ7DQEkUwve-rzTs565fnTyFzIpYhunyFM014K,心血管赵宏伟医生,2月前
记住，国家批准干预糖前期的药物只有一个！@DOU+小助手,https://www.douyin.com/video/6851053753508826380,7366,00:51,https://www.douyin.com/user/MS4wLjABAAAAYGzkiXoanlk-DR1Wcky_7DTuqiCXir2LgZXpOh6uLB4,养生堂,1年前
这些传说中的降糖食物，真有用吗？#医学科普 #健康科普 ,https://www.douyin.com/video/7008456802287226120,1031,01:59,https://www.douyin.com/user/MS4wLjABAAAAXcZZpN5MrjJZPArKpQ_dLA5MrQHJ7DQEkUwve-rzTs565fnTyFzIpYhunyFM014K,心血管赵宏伟医生,2月前
选择对的饮食#减肥 很重要！#抖音 #肥胖 #低脂餐 #减肥逆袭 #减肥打卡 #减肥餐 #减肥食谱 #减脂,https://www.douyin.com/video/6847026212389293327,603,00:33,https://www.douyin.com/user/MS4wLjABAAAAB_AOSNvr-Kqv1CI5voPzjorpLGHScaNO4eVECLDootc,内分泌科孙医生,1年前
12月6日中国首次糖尿病生活方式医学预防逆转国际论坛。马欣教授首场。坎贝尔，巴纳德和McDOUGALL大咖云集,https://www.douyin.com/video/6902586125794217231,640,03:26,https://www.douyin.com/user/MS4wLjABAAAA-9RDtCKbgT40O0R-oBSbhHvdCKTKcYXNXcr-cYh_4kmwZUZXuU9TWXQrTTrrfyf_,马欣教授,1年前
#健康 男性有哪些智商税的产品，今天一次性给大家总结一下！,https://www.douyin.com/video/7018467108694658312,2595,00:33,https://www.douyin.com/user/MS4wLjABAAAAiTNRHL5JqR5GJ-XUGOGrp1uiL7u7YYdXGXgikiDhTZU,男科医生杨晓健,1月前
初到医院治疗要做些什么 @震洋健康  @生殖科黄医生  #健康养生 ,https://www.douyin.com/video/6982476445264219423,46,01:00,https://www.douyin.com/user/MS4wLjABAAAA3ooEO8k8aKkp8uSIaXMIKfqVUCyYpIAC8WUBJVDI-gb6yjjx_ryM7zC3w78qPNmN,生殖科刘医生,5月前
给我一分钟，把糖尿病给你聊明白！#糖尿病 #减肥 ,https://www.douyin.com/video/6999530453317258526,1.2w,01:16,https://www.douyin.com/user/MS4wLjABAAAAa93mx-QSoPe_BUkJ8v2PKWNDs1Zcu3eO_wqLZDj-vISU5bDcmNPOFG5bPodDn49p,减重外科刘少壮,3月前
#虚不受补 就不能吃补药了？#中医#科普@抖音小助手,https://www.douyin.com/video/6871124391506349325,7578,00:48,https://www.douyin.com/user/MS4wLjABAAAA3MUwYX3G1FWSEMcuGwljVBhtCc6-94YF-5Xyxz9-iHnBuBS7UMGX9Z40Qft5-VVF,烽哥食疗,1年前
不节食 不运动也能瘦的方法，了解一下#控糖 #节食 #运动 #减肥 #轻断食 #健康管理 #把健康带回家,https://www.douyin.com/video/6899763879165873408,5647,04:32,https://www.douyin.com/user/MS4wLjABAAAA6A1BZxtehIHIJXmQ2Sd96jdukLuBcI7UrLO_U3aJfTD9KzpO3BHQhaVl1S6ch5aU,TJTV百医百顺,1年前
