标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
,,343,01:44,https://www.douyin.com/user/MS4wLjABAAAATT60AziEHhQJTkHWuoUUOr-suQas6x1UX-nqWpeGLaZWRO-7JflTe5qqv0gEywaw,边波说心,11月前
口服胰岛素只是我们医学界的一个梦想，并没有实现！别再上当了！#健康真相官 #医者名片,https://www.douyin.com/video/6894911064845110536,5.5w,00:40,https://www.douyin.com/user/MS4wLjABAAAAMqsBIZGfVFDWYE-Ll7MB7Dluw-2NczQA_aChqPye0qbcMgyGbHjpyBtGL55tGJ-k,心中有术,1年前
好消息，胰岛素进入国家集采，平均降价48%  #胰岛素 #国家集采 #糖尿病 ,https://www.douyin.com/video/7034906224009301260,2.5w,00:41,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,3周前
#糖尿病 #胰岛素 未来会有的！,https://www.douyin.com/video/7015519691439344931,681,00:43,https://www.douyin.com/user/MS4wLjABAAAARz9j_M7MXa-9ouVdVcnLp-H3hy32om2DogZjnpEEqRJ8xnVzu9gpHA-6fIwRmWBf,内分泌科宋医生,2月前
事关千万患者！胰岛素国家集采来了,https://www.douyin.com/video/7034723229776350495,212,00:25,https://www.douyin.com/user/MS4wLjABAAAA9BoUj5V8BAnPRzyewUVbTcEA_OIcucBkmfDFNBqKTJY,lntv健康一身轻,3周前
胰岛素国家集采来了！中选结果稍后公布，@央视新闻 持续关注。,https://www.douyin.com/video/7034685169059515687,12.3w,00:26,https://www.douyin.com/user/MS4wLjABAAAAgq8cb7cn9ByhZbmx-XQDdRTvFzmJeBBXOUO4QflP96M,央视新闻,3周前
胰岛素是最好的降糖药吗？@抖音小助手 #胰岛素 ,https://www.douyin.com/video/7013591525389061384,1213,01:42,https://www.douyin.com/user/MS4wLjABAAAAXuNPn9gRnrwUDvMPQMBtBdj1UxwyEakrtD-W5bl9RTqXcnMJGFFtlqCYEj1bSTwe,火箭军特色医学中心,2月前
胰岛素专项集采 拟中选产品平均降价48%,https://www.douyin.com/video/7034841160950500644,1.8w,00:23,https://www.douyin.com/user/MS4wLjABAAAABjAuPf6auEmCtvGsI2TPBck_OhhcgHoeTruXjIaFYbw,新闻联播,3周前
【009期】胰岛素的“精分现场#医学科普 #科普 #涨知识 #药品 #健康科普 #药,https://www.douyin.com/video/6938648015347485952,76,02:01,https://www.douyin.com/user/MS4wLjABAAAAEtiRHLiOX6i2Xg655GodKJimNqtNu_mlkb396w_VT7M,阿纶阿纶,9月前
#糖尿病 #胰岛素 ,https://www.douyin.com/video/6994748140427463949,657,01:41,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
#安全用药 #安全用药指导 @海河药学论坛 @河豚健康 @内分泌科萌医生 @健康守护（老年病科蒋医,https://www.douyin.com/video/6872558823194823948,49,00:38,https://www.douyin.com/user/MS4wLjABAAAALr3fHKu9MfAuEAoNt5b42ulICRqkcqQ7au_QgUfyPdI,红药师,1年前
辟谣胰岛素治疗的误区：打胰岛素真的容易依赖？副作用有哪些？,https://www.douyin.com/video/7007694838086814988,76,03:29,https://www.douyin.com/user/MS4wLjABAAAAGtizHJkppgsgGdipPCVeBMcm2HgqfblySsoug0GGomM,内分泌邹显彤医生,3月前
“药效”一整天？哈哈哈哈哈～#搞笑 #医院趣事 #科普一下,https://www.douyin.com/video/7026366555298499871,228,01:47,https://www.douyin.com/user/MS4wLjABAAAA9y48oYwVwc6JaNJOVO67LST_6Is4PpDjfq2dqi_aqh2XlJrKJ_KaQpXb-AeOHCFU,湘雅常德医院,1月前
糖友用哪种药最好，这些年你可能都用错了！,https://www.douyin.com/video/6871243555835235595,1324,01:16,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
胰岛素降价了#胰岛素@DOU+小助手,https://www.douyin.com/video/7035503684083567911,4264,00:26,https://www.douyin.com/user/MS4wLjABAAAAIh4PYQ_S9jTg-G8nImuO45jgN9OPP13ESSaeADxrNMvHoIdKDc6LF3XA3P0zie72,晓光说药,3周前
降糖药的原理#医学科普,https://www.douyin.com/video/6961288460934139144,693,00:41,https://www.douyin.com/user/MS4wLjABAAAA9nByfrLLUGh50lffkRkz2aBdWqrDDfPWj7gDCecCBsYv713-ERZ6Gd36DkaDnGoi,肝病科郭朋医生,7月前
这两种#胰岛素 分别起的什么作用？#医学科普 ,https://www.douyin.com/video/7009155840561138974,4630,00:35,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
短期胰岛素强化治疗效果好，那是不是所有的糖尿病患者都可以用呢,https://www.douyin.com/video/6930446718139927821,33,04:19,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,10月前
常见口服降糖yao该怎么吃？ #健康  #糖尿病,https://www.douyin.com/video/6962054032982658311,2320,01:15,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,7月前
#胰岛素 你打对了吗#糖尿病 #健康科普 ,https://www.douyin.com/video/6991291860169952542,451,00:46,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
什么降糖方案最好？适合自身情况的方案才是最好的方案！#降血糖 #逆转糖尿病 ,https://www.douyin.com/video/6998896223721737484,4027,00:53,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,4月前
,,1958,01:00,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
胰岛素是如何降血糖的#糖尿病#科普知识,https://www.douyin.com/video/6995449744109636901,92,00:26,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,4月前
糖尿病：胰岛素强化治疗的讲解。#糖尿病 #医学科普 #高血糖,https://www.douyin.com/video/6964248860315094309,668,00:40,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,6月前
