标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
,,747,00:35,https://www.douyin.com/user/MS4wLjABAAAAPWs7Zx6DipYU6k_KUPe8P6FdgKadH7dFlXC3Y_lUG58,蓝莓医生周文胜,1年前
老人要注意这个事 #健康  #养生  #糖尿病 ,https://www.douyin.com/video/7007681388661034251,5.0w,02:58,https://www.douyin.com/user/MS4wLjABAAAAebrk8AJSBr-XKxpJPASQEgJ6IsMaT_aBOqWz7vE03tA,疼痛科张医生做科普,2月前
老人一定注意#涨知识 ,https://www.douyin.com/video/7007580553998241065,7493,02:56,https://www.douyin.com/user/MS4wLjABAAAAebrk8AJSBr-XKxpJPASQEgJ6IsMaT_aBOqWz7vE03tA,疼痛科张医生做科普,2月前
糖友打胰岛素过敏怎么办#胰岛素 #糖尿病科普 #过敏 ,https://www.douyin.com/video/7012804413899230471,1378,00:41,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,2月前
药物配酒，危险#头孢 #喝酒 #医学科普,https://www.douyin.com/video/7026641076781960488,611,00:31,https://www.douyin.com/user/MS4wLjABAAAALeu1o6qrAmy29LlMLRzM8Dw1Uux9vfTRRaHpG0s0-Gt_U4VG1q9nGyeaot_DRs8x,史老师说健康,1月前
那些吃了不能喝䲤的yao物2#南方健康,https://www.douyin.com/video/6799204265379368207,635,00:59,https://www.douyin.com/user/MS4wLjABAAAAL-dlTLym7hmm4CUcE4kxfcjR6G165ZIp3zNYqMSSOfg,血管医生王友彬,1年前
糖尿病要预防低血糖 #糖尿病  #健康  #低血糖   #糖尿病饮食   #健康养生   #养生  #降糖药 ,https://www.douyin.com/video/6986171438923304228,1.4w,04:50,https://www.douyin.com/user/MS4wLjABAAAAebrk8AJSBr-XKxpJPASQEgJ6IsMaT_aBOqWz7vE03tA,疼痛科张医生做科普,4月前
抖音：泪目！重症糖尿病狗狗命悬一线，杨院长尽全力治疗。#爱狗狗 #宠物医院,https://www.douyin.com/video/6812942606675381511,3.3w,02:18,https://www.douyin.com/user/MS4wLjABAAAATS7_Pxzt9aRL6EOcaxfm6iZ2wgDs5X8mEq7kycdqV3E,一直吸宠一直爽,1年前
胰岛YAN都是吃出来的吗 #医学科普,https://www.douyin.com/video/6939824114471308581,70,00:55,https://www.douyin.com/user/MS4wLjABAAAAIW3TC7RXrqarR0SuYAysyTIebKl9COKVH-P1nWMv8AAM6zhbiZT0qg2Ul9BwLVnV,消化内科王雪梅医生,8月前
引起休克的原因有哪些？教你如何应对休克，做出正确判断！,https://www.douyin.com/video/6893020168092405006,242,04:04,https://www.douyin.com/user/MS4wLjABAAAAYZo34twrzWfXiFHer7radd-gc4wM64yrypNnrtHBxOHF0nPsxtevvnZiLD2Rj30_,黄立坤教授,1年前
如果有医生给小孩开这几种药，请立马拒绝。#育儿 #涨知识 #知识创作人,https://www.douyin.com/video/6896762937189420300,3735,01:01,https://www.douyin.com/user/MS4wLjABAAAAgNID2W7I4QyaDdfdcHcPnOH3lp3FsvyphbyEBFzz9a4,奶爸医生黄呱呱,1年前
#医学科普 #健康 #涨知识 #医生 #科普 #休克 的##前因后果 @抖音小助手,https://www.douyin.com/video/6873128261182852366,90,00:29,https://www.douyin.com/user/MS4wLjABAAAAR44Jq9eIXT_EmUoI1sKOL9KD4JI2H4VK6tCQKblWixk,经视养生会,1年前
不明原因休克，谨防食物过敏#过敏 #休克,https://www.douyin.com/video/6835943904467111168,40,00:58,https://www.douyin.com/user/MS4wLjABAAAAo7M7Zoir3b1yiS8vQRzPgLFmHByB86xWTYKmOQeMEQ08zmQT-iz1La_5qMR1gOqM,阿甘讲过敏,1年前
通过休克可以看出我们身体的厉害，可以集中优势力量保障重要器官！#休克 #医学科普,https://www.douyin.com/video/7003301562860801319,1065,01:21,https://www.douyin.com/user/MS4wLjABAAAAuegN7OsvRBMeuusLFb0e49mQ8gZtCYjvBqjoB54a318,重症医学科曹医生,3月前
糖尿病最大的误区之一 #糖尿病 #糖尿病科普,https://www.douyin.com/video/6932753321241365767,1033,00:52,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,9月前
情急之下唯一一次帮患者签字、交押金、住院！生命攸关，救死扶伤，是我们作为医务人员的天职！#医护日常,https://www.douyin.com/video/6952820490012462372,915,04:54,https://www.douyin.com/user/MS4wLjABAAAAv1h1Vixtx_H9j_poDGKVl0sId5YYlRGuXGKVnRlVwuEnoSthP1Kr4y_rJ5B7UmF7,王慧鸽医生,7月前
严重时可引起休克的疹子#全名健康计划 @河豚健康,https://www.douyin.com/video/6830618312620215556,17,01:00,https://www.douyin.com/user/MS4wLjABAAAAdfEl8R0xSPlBEgqNjhVbdun5kmkkDX5oZO7WqSYjHQI,CLS333,1年前
这三种不一样的！一定要分清，关键时候能救命！#四川 ,https://www.douyin.com/video/7015761801845558542,1494,01:15,https://www.douyin.com/user/MS4wLjABAAAA7aAk5S-X8rdRV6VMV3J90RpCuKqi_aGMQim4xzwM8HI,神经外科赵冬冬主任,2月前
休克后医生要做的关键的第一步，分秒必争，为患者争取最大的机会！,https://www.douyin.com/video/6860071692992007438,637,00:19,https://www.douyin.com/user/MS4wLjABAAAA4DfUlyz3X6P2ZroLtHp-qydaJBhEUpqU1UGaD5WncjA,老年病专家刘超,1年前
#在抖音，记录美好生活#高以翔去世 休克急救的最佳时间仅在四到分钟@抖音小助手,https://www.douyin.com/video/6763928303423327502,3699,01:10,https://www.douyin.com/user/MS4wLjABAAAArvPc2GHZqwoXxr740BgVIkKz8pIOuul2V6ixJJnnJJRA9OTN3f0QNOFNsND69nii,暖医阿邱,2年前
