标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
胰岛素的工作方式：你多吃，胰岛素就要多分泌 #胰岛素 #高血糖 #控制饮食 ,https://www.douyin.com/video/7020440362028158219,2581,00:35,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1月前
该给胰岛分泌降降速了#糖尿病 #胰岛素 ,https://www.douyin.com/video/6982792156943584526,2154,00:28,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,5月前
#胰腺 ，分泌功能丧失，导致#糖尿病 ，要监测#血糖 ，控制饮食增加运动，规律用#胰岛素 @抖音小助手 ,https://www.douyin.com/video/6997281962117319973,708,00:39,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,3月前
经常有患者问：我餐一血糖高，餐二又会下降，波动很大，这是为什么？#糖尿病 #健康科普 ,https://www.douyin.com/video/7028087683566046495,6003,01:12,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
#误区：#糖尿病是因为#胰岛素分泌能力不好？#医学科普 #内分泌 #涨知识 #科普 #健康 @抖音小助手,https://www.douyin.com/video/6964294020675685646,29,00:52,https://www.douyin.com/user/MS4wLjABAAAABHlS0WW_8keRRuKlY1PGejf6F-fTk-67N92Xk_VbwsVywvrYYE8cc1v4skB5ByDo,范慧医生,6月前
无法控制的饥饿感，#胰岛素 过多，会加速饥饿素的分泌！#糖尿病 #减重手术 @DOU+小助手 ,https://www.douyin.com/video/6989066216040074533,255,00:34,https://www.douyin.com/user/MS4wLjABAAAAn44NR08H4969FJehEqPL-hBzOSI1xovT1ObQ-WEvumfTMYJvQAYMWLZY0NvWXPdd,胃肠外科王志凯,4月前
胰岛有没有正常工作？看这三点#糖尿病 #糖尿病科普,https://www.douyin.com/video/6937941792608324894,934,00:43,https://www.douyin.com/user/MS4wLjABAAAAxjl17z-31dXFiJJ9eeXPZyHrn6OvqpCoXa-cK6j3npU0p2Y4vVhqtfLgPYEkLgzJ,糖尿病专家顾耀,8月前
为什么有些糖尿病患者去医院检查显现胰岛分泌比较多#减重手术 #健康 #糖尿病 #胰岛 ,https://www.douyin.com/video/7005460806619942175,575,00:59,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,3月前
#糖尿病 #医学科普 ,https://www.douyin.com/video/6998825168206351647,2452,00:50,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
#知识能量站 空腹9.8，餐后5.5是什么情况？,https://www.douyin.com/video/6945296709828283687,2853,00:37,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,8月前
人体正常胰岛素是如何分泌的？#糖尿病 #一分钟小课堂 #健康,https://www.douyin.com/video/6888507195286228227,34,01:19,https://www.douyin.com/user/MS4wLjABAAAAssKQjyvr1vq8f_9s3l4GntLc9rAmPq4nAiB_UbPUHd7a50FW49D6Dn5otHPY7Js5,内分泌凌云,1年前
