标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
#胰岛素抵抗 了怎么办?#减肥 #身体激素 ,https://www.douyin.com/video/7025444749964250382,2520,00:52,https://www.douyin.com/user/MS4wLjABAAAAtR1VByr38eMGQiWv-7e1tnX5sI9FIXcaMFH8KspuTq5lrTlp9kMpcn4zH9s7N9RS,肥胖与代谢科李辉主任（直播中）,1月前
胰岛素抵抗是怎么一回事？#糖尿病 #医生科普 #胰岛素抵抗 #上海创作者联盟计划,https://www.douyin.com/video/6897874392001301774,2.0w,00:49,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
#胰岛素抵抗 #肥胖 ,https://www.douyin.com/video/7006246255290486053,5689,01:01,https://www.douyin.com/user/MS4wLjABAAAAtR1VByr38eMGQiWv-7e1tnX5sI9FIXcaMFH8KspuTq5lrTlp9kMpcn4zH9s7N9RS,肥胖与代谢科李辉主任（直播中）,3月前
什么是胰岛素抵抗,https://www.douyin.com/video/6981727874092944653,1071,01:00,https://www.douyin.com/user/MS4wLjABAAAApICR1eiTZW23OhnRkC-NK3aX_7MjfIsILuyREW9Cy1A,刘湘源医生,5月前
胰岛素抵抗的危害，如何减轻胰岛素抵抗？#糖尿病 #医学科普 #胰岛素抵抗 ,https://www.douyin.com/video/6995845068649155871,754,00:43,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,3月前
"#减脂 密码,你解锁过了吗?#胰岛素#胰岛素抵抗 #抖音涨知识 ",https://www.douyin.com/video/7031437071818542343,3.6w,02:16,https://www.douyin.com/user/MS4wLjABAAAAtR1VByr38eMGQiWv-7e1tnX5sI9FIXcaMFH8KspuTq5lrTlp9kMpcn4zH9s7N9RS,肥胖与代谢科李辉主任（直播中）,3周前
有没有经常听到胰岛素抵抗？什么是胰岛素抵抗？徐东升医生为你解答！#涨知识 #医学科普 #减脂,https://www.douyin.com/video/6937480835566144776,534,00:58,https://www.douyin.com/user/MS4wLjABAAAAqfHkuBx3PzTA_hVwBg0Gl2t9UHcc4Z0TRttQMMIx_JA,减重专家徐东升医生,9月前
有胰岛素抵抗该怎么办呢？#医学科普 @抖音健康,https://www.douyin.com/video/6938723461040835854,1232,00:48,https://www.douyin.com/user/MS4wLjABAAAAhLBt7i6yxmTC2vJwd8Er78gtomzIAFrhKIYynlTW25w,内分泌科付留俊,9月前
什么是胰岛素抵抗#糖尿病 ,https://www.douyin.com/video/6986448020443319559,3579,00:28,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,4月前
胰岛素抵抗？这六点可以缓解 #糖尿病 #胰岛素抵抗 #医学科普,https://www.douyin.com/video/6899024636445576461,3378,00:39,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
