标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
#李焱主任 哪些人适合用胰岛素泵#糖尿病 #胰岛素 #医学科普 ,https://www.douyin.com/video/7003928991149149447,771,01:23,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,3月前
“针”好还是“泵“好 #医学科普  #糖尿病  #胰岛素泵,https://www.douyin.com/video/6950139725277711623,203,00:31,https://www.douyin.com/user/MS4wLjABAAAA20a8eu8hRLioFdgrA5h1JXcKHa0fmu_z08ZRlFyxLxA,大庆油田总医院,8月前
抗糖路上爱相伴第3弹：如何安装胰岛素泵？如何调整输注剂量？#糠尿病 #胰岛素#高血糖 @健康中国 @抖音小助手,https://www.douyin.com/video/6739810237756296460,4751,00:55,https://www.douyin.com/user/MS4wLjABAAAAjaI2Ey-Awxe0-psaQk-SghG5ugO_V6PJX6Jaog5084E,壹生,2年前
抗糖路上爱相伴第4弹：糖尿病患者洗澡时，如何暂停及恢复胰岛素泵使用？#胰岛素 #高血糖@抖音小助手 @健康中国,https://www.douyin.com/video/6740183775327571211,399,00:59,https://www.douyin.com/user/MS4wLjABAAAAjaI2Ey-Awxe0-psaQk-SghG5ugO_V6PJX6Jaog5084E,壹生,2年前
抗糖路上爱相伴第2弹：什么是胰岛素泵？有何用途？哪种患者适合使用？#胰岛素 #胰岛素 @健康中国 @抖音小助手,https://www.douyin.com/video/6739435299375418635,298,00:40,https://www.douyin.com/user/MS4wLjABAAAAjaI2Ey-Awxe0-psaQk-SghG5ugO_V6PJX6Jaog5084E,壹生,2年前
#甜蜜日记第九集：神奇的胰岛素泵~看科普动画学控糖知识,https://www.douyin.com/video/6976912665130044679,35,05:16,https://www.douyin.com/user/MS4wLjABAAAAV5YsxhzEwLmy8fBAWwNXd4UreDtmLrlXETTg3pLKH0s,中南大学湘雅二医院,5月前
让我们揭开胰岛素泵的神秘面纱！它可是糖尿病患者控制高血糖，预防并发症的有力武器哦！（第18篇）#糖尿b科普,https://www.douyin.com/video/6938235070129917198,19,01:02,https://www.douyin.com/user/MS4wLjABAAAA3S8UcL0r0Gsp_xwVzayaM4y2Yz5oY7s9haYlN8BZCeMP4GbWsQHpinyJd-gBoXA0,铜陵市第五人民医院,9月前
#糖尿病百“课”43：胰岛素泵相关知识（上）,https://www.douyin.com/video/6941303816188906765,42,03:27,https://www.douyin.com/user/MS4wLjABAAAA9rFlIQ42Kn4fFqo7jVsYOR-E21OBX9mxf5i122PJLxjWOIECooWsrcpM-t50aBXH,SMA掌健识,8月前
,,92,00:29,https://www.douyin.com/user/MS4wLjABAAAA4PfkUmq5yRiXDQYwzxE4eXjLIAmDSjiRJ9q-JY8D_QA,黄龙县人民医院,1年前
降糖治疗的理想选择,https://www.douyin.com/video/6903882934688730382,9000,01:00,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
Ⅰ型糖尿病患者朋友们应该用什么药治疗呢#医学科普 #糖尿病 #健康科普 @抖音小助手 @DOU+小助手 ,https://www.douyin.com/video/6982846506537602318,19,00:41,https://www.douyin.com/user/MS4wLjABAAAAZEj2oIn0Wj3toB2W-7U7UrJtbqTCXDagqNGzSKkoq08,中医内分泌专家杨波医生,5月前
她这是胰岛素抵抗#知识创作人 #医者名片 #糖尿病 @南方健康 @抖音小助手,https://www.douyin.com/video/6895289690736381188,742,00:57,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
#糖尿症 “防控糖尿病，保护您的家庭”——11月14日世界糖尿病日。,https://www.douyin.com/video/6758963497431796999,15,00:55,https://www.douyin.com/user/MS4wLjABAAAAMiluzWAEOL9o81r1VbrIAMvTXx9G4M-8d4cWZtX4BK8,暨南大学附属顺德医院,2年前
#糖友日常 血糖忽高忽低，有哪些危害您知道吗？听李医生分享这3个技巧#医生科普 #糖尿病 ,https://www.douyin.com/video/6983528877654052109,719,01:10,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,5月前
