标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
胰岛素笔的规范注射看这里！,https://www.douyin.com/video/6837319046489312520,1.2w,01:48,https://www.douyin.com/user/MS4wLjABAAAA-_5GTo5P9B4T6Bz-kKCdABtdeWImZqjLxPHyxRONdKc,台州市第一人民医院护理部,1年前
#创作灵感糖友们，胰岛素注射笔是这样排出空气的，太简单快学起来#医学科普 #健康 #糖尿病 #高血糖 #糖友,https://www.douyin.com/video/6903455659761618184,6117,00:17,https://www.douyin.com/user/MS4wLjABAAAA58O4Nq1BM9hdc7efOVl6n3HyYud3kyLu2_jzro_YSVg,北京市昌平区天通苑中医医院,1年前
#糖尿病百“课”16：怎么选择适合自己的胰岛素工具,https://www.douyin.com/video/6885880581343759624,36,06:05,https://www.douyin.com/user/MS4wLjABAAAA9rFlIQ42Kn4fFqo7jVsYOR-E21OBX9mxf5i122PJLxjWOIECooWsrcpM-t50aBXH,SMA掌健识,1年前
护士教您如何正确进行胰岛素注射。,https://www.douyin.com/video/6897833678576110860,87,00:56,https://www.douyin.com/user/MS4wLjABAAAANG4I9xeLyXZgn6jiC_73ziJzx-7uacydSlw8EZTEl4M,四平市中心人民医院,1年前
莱阳市人民医院内分泌科教您“胰岛素笔的正确安装方法”（中）,https://www.douyin.com/video/6806548264683326733,47,00:39,https://www.douyin.com/user/MS4wLjABAAAAnF-furHIIzwTlKrIfapI2g41ffGF3WJh5dZh_lvhXEo,莱阳市人民医院,1年前
#创作灵感 胰岛素怎么打？针头和握笔姿势都有哪些讲究？#糖友 #医学科普 #糖尿病 #护士,https://www.douyin.com/video/6903841022879485197,1.4w,00:52,https://www.douyin.com/user/MS4wLjABAAAA58O4Nq1BM9hdc7efOVl6n3HyYud3kyLu2_jzro_YSVg,北京市昌平区天通苑中医医院,1年前
糖尿病患者如何选购胰岛素注射针头#糖尿病 #胰岛素 @DOU+小助手,https://www.douyin.com/video/6828472933023796483,87,02:13,https://www.douyin.com/user/MS4wLjABAAAATz-O38ECbX5IjZ8fdaQ5CDI586iAzzlJj0WFNXv-jDp31Kyvf3aK2BOq-VK0UDHh,北京中医药大学东方医院,1年前
#糖尿病百“课”43：胰岛素泵相关知识（上）,https://www.douyin.com/video/6941303816188906765,42,03:27,https://www.douyin.com/user/MS4wLjABAAAA9rFlIQ42Kn4fFqo7jVsYOR-E21OBX9mxf5i122PJLxjWOIECooWsrcpM-t50aBXH,SMA掌健识,8月前
#创作灵感 糖友们，如何正确注射胰岛素？护士告诉你正确操作流程#糖尿病 #糖友 #高血糖 #胰岛素 #医学科普,https://www.douyin.com/video/6903079359817469192,883,00:34,https://www.douyin.com/user/MS4wLjABAAAA58O4Nq1BM9hdc7efOVl6n3HyYud3kyLu2_jzro_YSVg,北京市昌平区天通苑中医医院,1年前
进博会展品抢先看！世界最短胰岛素注射针头，痛感就像蚊子叮一下... #进博会发布,https://www.douyin.com/video/6753832801419791624,1060,00:53,https://www.douyin.com/user/MS4wLjABAAAAt6AsGhjrHeoxZNkceYg2J0FWvrWKzEaTAvF44-sPYco,央视财经,2年前
胰岛素注射的6个注意事项#李焱主任 #糖尿病 #胰岛素,https://www.douyin.com/video/7011018986787785997,3745,01:52,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,2月前
胰岛素针头不能重复使用，你有没有做到一次一换？#胰岛素注射 #胰岛素针头 ,https://www.douyin.com/video/6988743341299059972,3355,00:52,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,4月前
,,119,00:55,https://www.douyin.com/user/MS4wLjABAAAAa34DLqerlr-pn-3itneOM10VRpRmaTuIZtVC90k5Bto,苏州科技城医院,2年前
千万别重复使用胰岛素针头，真的不省钱！,https://www.douyin.com/video/6828738463815224588,60,04:24,https://www.douyin.com/user/MS4wLjABAAAA2k_FSVSmJwNu2iXBJ_VhdTevxU_DjP6tvg673_aFrwU,四川绵阳四0四医院,1年前
胰岛素针头要求注射一次更换一次#我的白大褂  #胰岛素注射,https://www.douyin.com/video/6914538474553003278,27,03:35,https://www.douyin.com/user/MS4wLjABAAAAsRPT6herJ9dFHDgA1V8byBJQgzm78h63l_4-GxlGals,保健时报,11月前
胰岛素注射要注意方法，不规范注射容易造成皮下硬结  #胰岛素  #胰岛素注射  #打胰岛素,https://www.douyin.com/video/6943457848521198855,1.6w,00:40,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,8月前
胰岛素针头可以重复使用吗？#胰岛素 #糖尿病科普,https://www.douyin.com/video/6894523427294678286,18,00:10,https://www.douyin.com/user/MS4wLjABAAAANef80OWT_yE-diQjs-P_S77KSAu14qmujDddKxj369U,药师小王已上线,1年前
,,751,00:35,https://www.douyin.com/user/MS4wLjABAAAAPWs7Zx6DipYU6k_KUPe8P6FdgKadH7dFlXC3Y_lUG58,蓝莓医生周文胜,1年前
#老人重复使用胰岛素#老人重复使用胰岛素针头 致血糖飙升3倍腹部长包,https://www.douyin.com/video/6990590028414078221,233,00:10,https://www.douyin.com/user/MS4wLjABAAAAwcT1iBxeMl7SIbqintMjqsUtpgaduKEN0OftGxU_DLM,法治网,4月前
#医学科普 #糖尿病 ,https://www.douyin.com/video/6994704334772620574,1265,01:28,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,4月前
胰岛素携带小窍门#糖尿病#胰岛素#携带 #高血糖,https://www.douyin.com/video/6972073958204017950,81,00:54,https://www.douyin.com/user/MS4wLjABAAAAVcYDJrxoGkETihvlNkGl96Oj4R83SyMMshA8bSwUjP8,内分泌科医生-刘丹锋,6月前
儿童怕打针害怕针头怎么办？首批儿童专用无针注射器获批！#健康科普 #儿童健康 #知识创作人,https://www.douyin.com/video/6998117957528194344,420,01:00,https://www.douyin.com/user/MS4wLjABAAAALSsI6ExKHdv5sI3cDVY3DGHyd4YHLr2K2s3m2TaIQcU,大城小医,3月前
,,92,00:29,https://www.douyin.com/user/MS4wLjABAAAA4PfkUmq5yRiXDQYwzxE4eXjLIAmDSjiRJ9q-JY8D_QA,黄龙县人民医院,1年前
#创作灵感 胰岛素注射在哪个部位最常见？你知道怎么找吗？#糖友 #糖尿病 #胰岛素 #医学科普 @抖音小助手,https://www.douyin.com/video/6915295888147614984,6863,00:52,https://www.douyin.com/user/MS4wLjABAAAA58O4Nq1BM9hdc7efOVl6n3HyYud3kyLu2_jzro_YSVg,北京市昌平区天通苑中医医院,11月前
无针注射器上市，孩子们的福音来了#关爱儿童健康 ,https://www.douyin.com/video/7003639224801004836,3142,00:47,https://www.douyin.com/user/MS4wLjABAAAAPkoc3FJwfylE63jjRr8mF6Rw-TTnqrON4UUJ-82-YInZovMOYPMffmocO95xstH8,胡医生助长高（今晚不直播）,3月前
,,10,00:48,https://www.douyin.com/user/MS4wLjABAAAAtfYU_zmtcCKPvtc7lKkpYgrG8Tl1R7iZCU51oJaT9VI,弓长钥匙,1年前
如何使用果纳芬笔？ #果纳芬  #促排  #试管促排  #试管之路,https://www.douyin.com/video/6835880615036865795,1355,01:06,https://www.douyin.com/user/MS4wLjABAAAAfVUVn1fXh1NcMMbuYjEc14TVmDxn219Y4Wg4DaTNEgRck9W2iLQ_i8Ll2OIBRUnF,中山大学附属第六医院生殖中心,1年前
【一周健康】糖尿病患者注意！我国发布首个《糖尿病患者胰岛素无针注射操作指引》,https://www.douyin.com/video/6858768618604285199,6,01:10,https://www.douyin.com/user/MS4wLjABAAAAEu0aX8n8fCzi8ac375yBz71RSVCUWYOy0Z8ALL9CfiY,健康咨询报,1年前
儿童药物将无针注射！这则消息，是多少孩子的福音！！！再也不用怕打针了。#无针注射 #育儿 #热门 @抖音小助手 ,https://www.douyin.com/video/6998044258875886862,2007,00:39,https://www.douyin.com/user/MS4wLjABAAAA5Ud62FyJvY6TYbUNHR9E_5cRu9DSmuGEUWk7uKmmqAcO8gSMBaUIJkg-qil0-zyQ,儿科洪淳,3月前
如何注射促排卵药普丽康笔？ #促排  #普丽康  #试管妈妈,https://www.douyin.com/video/6822046356253740291,2685,01:43,https://www.douyin.com/user/MS4wLjABAAAAfVUVn1fXh1NcMMbuYjEc14TVmDxn219Y4Wg4DaTNEgRck9W2iLQ_i8Ll2OIBRUnF,中山大学附属第六医院生殖中心,1年前
幸好是认错人了，赶紧溜了溜了，怕被扎#护士 #护士小姐姐 #小护士的日常 @抖音小助手,https://www.douyin.com/video/6926349055127735564,2545,00:13,https://www.douyin.com/user/MS4wLjABAAAAZ_7g6yOc5TD8VatxWf1Um61IGYGEvaI_XlU39jJ5Ypw,山东大学第二医院,10月前
#糖尿病 #涨知识 #高血糖   不换枕头的危害@抖音小助手 @DOU+小助手,https://www.douyin.com/video/6945771946126724382,8,00:53,https://www.douyin.com/user/MS4wLjABAAAAQrhL9M_3uAGwdmxCUGhKfYkZgEHR4ImaAYBb2RZ93Bo,周雁医生,8月前
孩子们的福利来了，无针注射器，以后妈妈再也不要担心我打针了#无针注射器 #育儿,https://www.douyin.com/video/7027057520896167171,4127,00:53,https://www.douyin.com/user/MS4wLjABAAAAgNID2W7I4QyaDdfdcHcPnOH3lp3FsvyphbyEBFzz9a4,奶爸医生黄呱呱,1月前
#糖尿病 #胰岛素 使用胰岛素治疗，有什么副作用,https://www.douyin.com/video/6886741510759484685,3215,00:28,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
为什么要做减胰治疗 #糖尿病 #1型糖尿病 ,https://www.douyin.com/video/6981629328920497421,1306,00:41,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,5月前
儿童药物启用无针注射 ！生长激素首先获批：消除恐针心理避免刺伤（素材来源：星视频、北京电视台）@抖音小助手,https://www.douyin.com/video/6997599085473697057,1231,00:36,https://www.douyin.com/user/MS4wLjABAAAAObLdbYYOUIT671uIvJQc2AnwuKO3WawgbljgxtwMiMQ,北京发布,3月前
#知识科普 #涨知识 #安全变美 ,https://www.douyin.com/video/7020006570276834596,1.9w,00:18,https://www.douyin.com/user/MS4wLjABAAAA2fIHJWVwMrJ2_yjXGjF5gZNBUggrKYIYYwyt3VEMV_BYX20ZvZWA3I4IBJsbbuw_,整形学院派,1月前
#糖尿病 #控糖 #急诊室故事 @辟屁谣 @认真健康 糖友朋友们要注意饮食，控糖莫盲目,https://www.douyin.com/video/6834699902988143884,3546,00:34,https://www.douyin.com/user/MS4wLjABAAAAQt1fySPka0QGqbOLu7F_a5RZeE8AokqEtKHeJvKNkeY5n2x3X3xw41v392pvHYyw,急诊室涛哥,1年前
打针“几乎无痛”！荷兰研发无针头无痛注射技术,https://www.douyin.com/video/7019559224552344846,1003,00:39,https://www.douyin.com/user/MS4wLjABAAAAt6AsGhjrHeoxZNkceYg2J0FWvrWKzEaTAvF44-sPYco,央视财经,1月前
#糖友什么情况下，必须要使用胰岛素 #糖尿病科普  @康糖厨房  #控糖,https://www.douyin.com/video/6907956310919171332,2012,00:27,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,11月前
注意糖尿病足的筛查#糖尿病足 #糖尿病,https://www.douyin.com/video/6943886802726030623,2684,00:42,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,8月前
为什么打针要打在屁股上呢？#打针 #医学科普 #知识点 #涨知识 @抖音小助手 ,https://www.douyin.com/video/7017027188587269383,2231,01:21,https://www.douyin.com/user/MS4wLjABAAAAc03KROjmyR3OZF5URgDpHnyotmz8PNjG6XoFhoGe7e4,林国乐医生,2月前
