标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
#李焱主任 这几个因素会导致胰岛素缺乏#糖尿病 #胰岛素 ,https://www.douyin.com/video/6989813239332736269,3572,01:17,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,5月前
什么是胰岛素抵抗、胰岛素缺乏？ #胰岛素抵抗  #胰岛素  #全民健康计划  @河豚健康,https://www.douyin.com/video/6880206992841903367,1441,00:34,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
#糖尿病 #医学科普 ,https://www.douyin.com/video/6998825168206351647,2460,00:50,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
糖尿病患者很瘦，有什么办法能长胖一点儿？#糖尿病 #糖尿病饮食 ,https://www.douyin.com/video/7014294753277693214,1262,02:07,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,3月前
#李焱主任 是不是不吃糖的人就不容易得糖尿病#糖尿病 #医学科普 ,https://www.douyin.com/video/6987215002537184525,3704,00:31,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,5月前
身体少了什么会得糖尿病 2种情况常见#健康科普 #医生 #健康养生,https://www.douyin.com/video/6949703361981680904,1116,00:40,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,9月前
#李焱主任 六个让你血糖居高不下的原因#糖尿病 #高血糖 ,https://www.douyin.com/video/6990180102420122917,1972,00:48,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,5月前
#1型糖尿病 多见于青少年患者，不打#胰岛素 是不可以的#糖尿病科普,https://www.douyin.com/video/6932423973737090304,1423,00:35,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,10月前
 胰岛素抵抗维生素d缺乏都会导致反复发作！#女性健康 #健康男性 #补充维生素 #胰岛素抵抗 ,https://www.douyin.com/video/7024383444008389902,136,00:56,https://www.douyin.com/user/MS4wLjABAAAAJ98xu14ZcZIP05u-D4FlkmVEsxURU8wkdWAxXvxI2HY,优生宝宝李媛说,2月前
为什么一型糖尿病可能会消瘦二型糖尿病可能会肥胖呢？#健康 #科普 #涨知识 #糖尿病 @抖音小助手 @抖音热点 ,https://www.douyin.com/video/6995463021866814733,51,00:56,https://www.douyin.com/user/MS4wLjABAAAABaZejiHXFI9ZGM_thNkOmh9EsWiOm0SFwbGRAftJ8I_Bam_H8GGs4EJzgxCWwgZc,中医钟博士,5月前
没有#三多一少 就不会得#糖尿病 吗？,https://www.douyin.com/video/6954225103760608546,477,00:36,https://www.douyin.com/user/MS4wLjABAAAAfcltBJ0ynVNSG5CHK4lO4dnPKVoJr4Pda3VV2oB8zmto0Cikh3uiISwygCfKU45v,内分泌科田医生,8月前
#李焱主任为什么Ⅰ型糖尿病会消瘦，Ⅱ型糖尿病常常肥胖#糖尿病 #医学科普 ,https://www.douyin.com/video/6989451397427203359,1.0w,00:51,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,5月前
1型糖尿病，胰岛素失效了怎么办？#医学科普 #糖尿病#糖尿病肾病@DOU+小助手,https://www.douyin.com/video/7027427690026175755,363,01:21,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2月前
糖尿病科普 #医学科普  #白衣天使  #蒙医医院  @阿拉善发布,https://www.douyin.com/video/6894445973116914952,23,01:09,https://www.douyin.com/user/MS4wLjABAAAA2sJ608belqsAtiLe2NMNoAVJtLhYN_TwkGFhaps8Io2rgT8sHpR98Kn6OZH38x7r,阿拉善盟蒙医医院,1年前
#李焱主任 2型糖尿病偏瘦的几个原因#糖尿病 #糖友 ,https://www.douyin.com/video/7005768651026631972,2442,00:46,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,4月前
#糖尿病前期可以自愈吗？#健康科普 #四川 ,https://www.douyin.com/video/7052943675952729380,371,00:57,https://www.douyin.com/user/MS4wLjABAAAABaZejiHXFI9ZGM_thNkOmh9EsWiOm0SFwbGRAftJ8I_Bam_H8GGs4EJzgxCWwgZc,中医钟博士,23小时前
青少年也能得#糖尿病 ？#健康 #健康大问诊 #青少年,https://www.douyin.com/video/6849624661362298127,23,00:51,https://www.douyin.com/user/MS4wLjABAAAAyk4wGC26aYiSuBCSAbnlfFKzQhlISLidbDzfjk82zZY,健康大问诊,1年前
广州29岁女子喝奶茶住进ICU，这些情况要警惕！#医学科普#健康#健康科普#29岁女生被诊断为爆发型糖尿病 ,https://www.douyin.com/video/6997352334615465252,2.7w,01:16,https://www.douyin.com/user/MS4wLjABAAAArpWodT3Pj5GRZkmJREQ9oT3EBk5nbGsIu80t-J854EU,医路向前巍子,4月前
《胰岛素罢工记》后续，为什么糖尿病会找上你。#糖尿病 #中医,https://www.douyin.com/video/6920161697101581581,275,00:37,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,11月前
