标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
#dou出新知 小小胰腺，但很重要！ #健康   #肝胆胰腺@抖音小助手,https://www.douyin.com/video/6841882526416506125,11.5w,02:02,https://www.douyin.com/user/MS4wLjABAAAAyPjjwoHgnMQEctmmnlEKUR4NKqKVSNTVirrHPN49GmSww8cng8iAIiewm6999K4Y,泽桥科普,1年前
如此凶残的胰腺癌，到底藏在身体的哪个角落？#健康 #胰腺 #健康科普 ,https://www.douyin.com/video/6982109193880866078,3.1w,00:45,https://www.douyin.com/user/MS4wLjABAAAAinT4yIToJ4uxYWza15SwlrbRrFL4aitAnsezC2He-BnLYdbQ9VmFfQXtNILdOU1E,肿瘤介入科刘玉金,5月前
一经发现往往是晚期，为什么#胰腺癌被称为#癌中之王 !看完转给重要的Ta#健康科普 ,https://www.douyin.com/video/6989573048907074824,6.8w,00:52,https://www.douyin.com/user/MS4wLjABAAAAGf-6jYJtqcYrA5vOZXXDULP-P1Bgah5uWoudqgd-lZBUfE8G6BqX9zPUIUZ0kOGj,暖胃大叔田艳涛主任,4月前
急性胰腺Y不过是炎症，为何会有致M性#胰腺炎 #医学科普,https://www.douyin.com/video/6970223441584639268,9.2w,01:14,https://www.douyin.com/user/MS4wLjABAAAAvTOOvDVDpg5NCmP01erqVqSDldwdvoNwlhVDrH9F2yw,费健,6月前
胰腺小课堂：胰腺很重要！大家要重视！#医学科普 #健康 ,https://www.douyin.com/video/6999951497689566472,631,01:32,https://www.douyin.com/user/MS4wLjABAAAAp1xknEWKy83hRpOfjCC2bE0WlpmbqWsvPDlFOv9Qf7TVNLIloTx5rpttycosgrD5,蒋奎荣讲胰腺,3月前
带你秒懂胰腺内分泌和外分泌功能##医学科普 #科普健康知识 #肿瘤 #健康 #健康科普 ,https://www.douyin.com/video/7012911956487179550,559,00:51,https://www.douyin.com/user/MS4wLjABAAAAinT4yIToJ4uxYWza15SwlrbRrFL4aitAnsezC2He-BnLYdbQ9VmFfQXtNILdOU1E,肿瘤介入科刘玉金,2月前
胰腺癌来了，多有4种迹象#医学科普 #胰腺 #健康科普 ,https://www.douyin.com/video/7025472202619325704,1281,00:47,https://www.douyin.com/user/MS4wLjABAAAAinT4yIToJ4uxYWza15SwlrbRrFL4aitAnsezC2He-BnLYdbQ9VmFfQXtNILdOU1E,肿瘤介入科刘玉金,1月前
体检加上这两项，规避癌中之王#胰腺#健康科普 #dou上热门 @抖音小助手 ,https://www.douyin.com/video/6984068847661894942,3.4w,01:04,https://www.douyin.com/user/MS4wLjABAAAAyaH3J1jtkFZUe-H5M5YQaEzPzky4msHCWp3mMpL0-wxrKfbZLdQeLl-2DQjTtbz_,外科教授李惠东,4月前
#中医 #医学科普 #我的门诊故事 ,https://www.douyin.com/video/7025807236643507488,3046,00:45,https://www.douyin.com/user/MS4wLjABAAAAPOsHx2GIQ7J_WW1wI90LRiTdxmowS7JU7U06PGbq4fLFCnd6jPWF8B7Zd1gfenPh,熊露医生,1月前
胰腺极其擅长伪装！常规检查根本查不出而误Z，到发现为时已晚！,https://www.douyin.com/video/6990270917662297375,3.5w,02:50,https://www.douyin.com/user/MS4wLjABAAAAvTOOvDVDpg5NCmP01erqVqSDldwdvoNwlhVDrH9F2yw,费健,4月前
惹恼凶残胰腺的因素有哪些，你知道吗？#胰腺炎@抖音小助手,https://www.douyin.com/video/6840713460288933128,5700,01:00,https://www.douyin.com/user/MS4wLjABAAAAblHDQVv7xTIQG1CjWW3eyPYbunlyLj6G15ry0bJrK9uU5YQKnm3trymJazeTvj6L,木愚医生,1年前
#急性胰腺炎 #高文斌教授   急性胰腺炎可不是普通的炎症！提前预防很关键,https://www.douyin.com/video/6903511645465611524,5736,00:58,https://www.douyin.com/user/MS4wLjABAAAA0YYUVgoXmgufnaMmQ7r1Yy-UdzQiIZ-03q3VEZLn-0YrXFSVjrNWy4eIWBVIRjO0,高文斌教授,1年前
#胰腺炎 为什么这么可怕？费医生给你打个比方！#医学科普 #胰腺 ,https://www.douyin.com/video/7036288831494032653,3844,00:36,https://www.douyin.com/user/MS4wLjABAAAAvTOOvDVDpg5NCmP01erqVqSDldwdvoNwlhVDrH9F2yw,费健,1周前
得罪不起的#胰腺 ，三个小妙招。多听几遍，必要的时候做笔记#医学科普 #健康科普 #涨知识,https://www.douyin.com/video/6992163234769816870,446,01:06,https://www.douyin.com/user/MS4wLjABAAAAjUuWau_l3GtSDo_Z00b50uYqgSMfZVh-aObCHzWPS38pMmIbpA1dHXV5ooC5CfLr,李亮医言良语,4月前
吃出来的#胰腺炎 这些问题必须警惕！看完转给重要的Ta#健康科普 ,https://www.douyin.com/video/6989557420657757448,8485,00:57,https://www.douyin.com/user/MS4wLjABAAAAGf-6jYJtqcYrA5vOZXXDULP-P1Bgah5uWoudqgd-lZBUfE8G6BqX9zPUIUZ0kOGj,暖胃大叔田艳涛主任,4月前
#癌症 #肿瘤 #健康dou起来 ,https://www.douyin.com/video/6983966736617901349,6801,00:35,https://www.douyin.com/user/MS4wLjABAAAA7HbtEKEeObmsuw1JvDb-yDC5xU1cFv193smHB31gMzSeBFSIy7WwPj-OGmY4TYEk,左明焕,4月前
凶险万分的胰腺癌，到底藏在身体哪个角落？#健康 #胰腺 #健康科普 ,https://www.douyin.com/video/6984695135216880903,369,00:59,https://www.douyin.com/user/MS4wLjABAAAA0v8x0IRw2V8V8g1Nkd798l6r_5gbNiZrZ4E6DnWzaJw,肝胆外科医生刘达人,4月前
疼痛是早期发现疾病的一个重要因素，超过这个期限一定要去医院做检查#健康 #疼痛 ,https://www.douyin.com/video/7035053157830970655,5945,00:52,https://www.douyin.com/user/MS4wLjABAAAAfWpj9FtcgE4SZoUkIjx9QWerIi6VvYN8DtizPCUREyFo8EzgaGKBjXfdMNhs_xQA,大医健康,2周前
胰腺癌有多凶残？#健康知识 ,https://www.douyin.com/video/7004093305738874123,6.0w,00:45,https://www.douyin.com/user/MS4wLjABAAAANpVIjELwfZ_wk8ocGTvrw-ohgBkgRtkuw9MgxnIer2HIsqiWhFljhlJBr4ll5PY6,肿瘤科医生陈志坚,3月前
#体检加上这两项，及早发现#癌中之王踪迹，看完记得转发给重要的Ta#医学科普,https://www.douyin.com/video/6959828711843646759,10.3w,00:41,https://www.douyin.com/user/MS4wLjABAAAAGf-6jYJtqcYrA5vOZXXDULP-P1Bgah5uWoudqgd-lZBUfE8G6BqX9zPUIUZ0kOGj,暖胃大叔田艳涛主任,7月前
#胰腺 #医学科普 ,https://www.douyin.com/video/7000254684841725192,224,01:09,https://www.douyin.com/user/MS4wLjABAAAAvtqZQoh09CXUOtnMotwM1WQu6_qnon1MLW2pEEsgjLD2eb9e-lcBRghA8sCGDVEi,中山一院教授张诗军,3月前
#胰腺癌 #健康 #健康科普 ,https://www.douyin.com/video/6989775097330470152,343,00:37,https://www.douyin.com/user/MS4wLjABAAAA7HbtEKEeObmsuw1JvDb-yDC5xU1cFv193smHB31gMzSeBFSIy7WwPj-OGmY4TYEk,左明焕,4月前
胰腺是个很特别的器官，好好照顾它。#健康 #医学科普 #胰腺炎 ,https://www.douyin.com/video/7037041362675584287,898,01:04,https://www.douyin.com/user/MS4wLjABAAAA0v8x0IRw2V8V8g1Nkd798l6r_5gbNiZrZ4E6DnWzaJw,肝胆外科医生刘达人,1周前
早期胰腺癌，可能会有这些表现。#肿瘤 #胰腺 #dou出新知 @抖音小助手 ,https://www.douyin.com/video/7024421220800154910,8566,00:39,https://www.douyin.com/user/MS4wLjABAAAANpVIjELwfZ_wk8ocGTvrw-ohgBkgRtkuw9MgxnIer2HIsqiWhFljhlJBr4ll5PY6,肿瘤科医生陈志坚,1月前
惹乐这个消化器官，它疼起来可真受不了#胰腺 #消化系统 #健康,https://www.douyin.com/video/6935366738120854798,1089,00:48,https://www.douyin.com/user/MS4wLjABAAAAAJWNeUiT0JQb9QC8E-DzQmWHPC0bCzMN52w2hvY4ymN_vXIhqVsrhCCtyYk0C0tW,珠江医院王新颖大夫,9月前
胃病？还是胰腺癌！#医学科普 #胰腺癌晚期 ,https://www.douyin.com/video/7008096951228976414,1.7w,00:23,https://www.douyin.com/user/MS4wLjABAAAAp1xknEWKy83hRpOfjCC2bE0WlpmbqWsvPDlFOv9Qf7TVNLIloTx5rpttycosgrD5,蒋奎荣讲胰腺,2月前
生活中要注意这三点#胰腺癌 #健康dou起来 ,https://www.douyin.com/video/7005499492862643496,2899,00:33,https://www.douyin.com/user/MS4wLjABAAAAYvDMAUSdQyokrLS9DZDgSiiEsBxnSeJe1kdglFrkGRo,关天宇,3月前
 #胰腺癌 #中医 ,https://www.douyin.com/video/7008462133360954637,747,00:26,https://www.douyin.com/user/MS4wLjABAAAAqZCFzS9aAXN50RMqXxcZBQtMmyY_8l3tVYuq2iTkx0rJtIE988ppMnxECFSTdTqH,肿瘤专家韩世明教授,2月前
有这些症状要小心胰腺癌！,https://www.douyin.com/video/6985380807116475688,10.1w,00:59,https://www.douyin.com/user/MS4wLjABAAAADpM4jbat_mbZoEckdUOutRY9CMX33wqNyk3xFC7_aa0,36.7 ℃明星听诊会,4月前
胰腺不好要少吃甜食，恶性胰腺问题可不好办 #医学科普,https://www.douyin.com/video/6944647553581403399,1.4w,00:20,https://www.douyin.com/user/MS4wLjABAAAA81nAD_9W0iF_N7BQcSOrGzWIEX4U9ApRVBGeeAWQO80,肿瘤科关念波,8月前
哪些人更容易得#胰腺疾病 ？这几种人群一定要重视！#苏州 #消化内科 #胰腺炎,https://www.douyin.com/video/7017616088921918733,411,00:42,https://www.douyin.com/user/MS4wLjABAAAA17Aspza8aon9B6KIaN3oqxoRkr0D86UDIy0UaTyQzV8XHPaBrwphsO92oHx-E_KB,苏州消化内镜陆博士,2月前
我自己做CT发现胰腺肿块？这是什么？怎么办？#胰腺 #胰腺癌 #科普健康知识 ,https://www.douyin.com/video/7031375433224555790,2679,01:38,https://www.douyin.com/user/MS4wLjABAAAAeOP-boyjper5zfNX3ruyn0qsq-8g4LWHF0Ri44nVWzKtQ2ektgw1LMIgLS4_U-eJ,吉米大夫,3周前
注意到这些，及时发现#胰腺癌，看完转给重要的Ta！#健康科普 ,https://www.douyin.com/video/7005502803594464542,4.9w,00:37,https://www.douyin.com/user/MS4wLjABAAAAGf-6jYJtqcYrA5vOZXXDULP-P1Bgah5uWoudqgd-lZBUfE8G6BqX9zPUIUZ0kOGj,暖胃大叔田艳涛主任,3月前
糖尿病还会导致胰腺癌?居家勤测血糖就是很好的预防#糖尿病#血糖仪 ,https://www.douyin.com/video/7005862290033511717,1.7w,01:23,https://www.douyin.com/user/MS4wLjABAAAAwWg6yUBodkFGoK5Xo59CXxPnsIIvGHMXe99Ay5xTUS4,影像科孙静医生,3月前
 #胰腺癌 #医学科普 #健康知识 ,https://www.douyin.com/video/7023312874072214791,3470,01:00,https://www.douyin.com/user/MS4wLjABAAAAF59tCdySGsn-AKoW6hzFYNscN0J3hx1jg76sVWqUqF6x6AbC3tHGGt1qNQJE7nQl,张茗主任,1月前
胰腺癌能治好吗？#健康中国科普 #健康大咖来了@中国医学科学院肿瘤医院胰胃外科主任医师田艳涛,https://www.douyin.com/video/6953085571065498893,141,00:55,https://www.douyin.com/user/MS4wLjABAAAAAdC548JiARqnjAJ0ZXajmlaEXoS8z-DRzMUUD0kkQ4U,健康中国,7月前
不能再喝了！长期饮酒对胰腺的危害有多大？ #医学科普 #门诊 #医生 ,https://www.douyin.com/video/7018476022408416526,8453,00:45,https://www.douyin.com/user/MS4wLjABAAAAp1xknEWKy83hRpOfjCC2bE0WlpmbqWsvPDlFOv9Qf7TVNLIloTx5rpttycosgrD5,蒋奎荣讲胰腺,1月前
胰腺癌不容易被查出，如果出现这些症状要注意，可能就是胰腺癌的早期信号 #胰腺癌,https://www.douyin.com/video/6841010640455240964,3730,01:51,https://www.douyin.com/user/MS4wLjABAAAAYcQ8O3eqErbTWNPQZaul4VLLwcg5GEoqn1ugll6R-Vo,CCTV生活圈,1年前
对付胰腺癌，早期发现早诊治#健康科普,https://www.douyin.com/video/7019103151382875392,124,01:16,https://www.douyin.com/user/MS4wLjABAAAAIi2FcwKZR6r3hlRX2ii5U6ovRSleSIJK7AbR5Su9qVJgomnrNeU-pTE8MIAg270b,名医访谈,1月前
胰腺囊肿不一定要做手术#医学科普#医生,https://www.douyin.com/video/7012916155228769566,383,00:51,https://www.douyin.com/user/MS4wLjABAAAAp1xknEWKy83hRpOfjCC2bE0WlpmbqWsvPDlFOv9Qf7TVNLIloTx5rpttycosgrD5,蒋奎荣讲胰腺,2月前
出现以下几点，就要警惕胰腺癌咯，一定看完！#健康 #胰腺癌 #医学科普 ,https://www.douyin.com/video/7013659192133225741,8900,00:26,https://www.douyin.com/user/MS4wLjABAAAAp1xknEWKy83hRpOfjCC2bE0WlpmbqWsvPDlFOv9Qf7TVNLIloTx5rpttycosgrD5,蒋奎荣讲胰腺,2月前
胰腺炎为什么这么可怕！#胰腺炎,https://www.douyin.com/video/6800330486230125837,758,00:58,https://www.douyin.com/user/MS4wLjABAAAAblHDQVv7xTIQG1CjWW3eyPYbunlyLj6G15ry0bJrK9uU5YQKnm3trymJazeTvj6L,木愚医生,1年前
人体内一个隐藏很深的器官，你知道吗？,https://www.douyin.com/video/7005099949293718814,3544,00:49,https://www.douyin.com/user/MS4wLjABAAAANpVIjELwfZ_wk8ocGTvrw-ohgBkgRtkuw9MgxnIer2HIsqiWhFljhlJBr4ll5PY6,肿瘤科医生陈志坚,3月前
胰腺疾病有多可怕？被称为“癌中之王”，死亡率逼近发病率（10）@北京协和医院 #科普 #致敬 #健康 #纪录片 ,https://www.douyin.com/video/7013563260729330957,7465,01:49,https://www.douyin.com/user/MS4wLjABAAAABYgg8bxCaMHowXqNNiZwEC8IY0x0koBl4lWvH0maGc0,北京卫视生命缘,2月前
明天继续讲讲体检查胰腺，该做什么检查#胰腺,https://www.douyin.com/video/6877504796786543886,4301,00:32,https://www.douyin.com/user/MS4wLjABAAAAno26x8XhvlQ05ZPXsXOmF7RzGGtB2NN8Jtf_-8-fD90,尤闻道医生（消化内镜）,1年前
存活率10% 治疗费高达80W 别再这样吃东西了 #健康真相官 #高文斌教授 #别喷了我真是医生,https://www.douyin.com/video/6899661410008141069,4.9w,01:28,https://www.douyin.com/user/MS4wLjABAAAA0YYUVgoXmgufnaMmQ7r1Yy-UdzQiIZ-03q3VEZLn-0YrXFSVjrNWy4eIWBVIRjO0,高文斌教授,1年前
胰腺手术有多难？被誉为“死亡之吻”（11）@北京协和医院 #健康 #科普 #医学科普 #致敬 #健康科普 ,https://www.douyin.com/video/7013564410794888479,3.6w,01:05,https://www.douyin.com/user/MS4wLjABAAAABYgg8bxCaMHowXqNNiZwEC8IY0x0koBl4lWvH0maGc0,北京卫视生命缘,2月前
急性胰腺炎虽是炎症，但千万不要小瞧#急性胰腺炎 #健康科普 #dou上热门 @抖音小助手 ,https://www.douyin.com/video/6984407626901622023,1622,00:30,https://www.douyin.com/user/MS4wLjABAAAAyaH3J1jtkFZUe-H5M5YQaEzPzky4msHCWp3mMpL0-wxrKfbZLdQeLl-2DQjTtbz_,外科教授李惠东,4月前
为什么医生通常建议年轻人进行更为积极的治疗，这个门诊病例告诉你原因！#健康 #门诊 #手术 ,https://www.douyin.com/video/7013235445492485384,5543,01:12,https://www.douyin.com/user/MS4wLjABAAAAp1xknEWKy83hRpOfjCC2bE0WlpmbqWsvPDlFOv9Qf7TVNLIloTx5rpttycosgrD5,蒋奎荣讲胰腺,2月前
环状胰腺是怎么回事？,https://www.douyin.com/video/7016502321563618596,4460,01:44,https://www.douyin.com/user/MS4wLjABAAAAj6YbsKoKIgEyMII3B1PaIzpVaNSK-Qftx18skp3jaxg,儿外科黄金狮,2月前
改掉四个习惯，远离急性胰腺炎！#健康dou起来 #科普健康知识 #胰腺炎,https://www.douyin.com/video/6935005164705221888,2.1w,01:08,https://www.douyin.com/user/MS4wLjABAAAAorHRT6WRszdSPTL0k7HsedV_nfIcQpquVdFlnA--G2k,肿瘤科李泉旺,9月前
#肿瘤 #健康 #健康科普 ,https://www.douyin.com/video/7016599605320125732,192,00:33,https://www.douyin.com/user/MS4wLjABAAAAYvDMAUSdQyokrLS9DZDgSiiEsBxnSeJe1kdglFrkGRo,关天宇,2月前
胰腺癌不同部位，各有怎样的症状？#健康科普,https://www.douyin.com/video/7019476799331568896,55,02:35,https://www.douyin.com/user/MS4wLjABAAAAIi2FcwKZR6r3hlRX2ii5U6ovRSleSIJK7AbR5Su9qVJgomnrNeU-pTE8MIAg270b,名医访谈,1月前
胰腺，一个你不知道的神秘器官！#胰腺 #糖尿病#胰岛@抖音小助手,https://www.douyin.com/video/6814003388720680200,563,00:58,https://www.douyin.com/user/MS4wLjABAAAAblHDQVv7xTIQG1CjWW3eyPYbunlyLj6G15ry0bJrK9uU5YQKnm3trymJazeTvj6L,木愚医生,1年前
胰腺癌为什么很难被发现，称之为癌王？#健康 #胰腺癌,https://www.douyin.com/video/6901548442326240527,722,00:46,https://www.douyin.com/user/MS4wLjABAAAAbu6IlXnInbzcMl2efNmegiWUrOXeUQi6vIgh3pXyTa4,凤凰大健康,1年前
关于胰腺手术后的重要提醒！#医生 #健康科普 ,https://www.douyin.com/video/7025506358057356557,666,00:47,https://www.douyin.com/user/MS4wLjABAAAAp1xknEWKy83hRpOfjCC2bE0WlpmbqWsvPDlFOv9Qf7TVNLIloTx5rpttycosgrD5,蒋奎荣讲胰腺,1月前
急性胰腺炎是什么？#胰腺炎 ,https://www.douyin.com/video/7027001221160406302,300,00:18,https://www.douyin.com/user/MS4wLjABAAAAtGzeaUrIJ-chZDVmUAtx8L3GA9TcYYLAlqZaLio-0rA,北京世纪坛医院,1月前
哪些人更容易患急性胰腺炎呢？#医学科普 @DOU+小助手 ,https://www.douyin.com/video/7011424218046926093,422,00:31,https://www.douyin.com/user/MS4wLjABAAAAp1xknEWKy83hRpOfjCC2bE0WlpmbqWsvPDlFOv9Qf7TVNLIloTx5rpttycosgrD5,蒋奎荣讲胰腺,2月前
#健康 #肿瘤 #胰腺癌 ,https://www.douyin.com/video/7013184742485019935,455,00:35,https://www.douyin.com/user/MS4wLjABAAAA7HbtEKEeObmsuw1JvDb-yDC5xU1cFv193smHB31gMzSeBFSIy7WwPj-OGmY4TYEk,左明焕,2月前
