标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
带你秒懂胰腺内分泌和外分泌功能##医学科普 #科普健康知识 #肿瘤 #健康 #健康科普 ,https://www.douyin.com/video/7012911956487179550,559,00:51,https://www.douyin.com/user/MS4wLjABAAAAinT4yIToJ4uxYWza15SwlrbRrFL4aitAnsezC2He-BnLYdbQ9VmFfQXtNILdOU1E,肿瘤介入科刘玉金,2月前
大便里有菜叶，别不当回事！#医学科普,https://www.douyin.com/video/6954260346127306014,327,00:29,https://www.douyin.com/user/MS4wLjABAAAAp7zj51YH-zM8jPe0IKcDOJFYvg8Vorc0gHEWkwELFiOjDxLHKhMnQlNkA_Jxs_43,我是海医生,7月前
低蛋白血症应该去哪个科室就诊？#医学科普 #健康科普,https://www.douyin.com/video/6919659112850541837,23,00:40,https://www.douyin.com/user/MS4wLjABAAAA5dmjW2EgphEESDvuo4kkcW7uqvnc-osa_zgcp-YLLU4,宝宝药师小杨,10月前
腹泻有可能是胰腺问题？#腹泻 #胰腺 #健康科普 @DOU+小助手 @抖音小助手,https://www.douyin.com/video/7029895159999515911,395,01:04,https://www.douyin.com/user/MS4wLjABAAAARpgeqqGKk2Ob74IeqRPAQY0Z_n4SytU77ZxQAaPqbVs,肝胆疾病专家王东,4周前
#肠道 #胃肠 不吸收应该怎么办？希望这个能够帮到大家，减少大家的时间 #健康 ,https://www.douyin.com/video/6995853479679954211,450,00:35,https://www.douyin.com/user/MS4wLjABAAAAjtgxZQTKOGadYHrDP5uRgOJpxqOBQjlMwfpERjzFa_N58tUMFGZgBFoIvTWwjcS1,消化内科张教授,3月前
肠胃不吸收该怎么办？总吃都不胖，营养都不经吸收排出了，收藏，转发#全民健康计划,https://www.douyin.com/video/6826302193595878659,6270,00:49,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,1年前
消化吸收不好？我们来找原因，而不是盲目的治疗哦 #南方健康  #消化科医生  #消化不良,https://www.douyin.com/video/6934243572891897101,3235,00:56,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,9月前
#胰腺 ，分泌功能丧失，导致#糖尿病 ，要监测#血糖 ，控制饮食增加运动，规律用#胰岛素 @抖音小助手 ,https://www.douyin.com/video/6997281962117319973,708,00:39,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,3月前
肥胖的根本可能是这两个原因#健康养生#科普,https://www.douyin.com/video/7031468841230191912,264,00:50,https://www.douyin.com/user/MS4wLjABAAAAIuJn-YhJ1n4uBWVNfbAAYl2ppwdfTaepTyCHteu1t6JiH-B9GcPwl87aysHWEnwS,快乐天使-张灵敏,3周前
胰腺癌专盯这几种人？健康一定要从好习惯做起！看完转给重要的ta!#健康科普 #肥胖 #胰腺癌晚期 ,https://www.douyin.com/video/7031744538783878439,2.2w,00:44,https://www.douyin.com/user/MS4wLjABAAAAGf-6jYJtqcYrA5vOZXXDULP-P1Bgah5uWoudqgd-lZBUfE8G6BqX9zPUIUZ0kOGj,暖胃大叔田艳涛主任,3周前
胰腺炎严重吗？有癌变的危险吗？#胰腺炎 #胰腺癌 #饮酒 #胆结石 @DOU+小助手 @抖音小助手,https://www.douyin.com/video/7034283673679645982,64,01:00,https://www.douyin.com/user/MS4wLjABAAAARpgeqqGKk2Ob74IeqRPAQY0Z_n4SytU77ZxQAaPqbVs,肝胆疾病专家王东,2周前
1型糖尿病#这个视频有点料 #医学科普 #涨知识,https://www.douyin.com/video/6934686274829782276,1194,01:00,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,9月前
"#胰腺炎 后在家怎么吃避免复痛？禁酒限制蛋白脂肪,高碳水,吃到不饿就停下#医学科普#dou出新知@抖音小助手",https://www.douyin.com/video/6848253024066882816,2.1w,00:22,https://www.douyin.com/user/MS4wLjABAAAAA1AIi58aJKzRz7T8EsHY0SOOVJozzM-0sKfQ4PoqX2cm9VgRCd9uEUoRL8M0SPH9,医生妈妈王氏,1年前
胰腺癌是癌中“老大”！清楚4个常见组织类型，最好早点预防,https://www.douyin.com/video/6967281347467529480,20,01:40,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,2年前
胰腺癌来了，多有4种迹象#医学科普 #胰腺 #健康科普 ,https://www.douyin.com/video/7025472202619325704,1281,00:47,https://www.douyin.com/user/MS4wLjABAAAAinT4yIToJ4uxYWza15SwlrbRrFL4aitAnsezC2He-BnLYdbQ9VmFfQXtNILdOU1E,肿瘤介入科刘玉金,1月前
得了#糖尿病 后千万别恐惧，控制好血糖，该活多久活多久#医学科普,https://www.douyin.com/video/6909012563544067335,3284,00:31,https://www.douyin.com/user/MS4wLjABAAAA4DfUlyz3X6P2ZroLtHp-qydaJBhEUpqU1UGaD5WncjA,老年病专家刘超,11月前
#葛根薏枣茶 针对高血糖的朋友可以尝试，葛根薏枣茶快乐过大年！@抖音小助手,https://www.douyin.com/video/6780225837808618765,7408,01:28,https://www.douyin.com/user/MS4wLjABAAAA8Ucop5FJjPIIIPA0DHQjMLkxwN7UfYHsK8c-NxxilK8,大医本草堂,1年前
制作精良的科普视频,https://www.douyin.com/video/6974390115795766559,21,03:17,https://www.douyin.com/user/MS4wLjABAAAAJsqpl2zCUAp8WpR0vaCH7oaWnJ9m4hqdrgGEhGE0T0g,铜雀春深锁,5月前
慢性胰腺炎你知道吗？3月25、26日13:00-16:00“杏林东方TV”第一直播间不见不散@DOU+小助手,https://www.douyin.com/video/6943064338597006625,66,00:58,https://www.douyin.com/user/MS4wLjABAAAATz-O38ECbX5IjZ8fdaQ5CDI586iAzzlJj0WFNXv-jDp31Kyvf3aK2BOq-VK0UDHh,北京中医药大学东方医院,8月前
打胰岛素也成瘾?护士小姐姐来辟谣 @抖音小助手  #胰岛素  #护士,https://www.douyin.com/video/6881581416006601991,166,00:48,https://www.douyin.com/user/MS4wLjABAAAAXuNPn9gRnrwUDvMPQMBtBdj1UxwyEakrtD-W5bl9RTqXcnMJGFFtlqCYEj1bSTwe,火箭军特色医学中心,1年前
空腹血糖8，餐后7是什么问题？#这个视频有点料 #健康 #科普,https://www.douyin.com/video/6813684051539397892,5696,00:57,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
看看你的早餐 很缺蛋白质！这碗粥啥营养都有，十分钟搞定 @DOU+小助手  @抖音小助手,https://www.douyin.com/video/6872864044148182285,6499,01:19,https://www.douyin.com/user/MS4wLjABAAAA9BoUj5V8BAnPRzyewUVbTcEA_OIcucBkmfDFNBqKTJY,lntv健康一身轻,1年前
糖尿病怎么得的呢？  @震洋健康  #健康  #健康养生,https://www.douyin.com/video/6915734260884213000,16,00:44,https://www.douyin.com/user/MS4wLjABAAAAvCx4jLS3YTFDWwFcpZokLdcHxoXUgTa_jEvKHFtEbJ4NqI15j6OPD9ZC2bv0AXET,普外科陈伟医生,11月前
第309集 | 糖尿病不是爱吃糖引起的 #健康 #医学科普 #冷知识 @抖音小助手 ,https://www.douyin.com/video/6983440352011177220,2.8w,00:49,https://www.douyin.com/user/MS4wLjABAAAAd4-IxvJqrK1OtpdjZRCTfyGkcViJ7jLime4iIfvDMPE,北大医院骨科孙浩林医生,5月前
糖尿病到底是怎么患的？揭秘其发生的真相！#糖尿病 #健康科普 #医学科普 @抖音小助手 ,https://www.douyin.com/video/7022776002011008287,2999,02:54,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,1月前
#十万个怎么做 我这么瘦，怎么也会得#糖尿病！@DOU+小助手 @家有名医,https://www.douyin.com/video/6856696367679671552,1414,00:42,https://www.douyin.com/user/MS4wLjABAAAAjfOWzMeFKXwF6Ojh7ZCPTJp0mCrNy8DKhFdMBwNfIUSi7NuqHxzTzIVCDhwPg4FP,心血管内科董静,1年前
哪种程度的糖尿病，必须要注射胰岛素，糖尿病患者不妨来了解下,https://www.douyin.com/video/6967274565361782023,5,01:33,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,1年前
频繁出现口干不适，治疗不及时可能出现肝衰竭！ @抖音小助手  #健康  #肾衰竭,https://www.douyin.com/video/6839335548587461900,4123,01:42,https://www.douyin.com/user/MS4wLjABAAAAYcQ8O3eqErbTWNPQZaul4VLLwcg5GEoqn1ugll6R-Vo,CCTV生活圈,1年前
同时或者先后患两个以上肿瘤的朋友或者机会越来越多！#了不起的医生 #健康科普 @抖音小助手 @DOU+小助手,https://www.douyin.com/video/6862294439369460992,1626,00:34,https://www.douyin.com/user/MS4wLjABAAAAGf-6jYJtqcYrA5vOZXXDULP-P1Bgah5uWoudqgd-lZBUfE8G6BqX9zPUIUZ0kOGj,暖胃大叔田艳涛主任,1年前
四个关于ru房的冷知识#女性健康 #科普 #冷知识,https://www.douyin.com/video/6884466564926573839,15,00:47,https://www.douyin.com/user/MS4wLjABAAAA1pDP61iJmGKdiSyfFHoYue6d-UXuI6DEuFBxTpaBNoQ,郭宇飞医生,1年前
#医学科普 #颈肩腰腿疼 @医道 哪些问题可能会导致颈肩部疼痛？,https://www.douyin.com/video/6917554364404092173,131,00:41,https://www.douyin.com/user/MS4wLjABAAAASPk6M6_52xJkfAhdUjNZ-O-cVsVO7fTma8C2txo2FhE,郑博士聊疼痛,10月前
身上有异常却无法诊断？首先考虑这些疾并 #风湿#健康真相官#健康科普#宅春节涨知识,https://www.douyin.com/video/6956787182963035406,1438,00:36,https://www.douyin.com/user/MS4wLjABAAAA6g9Pr2TxF0NNvOUoyPrkZSN8_ZYtayk1xLjWXtkl42GSXW3KNY3r3U0hlPXdnmeL,中医风湿免疫专家冯兴华,7月前
肥胖的人为什么容易得糖尿病？#医生科普 @抖音小助手,https://www.douyin.com/video/6864137270312701199,1455,00:47,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,1年前
WeiTong应该怎么办？ @震洋健康 #医学科普,https://www.douyin.com/video/6945006043910933797,685,00:46,https://www.douyin.com/user/MS4wLjABAAAApiocM96dY5ErSnmjylAQuHunCiDMzrntJAcbzZfX8k4,中医谭医生,8月前
奋战一夜，希望病人能转危为安！加油！关注我，了解更多健康知识！,https://www.douyin.com/video/6822776350118579456,6.4w,00:58,https://www.douyin.com/user/MS4wLjABAAAArpWodT3Pj5GRZkmJREQ9oT3EBk5nbGsIu80t-J854EU,医路向前巍子,1年前
病龄超过十年的糖友减重成功能逆转 #糖尿病 吗#健康科普 #医学科普,https://www.douyin.com/video/6936084603987905829,729,00:45,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,9月前
你知道不吃晚饭的好处吗？ #健康  #养生  #不吃晚饭  #科普   #抖上热门  @抖音小助手,https://www.douyin.com/video/6874141480433257736,3070,00:26,https://www.douyin.com/user/MS4wLjABAAAAnsre5mKPTJtMQ9KgutXWYrsqpEjguAC7jy53OYUZlZE,中医王瑞芹,1年前
胰腺，一个不够重视的神秘器官，大家要对它多关注！#医学科普 #胃癌#胰腺癌@抖音小助手 @DOU+小助手,https://www.douyin.com/video/6887861085056142592,355,00:21,https://www.douyin.com/user/MS4wLjABAAAAGf-6jYJtqcYrA5vOZXXDULP-P1Bgah5uWoudqgd-lZBUfE8G6BqX9zPUIUZ0kOGj,暖胃大叔田艳涛主任,1年前
《肠病科普》大便有菜叶是肠癌吗？#全民健康计划 #直肠癌 #医学科普,https://www.douyin.com/video/6810311768678632716,5249,00:52,https://www.douyin.com/user/MS4wLjABAAAAzScEV2WSoqYxEQluYrfxm-mJn3XppAKiTDuZlZ9LRdk,消化科邹欣,1年前
#创作灵感 胃癌的早期症状有哪些？#胃癌 #腹胀 #健康科普 @抖音小助手 @DOU+小助手,https://www.douyin.com/video/7026488128055594253,291,00:59,https://www.douyin.com/user/MS4wLjABAAAARpgeqqGKk2Ob74IeqRPAQY0Z_n4SytU77ZxQAaPqbVs,肝胆疾病专家王东,1月前
【医学双语科普：什么是糖尿病-了解Ⅰ型和Ⅱ型糖尿病】#糖尿病日,https://www.douyin.com/video/7030243388179877157,179,03:05,https://www.douyin.com/user/MS4wLjABAAAAgR8CUVcbJPFvv_2qDKK2Qkw-lb3QtpQO9eXIhPpgcMM,北京日报,4周前
怎么看#肿瘤 标志物？#科普健康知识 #健康科普 #健康 #科普 #医学科普 ,https://www.douyin.com/video/7030721157619797278,1092,00:22,https://www.douyin.com/user/MS4wLjABAAAAlIC7Z-R8DOhYL9PedHDq-uww3uFwOOIawNOuLT03FbsxrRozhFdY0VIlAlniB1FZ,中医肿瘤专家王逊,3周前
#口干、#眼干、#皮肤干竟是#干燥综合征#医学科普#南方健康@DOU+小助手,https://www.douyin.com/video/6846697592949165320,2706,00:51,https://www.douyin.com/user/MS4wLjABAAAA6g9Pr2TxF0NNvOUoyPrkZSN8_ZYtayk1xLjWXtkl42GSXW3KNY3r3U0hlPXdnmeL,中医风湿免疫专家冯兴华,1年前
#糖尿病 患者总是感觉#吃不饱 是什么原因？,https://www.douyin.com/video/6952811289370529059,421,00:45,https://www.douyin.com/user/MS4wLjABAAAAfcltBJ0ynVNSG5CHK4lO4dnPKVoJr4Pda3VV2oB8zmto0Cikh3uiISwygCfKU45v,内分泌科田医生,7月前
中秋加国庆普天同庆！赏月吃月饼，如果出现这种状况一定要警惕哦！#健康 #国庆 #中秋,https://www.douyin.com/video/6878187751099944206,49,00:45,https://www.douyin.com/user/MS4wLjABAAAAI1YvXStvK5nHhEC1bnrPfLh2UmzZOt_V3M7-kD6DG-eXxZYQ-4A_Pu-itRfFpNP1,风湿科博士周新尧,1年前
