标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
#医万个为什么 胡安斌：我院在胰腺移植发展基础上开展胰岛移植#医学科普,https://www.douyin.com/video/6938241683058396429,50,02:17,https://www.douyin.com/user/MS4wLjABAAAAaeqJg_VYSVyr1oGEP-fJMrgIEb5QAN9wBaK7cwxrRjdtSib6zQKkQ3pOaWlMFtfx,中山大学附属第一医院,9月前
8月6日，我院完成了全球首例跨血型、双供体亲属胰腺肾联合移植#致敬医护人员 ,https://www.douyin.com/video/6996172455391907086,284,00:57,https://www.douyin.com/user/MS4wLjABAAAAG_7ME--k-5g1wTDdhzcAKP8XQG7ktHtu1SjXuVfwKqpBMs6-ZUmw9V1wpujxga4a,四川省人民医院,4月前
#医万个为什么 胡安斌：胰岛移植具体是怎么操作的#医学科普,https://www.douyin.com/video/6938243651315240228,37,02:17,https://www.douyin.com/user/MS4wLjABAAAAaeqJg_VYSVyr1oGEP-fJMrgIEb5QAN9wBaK7cwxrRjdtSib6zQKkQ3pOaWlMFtfx,中山大学附属第一医院,9月前
#医万个为什么 胡安斌：胰岛移植的现状及发展历程#医学科普,https://www.douyin.com/video/6938243281801186568,33,05:12,https://www.douyin.com/user/MS4wLjABAAAAaeqJg_VYSVyr1oGEP-fJMrgIEb5QAN9wBaK7cwxrRjdtSib6zQKkQ3pOaWlMFtfx,中山大学附属第一医院,9月前
#医万个为什么 胡安斌：胰岛移植的效果和优点#医学科普,https://www.douyin.com/video/6938243626661186829,54,02:16,https://www.douyin.com/user/MS4wLjABAAAAaeqJg_VYSVyr1oGEP-fJMrgIEb5QAN9wBaK7cwxrRjdtSib6zQKkQ3pOaWlMFtfx,中山大学附属第一医院,9月前
#医万个为什么 胡安斌：胰岛移植最适合治疗何种糖尿病#医学科普,https://www.douyin.com/video/6938244107957538085,34,02:07,https://www.douyin.com/user/MS4wLjABAAAAaeqJg_VYSVyr1oGEP-fJMrgIEb5QAN9wBaK7cwxrRjdtSib6zQKkQ3pOaWlMFtfx,中山大学附属第一医院,9月前
梁廷波：移植精神，让生命用另一种方式延续#健康中国,https://www.douyin.com/video/6784166440099466504,89,13:11,https://www.douyin.com/user/MS4wLjABAAAAiIXtbuB4NCkfQHQw_SF5tIZsAzOXGxBYdVT1OLgUNew,浙大一院,1年前
#医万个为什么 胡安斌：胰岛移植的定义#医学科普,https://www.douyin.com/video/6938242979912011016,22,02:32,https://www.douyin.com/user/MS4wLjABAAAAaeqJg_VYSVyr1oGEP-fJMrgIEb5QAN9wBaK7cwxrRjdtSib6zQKkQ3pOaWlMFtfx,中山大学附属第一医院,9月前
平日火线器官移植医生泪流不止“考上大学一个月 她就去世了！” #医者,https://www.douyin.com/video/6796193716102057216,2.5w,00:48,https://www.douyin.com/user/MS4wLjABAAAAVMI1g6NtIm4ig6CaRGttgDA2IX4_Xf0FiK6S_L6oqXk,医者,1年前
很高兴与大家见面！,https://www.douyin.com/video/6933340844535680260,1.8w,00:35,https://www.douyin.com/user/MS4wLjABAAAAMncDv689NgXx6d6F1j_-w0Ozoh8GcEmDCvJXSCu6bQY,胡博文 肝胆医生,9月前
 #母爱母亲决定捐肾救女，却不幸查出罹患肿瘤，手术后成功进行移植，愿早日康复！,https://www.douyin.com/video/6724918913328614660,872,00:27,https://www.douyin.com/user/MS4wLjABAAAAVeH3wYQCbpvUqsUxUh7ptNo6KdLW-IUD4z77ZL9O6y4,央广网,2年前
面对如此疑难病， #中医 是如何做到的？#眼睛 #视力 #健康,https://www.douyin.com/video/6865957857460849928,649,00:55,https://www.douyin.com/user/MS4wLjABAAAApbHXJyFlTwEXtu8mg7Fl52x1-zlTbQ0yTAi5kSW4Dhcb9dnGAtApFRxyYwNon_Od,眼科刘静主任,1年前
愿所有抗癌患者早日健康返乡！@紫竹听雨#健康最重要 #快点好起来 ,https://www.douyin.com/video/6987288279875980556,1.0w,00:40,https://www.douyin.com/user/MS4wLjABAAAAinT4yIToJ4uxYWza15SwlrbRrFL4aitAnsezC2He-BnLYdbQ9VmFfQXtNILdOU1E,肿瘤介入科刘玉金,5月前
#中医 #医学科普 #我的门诊故事 ,https://www.douyin.com/video/7025807236643507488,3056,00:45,https://www.douyin.com/user/MS4wLjABAAAAPOsHx2GIQ7J_WW1wI90LRiTdxmowS7JU7U06PGbq4fLFCnd6jPWF8B7Zd1gfenPh,熊露医生,1月前
胰腺极其擅长伪装！常规检查根本查不出而误Z，到发现为时已晚！,https://www.douyin.com/video/6990270917662297375,3.5w,02:50,https://www.douyin.com/user/MS4wLjABAAAAvTOOvDVDpg5NCmP01erqVqSDldwdvoNwlhVDrH9F2yw,费健,4月前
今天是#世界胰腺癌日 尽早 #戒烟 #戒酒 保持良好的生活习惯和乐观的生活态度，可以起到很好的预防作用！ #医学科普 #胰腺癌 ,https://www.douyin.com/video/7031824773365779715,1606,01:42,https://www.douyin.com/user/MS4wLjABAAAAvTOOvDVDpg5NCmP01erqVqSDldwdvoNwlhVDrH9F2yw,费健,1月前
年轻人，小心“癌中之王”，五年生存率不到10%！,https://www.douyin.com/video/6853386212401581315,3.7w,01:24,https://www.douyin.com/user/MS4wLjABAAAAYGzkiXoanlk-DR1Wcky_7DTuqiCXir2LgZXpOh6uLB4,养生堂,1年前
我的母亲#这个视频有点料 #医学科普,https://www.douyin.com/video/6878589162740600075,10.2w,00:49,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
#胰腺癌 “癌中之王”，手术复杂，并发症多，易复发，5年生存率8%。要理解手术难度，看看外国妈妈医生的面团讲解,https://www.douyin.com/video/6881520785547152653,913,04:11,https://www.douyin.com/user/MS4wLjABAAAAPWs7Zx6DipYU6k_KUPe8P6FdgKadH7dFlXC3Y_lUG58,蓝莓医生周文胜,1年前
你能听到自己身体的呼救吗？看完全明白了。#健康科普 #胰腺癌 @抖音小助手,https://www.douyin.com/video/6849251727267384590,2.0w,00:58,https://www.douyin.com/user/MS4wLjABAAAAblHDQVv7xTIQG1CjWW3eyPYbunlyLj6G15ry0bJrK9uU5YQKnm3trymJazeTvj6L,木愚医生,1年前
存活率10% 治疗费高达80W 别再这样吃东西了 #健康真相官 #高文斌教授 #别喷了我真是医生,https://www.douyin.com/video/6899661410008141069,4.9w,01:28,https://www.douyin.com/user/MS4wLjABAAAA0YYUVgoXmgufnaMmQ7r1Yy-UdzQiIZ-03q3VEZLn-0YrXFSVjrNWy4eIWBVIRjO0,高文斌教授,1年前
体闪藏着一个凶残的器官，看完才明白惹不起！#胰腺炎@抖音小助手,https://www.douyin.com/video/6839984295986203911,3.5w,00:59,https://www.douyin.com/user/MS4wLjABAAAAblHDQVv7xTIQG1CjWW3eyPYbunlyLj6G15ry0bJrK9uU5YQKnm3trymJazeTvj6L,木愚医生,1年前
中医的帮助下，胰腺癌晚期患者从预计3个月的存活时间，到已平安度过七个月#中医,https://www.douyin.com/video/6912361300697926926,174,00:31,https://www.douyin.com/user/MS4wLjABAAAAShVyIfK3Xi86ZEOuy08ZWZYCofAvt9xcYMp09UYxaWjTbrm3ex4rXxxHOBwrXEGl,湖北省中医院  李成银,11月前
#胰腺 #医学科普 ,https://www.douyin.com/video/7000254684841725192,229,01:09,https://www.douyin.com/user/MS4wLjABAAAAvtqZQoh09CXUOtnMotwM1WQu6_qnon1MLW2pEEsgjLD2eb9e-lcBRghA8sCGDVEi,中山一院教授张诗军,3月前
近日，南昌大学第二附属医院为一位重症胰腺炎患者完成一例血浆置换术,https://www.douyin.com/video/7001018610319756551,366,00:13,https://www.douyin.com/user/MS4wLjABAAAAGT5-6V4Aq6pqilLL-LtepS3FfXJlfKJLa67f_hh8CBk,南昌大学第二附属医院,3月前
我给她开了以海螵蛸为代表的#中药 ，她带瘤生存8年仍健在。#癌症 #肿瘤 #胰腺癌,https://www.douyin.com/video/6888223496980270350,1.0w,00:30,https://www.douyin.com/user/MS4wLjABAAAAxnryA06kfrk88Bpy4U5v9y6Bh1bQITNhku7uVM_ft4B0jOYCF8WHigv5QcxZa4he,朱世杰主任,1年前
这个患者高度怀疑是#胰腺癌，结合她实际情况，只要你能好，我愿尽我所能。#中医 #健康,https://www.douyin.com/video/6935337726392716581,309,01:09,https://www.douyin.com/user/MS4wLjABAAAA5N-ek43f5ebbk0l629JIMCLSI_JOlQzVZKMwOXHPMwI,赵田雍教授,9月前
胰腺癌手术有风险吗？其风险需要先提前了解清楚！,https://www.douyin.com/video/6867471528594902284,15,02:01,https://www.douyin.com/user/MS4wLjABAAAAhWVdFY_-kUUEAYcjrqT9v1bF050qHelQjL0XpcxOc1o,有来科普,2年前
很小，但是谁都惹不起的器官！#胰腺 #医学科普 #健康科普 #涨知识,https://www.douyin.com/video/6991278267567213857,502,00:41,https://www.douyin.com/user/MS4wLjABAAAAjUuWau_l3GtSDo_Z00b50uYqgSMfZVh-aObCHzWPS38pMmIbpA1dHXV5ooC5CfLr,李亮医言良语,4月前
胰腺，外科世界难题，患友家属医生一起艰难努力前行！#医学科普 #健康 #胰腺癌@抖音小助手 @DOU+小,https://www.douyin.com/video/6883266246108826895,862,00:32,https://www.douyin.com/user/MS4wLjABAAAAGf-6jYJtqcYrA5vOZXXDULP-P1Bgah5uWoudqgd-lZBUfE8G6BqX9zPUIUZ0kOGj,暖胃大叔田艳涛主任,1年前
